artifact_id;lien_ok;text_for_matching
0-آثارنا المنهوبة_25_p015_3fe4479f;https://www.lot-art.com/auction-lots/South-Arabian-Bull-Votive-Altar/63919419;5 . 350 / 220 10.52 LOT - ART 350 / 220 10.52 LOT - ART Grabin table (sacred) A crab table (a altar), rectangular shape of limestone, presented by Thor's head with a long neck, with a clear glimpse of the face, the front mediating a drain of fluids, popping out of the head of the horns and ears. Jerry's Stone.
0-آثارنا المنهوبة_25_p016_b639c212;https://www.lot-art.com/auction/south-arabian-apollo-09.10.22/IDOL/317;6 . 150 / 60 385 LOT - ART 150 / 60 385 LOT - ART The head of a human statue. The head of a man's statue, of limestone, black because of the squid, has a long, barren, thick nose attached to eyebrows, with two blind eyes below them, and a small mouth with a long neck.
0-آثارنا المنهوبة_25_p017_157d5bda;https://www.lot-art.com/auction-lots/South-Arabian-Gold-and-Enamel-south_arabian_gold_Pendant/250-06.9.22;7 . 0.72 12 3/8 LOT - ART LOT - ART A necklace. A necklace of gold, crisped with colored gems, shaped as an animal, overrun by little spherical granules, pierced by a comment hole. Gold, gems. The early part of the first millennium.
0-آثارنا المنهوبة_25_p018_6f4b152c;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-IDOL/318;8 . 95 / 60 220 LOT - ART 95 / 60 220 LOT - ART The head of a human statue. The head of a man's statue, of limestone, has a prominent long nose connected to eyebrows, with two prominent eyes below them, a very small mouth, and a neck. Jerry's Stone.
0-آثارنا المنهوبة_25_p019_e4deff7b;https://www.lot-art.com/auction-lots/South-Arabian-Gold-Earring-Pair/2009/28.2.20-south_arabian_gold_earring_timeline;9 . – 8.45 28  LOT - ART . 28  LOT - ART . Gold earrings. A pair of identical golden earrings, with circular rings, connected by three-shaped objects, each with five small rings, with bell-like parts hanging. Gold.
0-آثارنا المنهوبة_25_p020_e27076bd;https://artandantiquities.co.uk/a1gallery3.asp?roomID=12552&pictureID=114648&next=previous;0 . – 13 46 (1 3/4 ). LOT - ART . 46 (1 3/4 ). LOT - ART . Gold earrings. A pair of identical golden earrings, with rings on both sides of them with little pieces attached to the rings with a little fragrance belt, with four little rings ending, with parts hanging like bells. Gold.
0-آثارنا المنهوبة_25_p021_85789d45;https://www.lot-art.com/auction/south-arabian-lots/figure-male-enthroned-Limestone-catawiki-06.3.22/5634;1 . 38 × 12 × 10 LOT - ART 38 × 12 × 10 LOT - ART A human statue.
0-آثارنا المنهوبة_25_p022_9f1d3fdf;https://www.lot-art.com/auction-lots/South-arabian-alabaster-heads/four-group-of-south-arabian-alabaster-heads-03.6.24;2 . LOT - ART LOT - ART The heads of human statues. A bunch of puppeteers from the marble stone, with long and noses, two eyes, two eyebrows, and small mouths, one of which suffers from a fracture on the right side of the front, in addition to the smashing of Alnov. A marble stone.
0-آثارنا المنهوبة_25_p023_4a745754;https://www.lot-art.com/auction/small_south_arabian-archaeological-Bronze-Sphinx/621;3 . 9.6 LOT - ART 15. LOT - ART 15. An animal statue. A statue of a clearly winged supernatural animal with a lion-shaped and human head, standing on four legs, with a rectangular base, on the head with a circular cover with the appearance of energy-like flags, and two wings above. Bronze.
0-آثارنا المنهوبة_25_p024_5ce2389f;https://www.lot-art.com/auction-lots/South-Arabian-Bronze-Incense-Burner/252-moussaieff_south-timeline-4.3.25;"4 : [ ] / . 9.17 28 (11 ) . LOT - ART ""  . 9.17 28 (11 ) . LOT - ART ""  ."
0-آثارنا المنهوبة_25_p025_2302ee91;https://www.lot-ancient-south-art.com/auction/15.1.24/ancient/Head/319/Alabaster/Arabian;5 . : 3 5/8 × 2 1/2 × 2 LOT - ART : 3 5/8 × 2 1/2 × 2 LOT - ART The head of a human statue.
0-آثارنا المنهوبة_25_p026_1fcd326b;https://www.lot-art.com/auction/lot-of-BC-2ND-PLAQUE-BRONZE-ARABIAN-SOUTH;6 17.5 × 12.5 LOT - ART A pavilion. A graffiti of the bronze has to be written in a seven-line, impeccable rust of the bronze he's wearing, surrounded by a prominent frame. Bronze. About the second century before the miles. 17.5 x 12.5 cm LOT - ART
0-آثارنا المنهوبة_25_p027_b022fb35;https://www.lot-art.com/auction-lots/CARVED-STONE-IDOLFIGURE-OF-PRE-ISLAMIC-SOUTH-ARABIAN-TYPE-possibly-Yemen/31-carved_stone-22.2.23-mctear;7  14.2 LOT - ART - 14.2 LOT - ART A human statue. A human statue of stone, broken limbs, with a robe as long as his body, with a clear face with a long nose and a beard, with two wandering eyebrows, with two eyes with jealous pupils, as it appears they were a restaurant b
0-آثارنا المنهوبة_25_p028_a003fe3c;https://www.lot-art.com/auction-lots/Lot-4-Ancient-South-Arabian-Bronze-Camels-c2nd-1st-century-BC/69;8 . 2 1/4 3 1/8 . 2 7/8 . LOT - ART Animal statues. A bronze collection of camel statues, small size, different shapes between skinny and fat, but fat looks like a saddle on her back. Bronze. Around the second century to the first before the miles. Its width is between 2 1/4 and 3 1/8 inches. It is 2-7/8 inches high.
0-آثارنا المنهوبة_25_p029_7a71fcd3;https://www.lot-art.com/auction/Ancient-Rare-lots/South-Arabian-Sabaean-Bronze-Idol-c4th-1st-BC/18.2.24;9 3 3/8 LOT - ART 3 3/8 LOT - ART A human statue. A statue of a man of bronze and gold, standing up his hands forward, wrapping around his body a long robe, covering his head with a hat, wearing a gold necklace popping out of his chest. Brunes, he's gone.
0-آثارنا المنهوبة_25_p030_6a5dc758;https://www.lot-art.com/auction-arabian-south-ancient-rare-lots/Ancient-18.2.24-1st-c4th-BC/9-century-Idol-Bronze-Sabaean-almyra-p;0 – 2 5/8 LOT - ART A human statue. A human statue standing, with an indistinct hint of a face, or it was filmed from behind. Bronze. Around the 4th century, the first before the Miles. It's 2-5/8 inches high. LOT - ART
0-آثارنا المنهوبة_25_p031_d07c367c;https://www.lot-art.com/auction/03.10.23-south_arabian-ARABIAN-AMEULETS/467;1 . 44.3 38.1 LOT - ART 44.3 38.1 LOT - ART A sandal engraving.
0-آثارنا المنهوبة_25_p032_c737ed55;https://www.lot-art.com/auction-lots/A-South-Arabian-Large-Table-Libation-Spout-Limestone-3rd-Century-BC1st-Century-AD/21-D/07.12.21-sotheby/;2 . / 20.2 × 24 × 42 LOT - ART . / 20.2 × 24 × 42 LOT - ART
0-آثارنا المنهوبة_25_p033_facfb986;https://www.lot-art.com/auction-lots/Sabaean-South-Arabian-lots/28.3.20-sabaean_south_animal/35639233-Inscribed-Bronze;3 . 7.5 × 7.5 LOT - ART An animal statue. A statue of a bronze dog standing on a rectangular base, with a handwriting on it, a dog raising his head up, and his back bowing down. Bronze. About the first century B.C. 7.5 x 7.5 cm
0-آثارنا المنهوبة_25_p034_200fc292;https://www.lot-art.com/auction/south-arabian-fragmentary-carved-figural-elief-r-BC-century-1st-2nd-circa-plaque-dreweatts-24.1.18/344/;4 : [... ] / . LOT - ART  . LOT - ART  . A mural.
0-آثارنا المنهوبة_25_p035_2f5db211;https://www.lot-art.com/auction-lots/A-bruun-BERBER-SOUTH-NECKLACE-46cm-279/11.11.19;5 46 LOT - ART 46 LOT - ART Contract A stone contract, coral and silver, consisting of fifty-two stone pieces of orange cream of different sizes, separated by twenty-five silver pieces of different shapes and sizes, was assembled on the fabric of a red thread. Stones, corals, silver, fabric.
0-آثارنا المنهوبة_25_p036_bea25d9f;https://www.lot-art.com/auction-lots/Two-South-Arabian-Antiquities-Qataban-3rd-Century-BC1st-Century-AD/109-two_south-08.12.21-sotheby;6 . 6.5 6 LOT - ART Led sculptures and feet. Two pieces made up of the front of a bronze right foot, and a fistful hand of marble stone. Marblestone, bronze. The third century before the Miles, the Miles. 6.5 and 6 cm LOT - ART
0-آثارنا المنهوبة_25_p037_76bcbec5;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Alabaster-Male-Head/48-fine_south-14.7.22-artemi;7 . 12.7 × 18.5 LOT - ART . 12.7 × 18.5 LOT - ART
0-آثارنا المنهوبة_25_p038_a303509a;https://www.lot-art.com/auction-lots/Western-Asiatic-South-Arabian-Painted-Jar/1688-western_asiatic-04.6.20-timeline;8- 2.6 26.5 LOT - ART 2.6 26.5 LOT - ART A jar. A cork jar (burned clay), with a slightly wide nozzle upside down to the outside, a puffed body, snaps on both sides, and tapes of geometric crawling triangles and by-lines, painted in black and red.
0-آثارنا المنهوبة_25_p039_21a0fd74;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Qatabanian-Stone-Head/58-fine_south-10.9.20-artemi;9 - 16 1.66 LOT - ART - 16 1.66 LOT - ART
0-آثارنا المنهوبة_25_p040_1772345a;https://www.liveauctioneers.com/search/?keyword=South%20Arabian&sort=-relevance&status=online;0 45 – 45 × 30 - 33 : 30 liveauctioneers 45 – 45 × 30 - 33 : 30 liveauctioneers Animal statues. My statue of a bronze camel animal, like them, is standing in one year's sleep per camel, and a relatively short tail, one raising its head up, the other extending it forward.
0-آثارنا المنهوبة_25_p041_16bc353c;https://www.lot-art.com/auction-lots/TETE-MASCULINE-EN-ALBATRE-ART-SUD-ARABIQUE-FIN-DU-1ER-MILLENAIRE-AVJC/7-tete_masculine-24.5.16-artcurial;1 . 23.5 LOT - ART 23.5 LOT - ART The head of a human statue. The head of a man's statue, from the stone of the marble with a long neck, and the glimpse of a clear face, the eyes are strewn with two blues, mediated by the pupils' holes, the nose is pierced and connected to the janitored and curved eyebrows, and the mouth is piercing, as the ears stand on both sides.
0-آثارنا المنهوبة_25_p042_a0c5b0df;https://www.liveauctioneers.com/search/?keyword=South%2Arabian&sort=-relevance&status=online;2  350 × 145 8.5 liveauctioneers  350 × 145 8.5 liveauctioneers
0-آثارنا المنهوبة_25_p043_e92bb9bc;https://www.lot-art.com/auction-lots/Ancient-South-Arabian-Bronze-Statuette-Camel/83-ancient_south-27.9.18-artemi;3 . 10.2 × 9 ( 4 × 3.55 ). 3.9 (9.9 ) LOT - ART An animal statue. A statue of a bronze camel with a hard head, with a mild mid-back tooth, and a strapped little tail behind his back legs. Metal. About the early millennium before the miles. 10.2 cm x 9 cm (4 inches wide x 3.55 inches high). 3.9 inches (9.9 in centimeters) LOT - ART
0-آثارنا المنهوبة_25_p044_1394a6c0;https://www.lot-art.com/auction-lots/Large-South-Arabian-Alabaster-Standing-Figure-of-a-Goddess/249-large_south-04.3.25-timeline;4  15.55 47.5 LOT - ART  15.55 47.5 LOT - ART
0-آثارنا المنهوبة_25_p045_eaae26b1;https://www.lot-art.com/auction-lots/Western-Asiatic-South-Arabian-Plaque/260-western_asiatic-28.5.19-timeline;5  3 19-27 LOT – ART . LOT – ART . A pavilion. A graft of bronze, written in a nine-line strand, with the gravitational shapes of a converse animal mediated by the palm tree, and in the upper corners, there are two holes.
0-آثارنا المنهوبة_25_p046_0ea08f6c;https://www.lot-art.com/auction-lots/Large-South-Arabian-Bronze-Horse/263-large_south-26.11.24-timeline;6 . 1.1 19.5 LOT - ART . 1.1 19.5 LOT - ART
0-آثارنا المنهوبة_25_p047_a4daec26;https://www.lot-art.com/auction-lots/Sabaean-Kingdom-South-Arabian-Terracotta-Very-Rare-Fertility-Female-Figure-with-Inscription-with-TL-Test-1st-Millennium-BC-15/75971449-sabaean_kingdom-30.10.23-catawiki;7  : 1- 2-  15.8×9×0 LOT - ART  15.8×9×0 LOT - ART A human doll.
0-آثارنا المنهوبة_25_p048_04475953;https://www.lot-art.com/auction-lots/A-LOT-OF-7-SOUTH-ARABIAN-SILVER-VESSELS/633-south_arabian-23.9.21-archaeological;8 : 1- . 2- . 3- . 4- . 5- . 6- . 7- . 1- 17.4 2- 13.9 3- 11.8 4- 11.3 5- 11.3 6- 7.5 7- 8 LOT - ART . 5- . 6- . 7- .
0-آثارنا المنهوبة_25_p049_2f28b0e7;https://www.lot-art.com/auction-lots/South-Arabia-Saba-AR-Unit/3014-south_arabia-08.3.25-timeline;9 . 4.93 15 LOT - ART An old Yemeni coin. An old Yemeni coin, on one face, is an expression of the owl bird, on the other, it seems to contain an expression of a human face. Metal. About the third century before the miles. Weight 4.93 g, 15 mm
0-آثارنا المنهوبة_25_p050_ee11b378;https://www.lot-art.com/auction-lots/South-Arabia-Himyar-AR-Unit/2970-south_arabia-07.9.24-timeline;0 . 1.88 11 LOT - ART An old Yemeni coin. An old Yemeni coin, like its faces, is the expression of a human face, one of which appears bearded and the other with a beard. Metal. About the second century and the first before the miles. 1.88 grams, 11 mm LOT - ART
0-آثارنا المنهوبة_25_p051_3acdaa81;https://www.lot-art.com/auction-lots/Ancients-ARABIA-SOUTHERN-Qataban-Unknown-Rulers-350-300-BC-AR-hemidrachm-11mm-198-gm-8h-NGC-Choice-AU-55-35-graffito/64095-ancient_arabia-25.1.23-heritage;1 . 11 1.98 LOT - ART An old Yemeni coin. An old Yemeni coin, one of whose faces is an expression of a human face with a clear glimpse, apparently wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 11 mm, 1.98 grams
0-آثارنا المنهوبة_25_p052_3bf323d0;https://www.lot-art.com/auction-lots/Ancients-ARABIA-Qataban-Unknown-Rulers-ca-350-300-BC-AR-hemidrachm-12mm-9h-NGC-Choice-VF-die-shift/22104-ancient_arabia-17.11.24-heritage;2 . 12 LOT - ART An old Yemeni coin. An old Yemeni coin, one of whose faces is an expression of a human face with clear glimpses, seems to be wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 12 mm LOT - ART
0-آثارنا المنهوبة_25_p053_809895ce;https://www.lot-art.com/auction-lots/Ancients-ARABIA-Qataban-Unknown-Rulers-ca-350-300-BC-AR-hemidrachm-12mm-8h-NGC-VF-scratches/22105-ancient_arabia-17.11.24-heritage;3 . 12 LOT - ART Currency An old Yemeni coin, one of whose faces is an expression of a human face with clear glimpses, seems to be wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 12 mm LOT - ART
0-آثارنا المنهوبة_25_p054_975a31dd;https://www.lot-art.com/auction-lots/Ancients-ARABIA-Qataban-Unknown-Rulers-ca-350-300-BC-AR-hemidrachm-12mm-9h-NGC-Choice-VF/22103-ancient_arabia-17.11.24-heritage;4 . 12 LOT - ART An old Yemeni coin. An old Yemeni coin, one of whose faces is an expression of a human face with a clear glimpse, apparently wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 12 mm LOT - ART
0-آثارنا المنهوبة_25_p055_7d7995f7;https://www.lot-art.com/auction-lots/Sabaean-Bronze-Panel-with-Ancient-Yemeni-Writing/90-sabaean_bronze-06.2.19-artemi;5 : 1- / 2- / 3- / 4- [ ] / 5- / 6- / 7- / 8- / 9- 10.2 × 14.4 LOT - ART FB - Hrmn A pavilion. Bronze pad, surrounded by a prominent frame in writing with a nine-line barge line: 1-A-L-A-T-A-T-A-D-Y/Y-A-N-E-N-E-E-R-E-R-E-R-N-E-R-N-E-R-N-E-N-E-N-A-N-A-T-E-N-E-T-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-N-E-N-N-N-N-N-N-N-N-N-N-N-N-E-N-N-N-N-N-N-E-N-N-N-N-E-N-N-E-N-N-E-N-E-N-N-E-N-E-E-N-E-E-E-N-N-E-E- Bronze. About the first millennium before the miles to the early millennium. 10.2 cm x 14.4 cm LOT - ART Bad.
0-آثارنا المنهوبة_25_p056_dc2f7b3e;https://www.lot-art.com/auction-lots/STATUETTE-DE-TAUREAU-EN-ALBATRE-ART-SUD-ARABIQUE-FIN-DU-1er-MILLENAIRE-AV-JC/100-statuette_taureau-13.11.18-artcurial;6 . 13 × 16.1 LOT - ART 13 × 16.1 LOT - ART An animal statue.
0-آثارنا المنهوبة_25_p057_4b2bc103;https://www.lot-art.com/auction-lots/South-Arabian--A-group-of-six-alabaster-heads/88-south_arabian-03.6.24-sloane;7 . LOT - ART LOT - ART Gravestones. A bunch of gravestones with human heads, from the marble stone, one of which is written in an unclear line, probably the name of the deceased, plus two different pieces. A marble stone, a jerry stone.
0-آثارنا المنهوبة_25_p058_9c26a93f;https://www.lot-art.com/auction-lots/South-Arabian--A-group-of-six-carved-alabaster/90-south_arabian-03.6.24-sloane;8 . LOT - ART LOT - ART Human gravestones. A bunch of gravestones with human heads, of marble stone, of different sizes. Three of them suffer from the loss of most of their parts, with long and bold noses, with two broken eyes, and a small mouth. A marble stone.
0-آثارنا المنهوبة_25_p059_4de81847;https://www.lot-art.com/auction-lots/South-Arabian--Two-alabaster-carved-heads-Provenance-Private/91-south_arabian-03.6.24-sloane;9 LOT - ART LOT - ART Gravestones. Watch human tombs, with a clear-cut face with a high nose, a long, pointed, and two blind eyes, pinned through the eyes, a light smile, a slightly shorter nose and a pointer, and two eyebrows and two eyebrows.
0-آثارنا المنهوبة_25_p060_d921748e;https://www.lot-art.com/auction-lots/A-SOUTH-ARABIAN-BRONZE-CAMEL/508a-south_arabian-25.4.24-archaeological;0 . 7.4 LOT - ART 7.4 LOT - ART An animal statue. An animal statue of a camel, of the bronze, with a high head and two prominent ears, with his neck surrounded by a collar, with a sleeve in his back, with his tail sticking to the back of his back legs, and on his right side, writing in an aristocracy, it appears to be unclear.
0-آثارنا المنهوبة_25_p061_d7091d94;https://www.lot-art.com/auction-lots/A-SOUTH-ARABIAN-CAST-BRONZE-GOAT-HEAD/507-south_arabian-25.4.24-archaeological;1 . 12 LOT - ART 12 LOT - ART The head of an animal statue. The right side of the head of an oak statue, of the bronze, with a clear glimpse of the face. The eyes are two prominent balls, a chin under the mouth, a broken horn and ear, and rings around it that characterize the horns of the oak. Bronze.
0-آثارنا المنهوبة_25_p062_6e84de98;https://www.lot-art.com/auction-lots/A-South-Arabian-Limestone-Head/95-south_arabian-22.11.24-freeman;2 . 24.45 LOT - ART . 24.45 LOT - ART
0-آثارنا المنهوبة_25_p063_c1d108c1;https://www.lot-art.com/auction-lots/South-Arabian-A-South-Arabian-Limestone-Oil-Lamp-Ex-Christies/91596715-south_arabian-22.12.24-catawiki;3 . 12.4 LOT - ART LOT - ART Sacrificed. Sacrificed from limestone, sitting in the form of a human sitting, his legs broken, holding in his hands the shape of an animal, above a hole in the pump of ignition oil and putting a fuse in it. Jerry's Stone. About the third century before the miles.
0-آثارنا المنهوبة_25_p064_f6ce2f73;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-FIGURE-OF-A-PRIEST/437-south_arabian-13.7.24-apollo;4 : 1- 2- [...] 300 - 100 380 × 160 5.3 LOT - ART A human statue. A statue of a man of marble stone, whose hands are broken, standing on a rectangle base of two levels, with a two-line blade line written as follows: A marble stone. About 300 before Miled-100 Miles. 380 mm x 160 mm
0-آثارنا المنهوبة_25_p065_816507df;https://www.lot-art.com/auction-lots/South-Arabian-A-Group-of-five-stone-carved-heads-/321-south_arabian-12.6.24-sloane;5 . LOT - ART LOT - ART Gravestones. A bunch of gravestones in the form of human heads, from al-marmer stone in different colors, long, prominent noses, some broad, two prominent eyes, small and prominent mouths, three of which have to be written in the pavilion line. A marble stone.
0-آثارنا المنهوبة_25_p066_7c445bf9;https://www.liveauctioneers.com/search/?keyword=South%20Arabian&sort=-relevance&status=online;6 4.13 4.47 liveauctioneers Amulet. A rectangular gold amulet, with a piercing hole above it, framed by geometric ceramics, lines and triangles, mediated by vegetarian potters, a palm tree. Gold. Around the century, the Miles.
0-آثارنا المنهوبة_25_p067_31aa95b1;https://www.lot-art.com/auction-lots/A-SOUTH-ARABIAN-ALABASTER-HEAD-CIRCA-1ST-CENTURY-BCAD/63-south_arabian-03.7.24-christie;7 . 18 LOT - ART 18 LOT - ART The head of a human statue. The head of a human statue of the white marble stone with a long neck surrounded by three dark circular lines, with clear facial features, with apricots and barbs, with two prominent eyes mediated by the holes of the missing pupils, with two eyebrows with horizontal lines, two puffed cheeks, a puffed mouth, and on both sides of the head, the ears stand out.
0-آثارنا المنهوبة_25_p068_2be803ae;https://www.lot-art.com/auction-lots/South-Arabian--Two-limestone-heads-Provenance-Private-Collection/300-south_arabian-12.6.24-sloane;8 : . 1- 8 4.5 2- 7 5.25 LOT - ART . 1- 8 4.5 2- 7 5.25 LOT - ART
0-آثارنا المنهوبة_25_p069_9ad36b3a;https://www.lot-art.com/auction-lots/South-Arabian-A-black-stone-circular-incense-burner-To/310-south_arabian-12.6.24-sloane;9 . 5 6.25 LOT - ART 6.25 LOT - ART Crabs table. A two-strike table of marble stone, round-shaped, standing on three cylinder legs, with a flat surface, and on its outer side vertically marked lines, showing traces of squid. A marble stone.
0-آثارنا المنهوبة_25_p070_8aeba613;https://www.lot-art.com/auction-lots/A-SOUTH-ARABIAN-BRONZE-BOWL/720-south_arabian-03.10.23-archaeological;0 . 13.6 LOT - ART LOT - ART A bowl. A bronze bowl, containing paintings and decorations of three humans, three palm trees, two plant decorations, and a snake. Bronze. Around the 4th to 2nd century before the Miles.
0-آثارنا المنهوبة_25_p071_6a058638;https://www.lot-art.com/auction-lots/A-SOUTH-ARABIAN-BRONZE-OIL-LAMP-WITH-AN-IBEX-HANDLE-AND-INSCRIBED-ON-THE-SIDES/672-south_arabian-20.4.22-archaeological;1 . 21.8 LOT - ART 21.8 LOT - ART Sacrificed. A saddle of bronze, made up of an old tub to pour oil into it and put the fuse in it, with the end of it coming with a handle that ends in the front half of the oak, marked by the horns of the back, the chin under the mouth, and the feet that run forward. Bronze.
0-آثارنا المنهوبة_25_p072_9919924b;https://www.lot-art.com/auction-lots/Late-Uruk-South-Arabian-Stone-Stamp-Seal-Bead/67-late_uruk-13.2.20-artemi;2 . 3400 3100 0.8 × 0.25 (2 × 0.6 ) 2.8 (7.1 ) LOT - ART Seal. A rare cylindrical seal of black stone, punctured for comment, its surface is carved with symbols that look like an accelerator. Black stone. About 3,400 to 3100 before the miles. 0.8 in width x 0.25 in height (2 cm x 0.6 cm)
0-آثارنا المنهوبة_25_p073_ccc96b0e;https://www.lot-art.com/auction-lots/Sabaean-Bronze-Camel-South-Arabian-Peninsula-5-cm-L/20361477-sabaean_bronze-22.8.18-catawiki;3  5 LOT - ART LOT - ART An animal statue. A camel statue, bronze, with a high head and two high ears, with his neck surrounded by a collar, with his back mediated by a sleeve. Bronze. Around the first century BC - the first century CD
0-آثارنا المنهوبة_25_p074_35a83904;https://www.lot-art.com/auction-lots/Beautiful-South-Arabian-Alabaster-Tripod-Offering-Table/70c-beautiful_south-10.11.22-artemiinfo@goam.gov.ye;4 . 4.93 15 LOT - ART Crabs table. A three-legged round-shaped table with a cylindrical rooftop on its side with prominent vertical lines. A marble stone. About the third century before the miles into the first of the miles. Weight 4.93 g, 15 mm
