,artifact_id,text_for_matching_web,id_page,price,currency,description_short,description_long,id_article;;;;;;;
"10,0-آثارنا المنهوبة_25_p046_0ea08f6c,""Modelled in the round as a figure of a horse standing in static pose with ears pricked, stiff mane, open mouth"",46,,,""Figure, material not specified, modelled in the round as a horse standing in a static pose with ears pricked, a stiff mane, and an open mouth."",""Figure, material not specified, modelled in the round as a horse standing in a static pose. The animal is depicted with ears pricked, a stiff mane, and an open mouth. No further technical, dimensional, or chronological information is provided in the source text."",11";;;;;;;
"11,0-آثارنا المنهوبة_25_p047_a4daec26,""LOT 75971449 Sabaean Kingdom South Arabian Terracotta Very Rare Fertility Female Figure with Inscription with TL Test - 1st Millennium BC - (15.8×9×0 cm) [ translate ] Provenance: Ex London art market 2000 This lot comes from the private collection of Mr. A rare and extraordinary ancient Sabaeans kingdom female fertility figure with finely painted facial features, the front body detailing another stylised face around the belly, and the belly fat rolls forming a big mouth, some inscription in each leg. Artes, This test analysis (certificate C 142647A-1) was taken in Bordeaux, France on 17/10/2016 which results indicate the the raw material of the object has been most probably heated during the first millennium. 8 x 9 cm Condition: Good ancient condition considering ancient age and material"",47,,,""Terracotta female fertility figure, Sabaean Kingdom, South Arabian, 1st millennium BC, with inscription. The figure has finely painted facial features, stylised decoration on the front body, and inscription on each leg";" dimensions 15.8 × 9 × 0 cm."",""Terracotta female fertility figure, Sabaean Kingdom, South Arabian, 1st millennium BC, with inscription. The figure is described as having finely painted facial features, a stylised face around the belly, and belly fat rolls forming a large mouth, with inscription on each leg. A thermoluminescence test certificate (C 142647A-1) taken in Bordeaux, France on 17/10/2016 indicates that the raw material was most probably heated during the first millennium. Dimensions are given as 15.8 × 9 × 0 cm, and the condition is described as good ancient condition considering age and material."",12";;;;;;
"12,0-آثارنا المنهوبة_25_p048_04475953,""Including: 1) A siver shallow bowl, 17.4 cm in diam, with concentric cilcles, inscribed on the external rim, in very good condition  6) A silver goblet, 7.5 cm high, inscribed on the internal rim, in very good condition"",48,,,""Shallow bowl, silver, 17.4 cm in diameter, with concentric circles and an inscription on the external rim, in very good condition. Silver goblet, 7.5 cm high, with an inscription on the internal rim, in very good condition."",""Shallow bowl, silver, 17.4 cm in diameter, decorated with concentric circles and inscribed on the external rim, in very good condition. Silver goblet, 7.5 cm high, inscribed on the internal rim, in very good condition."",13";;;;;;;
"13,0-آثارنا المنهوبة_25_p049_2f28b0e7,""Head of Athena to right, wearing crested Attic helmet decorated with three olive leaves and palmette, and disc earring"",49,,,""Head, material not specified, of Athena facing right, wearing a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring."",""Head, material not specified, of Athena facing right. The goddess wears a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring. No further technical, dimensional, or chronological information is provided in the source text."",14";;;;;;;
"14,0-آثارنا المنهوبة_25_p050_ee11b378,""Beardless male head to right / Bearded male head to right, Royal Qatanian monogram behind, South Arabian monogram below. LOT 2970 South Arabia, Himyar AR Unit. From an old UK collection"",50,,,""Coin, silver AR unit, South Arabia, Himyar. Beardless male head to right / bearded male head to right, with Royal Qatanian monogram behind and South Arabian monogram below."",""Coin, silver AR unit, from South Arabia, Himyar. The obverse shows a beardless male head to right, and the reverse shows a bearded male head to right. A Royal Qatanian monogram appears behind the heads, with a South Arabian monogram below. The source text gives no dimensions or date beyond the regional and cultural attribution."",15";;;;;;;
"15,0-آثارنا المنهوبة_25_p051_3acdaa81,""Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. LOT 64095 Ancients: , ARABIA, SOUTHERN. Incredibly sharp and attractive for the type."",51,,,""Coin, silver. Helmeted head of Athena facing right, with Arabian letter Γ as a mark of value on the cheek";" reverse with owl standing right, head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field."",""Coin, silver. Obverse shows the helmeted head of Athena facing right, with the Arabian letter Γ on the cheek as a mark of value. Reverse bears the inscription AΘE and depicts an owl standing right with head facing, accompanied by a crescent moon in the upper left field and a Royal Qatabanian monogram in the lower right field, composed of South Arabian letters h and l. The type is attributed to Southern Arabia."",16";;;;;;
"16,0-آثارنا المنهوبة_25_p052_3bf323d0,""Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. LOT 22104 Ancients: , ARABIA."",52,,,""Coin, silver. Helmeted head of Athena right with Arabian letter Γ on the cheek";" reverse with owl standing right, head facing, AΘE, crescent moon in upper left field, and Royal Qatabanian monogram composed of South Arabian letters h and l in lower right field. Arabia."",""Coin, silver. Obverse shows the helmeted head of Athena facing right, with an Arabian letter Γ used as a mark of value on the cheek. Reverse depicts an owl standing right with head facing, accompanied by the inscription AΘE, a crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field. The object is attributed to Arabia."",17";;;;;;
"17,0-آثارنا المنهوبة_25_p053_809895ce,""Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. LOT 22105 Ancients: , ARABIA."",53,,,""Coin, silver. Helmeted head of Athena facing right with Arabian letter Γ on the cheek";" reverse with owl standing right, head facing, AΘE, crescent moon in the upper left field, and Royal Qatabanian monogram in the lower right field."",""Coin, silver. Obverse with helmeted head of Athena facing right, with Arabian letter Γ as a mark of value on the cheek. Reverse with owl standing right, head facing, AΘE, crescent moon in the upper left field, and Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field. The type is attributed to Arabia."",18";;;;;;
"18,0-آثارنا المنهوبة_25_p054_975a31dd,""Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. LOT 22103 Ancients: , ARABIA."",54,,,""Coin, silver. Helmeted head of Athena facing right with an Arabian letter Γ as a mark of value on the cheek";" reverse with AΘE, owl standing right with head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field."",""Coin, silver. Obverse: helmeted head of Athena facing right, with an Arabian letter Γ used as a mark of value on the cheek. Reverse: AΘE, owl standing right with head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram in the lower right field, composed of South Arabian letters h and l. The type is attributed to Arabia."",19";;;;;;
"19,0-آثارنا المنهوبة_25_p055_7d7995f7,""The deceased in ancient Saudi Arabia were often represented in anthropomorphic funerary stelae, with relief heads and headdresses, with funerary inscriptions, sometimes carved into stone, sometimes cast in bronze like this one, set beside them. Size: 4"""" W x 5.65"""" H (10.2 cm x 14.4 cm) Provenance: private East Coast, USA collection All items legal to buy/sell under U.S. A rare bronze inscription panel, with relief letters in the ancient Yemeni alphabet (also known as Old South Arabian), probably in the language of the Kingdom of Qataban. LOT 0090 Sabaean Bronze Panel with Ancient Yemeni Writing [ translate ] Southern Arabian, Sabaean people, ca. The panel is rectangular, with eight lines of evenly spaced, horizontal characters, and a narrower top line with just a few characters in a smaller font size. Statute covering cultural patrimony Code 2600, CHAPTER 14, and are guaranteed to be as described or your money back. We ship worldwide to most countries and handle all shipping in-house for your convenience. A Certificate of Authenticity will accompany all winning bids."",55,,,""Bronze inscription panel with relief letters in the ancient Yemeni alphabet (Old South Arabian), probably in the language of the Kingdom of Qataban. The rectangular panel has eight lines of evenly spaced horizontal characters and a narrower top line with a few smaller characters. Dimensions: 4 in W x 5.65 in H (10.2 cm x 14.4 cm)."",""Bronze inscription panel with relief letters in the ancient Yemeni alphabet, also known as Old South Arabian, probably in the language of the Kingdom of Qataban. The panel is rectangular and bears eight lines of evenly spaced horizontal characters, with a narrower top line containing only a few characters in a smaller font size. The object is described as a rare bronze inscription panel and is associated with funerary representation in ancient Saudi Arabia, where anthropomorphic funerary stelae with relief heads, headdresses, and funerary inscriptions were sometimes carved in stone or cast in bronze. Dimensions are 4 in W x 5.65 in H (10.2 cm x 14.4 cm)."",20";;;;;;;
"20,0-آثارنا المنهوبة_25_p056_dc2f7b3e,""Statuette représentant un taureau debout sur une base rectangulaire Dim.: 13 x 16.1 cm Provenance: Galerie Kevorkian, Paris, 2011 A South Arabian alabaster bull, late 1st millennium B.C. Commentaire : Lot en importation temporaire L'acquéreur devra s'acquitter des frais d'importation, soit 5,5% en sus du prix d'adjudication sauf s'il réexporte immédiatement le lot en dehors de l'Union Européenne. LOT 100 STATUETTE DE TAUREAU EN ALBÂTRE, ART SUD-ARABIQUE, FIN DU 1er MILLÉNAIRE AV. [ translate ] ¤ STATUETTE DE TAUREAU EN ALBÂTRE, ART SUD-ARABIQUE, FIN DU 1er MILLÉNAIRE AV. Estimation 10 000 - 12 000 € Sold 10,840 € * Results are displayed including buyer's fees and taxes. They are generated automatically and can be modified."",56,,,""Statuette, alabaster, South Arabian art, depicting a standing bull on a rectangular base. Dimensions: 13 x 16.1 cm. Late 1st millennium B.C."",""Statuette, alabaster, depicting a bull standing on a rectangular base. The object is attributed to South Arabian art and dated to the late 1st millennium B.C. It measures 13 x 16.1 cm. The source text notes provenance from Galerie Kevorkian, Paris, in 2011."",21";;;;;;;
"21,0-آثارنا المنهوبة_25_p057_4b2bc103,""[ translate ] South Arabian (?) A group of six alabaster heads and fragments Provenance: Private Collection of Dr. LOT 88 South Arabian (?) A group of six alabaster heads... Mohammed Said Farsi (1936-2019), acquired between 1960-90 at Christie's, Sotheby's and Mayfair Galleries London."",57,,,""Group of six alabaster heads and fragments, South Arabian (?)"",""Group of six alabaster heads and fragments, made of alabaster and attributed tentatively to South Arabian (?) origin. The group comprises six heads and fragmentary remains. Provenance noted in the source includes the private collection of Dr. Mohammed Said Farsi (1936-2019), with acquisition between 1960 and 1990 at Christie's, Sotheby's, and Mayfair Galleries, London."",22";;;;;;;
"22,0-آثارنا المنهوبة_25_p058_9c26a93f,""[ translate ] South Arabian (?) A group of six carved alabaster heads Provenance: Private Collection of Dr. LOT 90 South Arabian (?) A group of six carved alabaster... Mohammed Said Farsi (1936-2019), acquired between 1960-90 at Christie's, Sotheby's and Mayfair Galleries London."",58,,,""Group of six carved alabaster heads, possibly South Arabian."",""Group of six carved alabaster heads, possibly South Arabian. The objects are described as carved alabaster heads and are presented as a group of six. Provenance given in the source notes a private collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie's, Sotheby's, and Mayfair Galleries, London."",23";;;;;;;
"23,0-آثارنا المنهوبة_25_p059_4de81847,""LOT 91 South Arabian (?) Two alabaster carved heads Provenance: Private... [ translate ] South Arabian (?) Two alabaster carved heads Provenance: Private Collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960-90 at Christie's, Sotheby's and Mayfair Galleries London."",59,,,""Two carved heads, alabaster, South Arabian (?)"",""Two carved heads, alabaster, attributed to South Arabian (?) production. The objects are carved in alabaster and are described as heads. Provenance noted as a private collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie's, Sotheby's, and Mayfair Galleries, London."",24";;;;;;;
"24,0-آثارنا المنهوبة_25_p060_d921748e,""LOT 508a A SOUTH ARABIAN BRONZE CAMEL. [ translate ] A SOUTH ARABIAN BRONZE CAMEL. Ex Shlomo Moussaieff coll., Herzliya Pituah."",60,,,""Bronze camel, South Arabian."",""Bronze camel, South Arabian. The object is identified as a camel in bronze and is attributed to South Arabia. Provenance noted in the source as ex Shlomo Moussaieff collection, Herzliya Pituah."",25";;;;;;;
"25,0-آثارنا المنهوبة_25_p061_d7091d94,""LOT 507 A SOUTH-ARABIAN CAST BRONZE GOAT HEAD. Hellenistic Period, 4th - 2nd century BCE. [ translate ] A SOUTH-ARABIAN CAST BRONZE GOAT HEAD. With nice green patina and in good condition. Ex Shlomo Moussaieff coll., Herzliya Pituah."",61,,,""Goat head, cast bronze, South-Arabian, Hellenistic Period, 4th–2nd century BCE. The object has a green patina and is in good condition."",""Goat head, cast bronze, South-Arabian, Hellenistic Period, 4th–2nd century BCE. The head is made of cast bronze and retains a green patina. It is described as being in good condition. Provenance noted in the source as ex Shlomo Moussaieff collection, Herzliya Pituah."",26";;;;;;;
"26,0-آثارنا المنهوبة_25_p062_6e84de98,""LOT 95 A South Arabian Limestone Head [ translate ] A South Arabian Limestone Head Circa 3rd-1st Century B.C. Height with stand 11 5/8 inches (29.53 cm). Ryedale Auctioneers, Yorkshire, The Victor Brox Collection, 2 May 2024, Lot 33"",62,,,""Head, limestone, South Arabian, circa 3rd-1st century B.C. Height with stand 11 5/8 inches (29.53 cm)."",""Head, limestone, South Arabian, circa 3rd-1st century B.C. The object is recorded with a height including stand of 11 5/8 inches (29.53 cm). Provenance information in the source text notes Ryedale Auctioneers, Yorkshire, The Victor Brox Collection, 2 May 2024, Lot 33."",27";;;;;;;
"27,0-آثارنا المنهوبة_25_p063_c1d108c1,""LOT 91596715 South Arabian A South Arabian Limestone Oil Lamp Ex Christies [ translate ] A South Arabian Limestone Oil lamp ,CIRCA 1ST CENTURY B. In the form of a bearded man, seated with his legs bent at the knees, the round fill hole at the top of his head, a loop at the nape of his neck, his arms wrapped around a turtle projecting outwards from his lap, its head forming the nozzle4 7/8 in. 4 cm.) high Provenance: Christies NY, June 4, 2008 Lot #92."",63,,,""Oil lamp, limestone, South Arabian, circa 1st century B.C. Formed as a bearded man seated with bent legs, with a round fill hole at the top of the head, a loop at the nape of the neck, and arms wrapped around a turtle projecting from the lap, the turtle's head forming the nozzle."",""Oil lamp, limestone, South Arabian, circa 1st century B.C. The lamp is modelled in the form of a bearded man seated with his legs bent at the knees. A round fill hole is placed at the top of the head, and a loop is present at the nape of the neck. The figure's arms are wrapped around a turtle projecting outward from the lap, with the turtle's head forming the nozzle. Height: 4 7/8 in. (4 cm.). Provenance: Christie's New York, 4 June 2008, lot 92."",28";;;;;;;
"28,0-آثارنا المنهوبة_25_p064_f6ce2f73,""LOT 437 SOUTH ARABIAN ALABASTER FIGURE OF A PRIEST [ translate ] SOUTH ARABIAN ALABASTER FIGURE OF A PRIEST Ca. For similar see: Sotheby’s, Ancient Sculpture and Works of Art, Part I (7 December 2021), Lot 4.Size: 380mm x 160mm"",64,,,""Figure, alabaster, South Arabian, of a priest, ca. 380 mm x 160 mm."",""Figure, alabaster, South Arabian, of a priest, probably dating to an unspecified period. The object is described as a South Arabian alabaster figure of a priest. Recorded dimensions are 380 mm x 160 mm. A comparative reference is noted to Sotheby’s, Ancient Sculpture and Works of Art, Part I (7 December 2021), lot 4."",29";;;;;;;
"29,0-آثارنا المنهوبة_25_p065_816507df,""[ translate ] South Arabian A Group of five stone carved heads, three with Ancient South Arabian inscription To be sold without reserve Provenance: Private Collection of Dr. LOT 321 South Arabian A Group of five stone carved heads,... Mohammed Said Farsi (1936-2019), acquired between 1960-90 at Christie's, Sotheby's and Mayfair Galleries London."",65,,,""Stone carved heads, a group of five, South Arabian, three with Ancient South Arabian inscription."",""Stone carved heads, group of five, South Arabian, carved in stone. Three of the heads bear Ancient South Arabian inscription. The source text gives no further technical, dimensional, or chronological details."",30";;;;;;;
"30,0-آثارنا المنهوبة_25_p067_31aa95b1,""LOT 63 A SOUTH ARABIAN ALABASTER HEAD CIRCA 1ST CENTURY B.C./A.D. [ translate ] A SOUTH ARABIAN ALABASTER HEAD CIRCA 1ST CENTURY B.C./A.D. (18 cm.) high Provenance with Galerie Orient-Occident, Paris."",67,,,""Head, alabaster, South Arabian, circa 1st century B.C./A.D., 18 cm high."",""Head, alabaster, South Arabian, circa 1st century B.C./A.D. The object is recorded as 18 cm high. Provenance: Galerie Orient-Occident, Paris."",31";;;;;;;
"31,0-آثارنا المنهوبة_25_p068_2be803ae,""LOT 300 South Arabian (?) Two limestone heads Provenance: Private Collection... [ translate ] South Arabian (?) Two limestone heads Provenance: Private Collection of Dr. From the Dr Mohammed S Farsi Collection Dimensions: [a] 8 in. Mohammed Said Farsi (1936-2019), acquired between 1960-90 at Christie's, Sotheby's and Mayfair Galleries London."",68,,,""Two limestone heads, South Arabian (?)"",""Two limestone heads, made of limestone and attributed tentatively to South Arabian (?) origin. Provenance is given as the Private Collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London. One head is recorded with a dimension of 8 in."",32";;;;;;;
"32,0-آثارنا المنهوبة_25_p069_9ad36b3a,""[ translate ] South Arabian A black stone circular incense burner To be sold without reserve Provenance: Private Collection of Dr. LOT 310 South Arabian A black stone circular incense burner To... From the Dr Mohammed S Farsi Collection Dimensions: 5 in. Mohammed Said Farsi (1936-2019), acquired between 1960-90 at Christie's, Sotheby's and Mayfair Galleries London."",69,,,""Incense burner, black stone, circular form, South Arabian."",""Incense burner, black stone, circular, South Arabian. The object is described as a black stone circular incense burner. Provenance information in the source mentions a private collection of Dr. Mohammed Said Farsi, with acquisition between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London. The recorded dimension is 5 in."",33";;;;;;;
