,artifact_id,pdf_name,page_num,numero_inventaire,type,description_texte_long,materiel,periode,dimensions,nom_musee_auction,etat,note,text_for_matching,id_page,upgr_desc
10,0-آثارنا المنهوبة_18_p006_c11d48c1,0-آثارنا المنهوبة_18.pdf,6,,مبخرة مربعة الشكل,مبخرة مربعة الشكل، من الحجر الجيري، تقف على أربعة أرجل، على جوانبها كتابة بخط المسند )الغائر( ج د ن.,الحجر الجيري,,,سوق حزم الجوف,منهوبة,,"Square-shaped vapor. A square-shaped vapor, from limestone, stands on four legs, on its sides, written in the jarhead line. The limestone.",,
11,0-آثارنا المنهوبة_18_p006_bb91182f,0-آثارنا المنهوبة_18.pdf,6,,وعاء دائري الشكل,وعاء دائري الشكل من مادة البرونز، يقف على أربعة أرجل.,البرونز,,,سوق حزم الجوف,منهوبة,," . Round-shaped bowl. A round-shaped bowl of bronze, standing on four legs. The bronze. The Hollow Packing Market. Loosened.",,
12,0-آثارنا المنهوبة_18_p007_95827082,0-آثارنا المنهوبة_18.pdf,7,,قاعدة إناء,قاعدة إناء اسطوانية الشكل من مادة البرونز، يتوسطها حزام مستدير بارز، والقاعدة من أسفل مخروطية الشكل أما من أعلى فهي مستديرة.,البرونز,,,سوق حزم الجوف,معروض للبيع,," . A bowl rule. Bronze-shaped cylindrical base, mediated by a prominent round belt, and the bottom of the cone is round. The bronze. The Hollow Packing Market.",,
13,0-آثارنا المنهوبة_18_p007_be9577b5,0-آثارنا المنهوبة_18.pdf,7,,حبة خرز,حبة خرز من الحجر الكريم، كروية الشكل، بألوان برتقالية وكبدي، يتوسطها ثقب نافذ والذي كانت من خالله تعلق ضمن حبات العقد.,الحجر الكريم,,,سوق حزم الجوف,معروض للبيع,," . A bead. A bead of stone cream, spherical shape, orange colors and liver, mediated by a hole in the window, which was by far stuck within the knots. The gem.",,
14,0-آثارنا المنهوبة_18_p008_534e4431,0-آثارنا المنهوبة_18.pdf,8,,عملة يمنية قديمة,عملة يمنية قديمة من مادة المعدن، يتوسطها نحت بارز لوجه آدمي محاط بنحت بارز لحيوان الأفعى.,المعدن,,,سوق حزم الجوف,معروضة للبيع,," . An old Yemeni coin. An old Yemeni coin of metal, mediated by a prominent sculpture of a human face surrounded by a prominent sculpture of a snake. Metal The Hollow Packing Market. Offered for sale",,
15,0-آثارنا المنهوبة_25_p001_727222a7,0-آثارنا المنهوبة_25.pdf,1,1,لوحة جدارية,جزء من لوحة جدارية عليها زخارف هندسية زجزاجية، بالإضافة إلى خمسة رؤوس حيوانية، يحيط بها إطار يجسد حيوان الوعل وهو رابض.,حجر جيري,,14 بوصة (ارتفاع) × 12 بوصة (عرض),LOT - ART,سيئة، إذ تعاني من فقدان من جميع أطرافها، وثقب غير نافذ في المنتصف,," . 14  × 12  LOT - ART A mural. Part of a mural with glass geometrics, plus five animal heads, is surrounded by a tyre that embodies the acupuncture and is attached. Jerry's Stone.",1.0,
16,0-آثارنا المنهوبة_25_p002_ff2d3dda,0-آثارنا المنهوبة_25.pdf,2,2,لوحة جدارية,الجزء السفلي للوحة جدارية، يبرز منها النصف السفلي لجسد آدمي يرتدي ثوب طويل، يقف على قاعدة مستطيلة عليها كتابة بخط المسند غير واضحة، من المرجح أن يكون اسم الشخص.,حجر مرمر,حوالي 200 قبل الميالد - 100 ميالدي,6 1/4 بوصة ارتفاع × 5 بوصة عرض × 1 5/8 بوصة عمق,LOT - ART,سيئة,," . 200 - 100 6 1/4 × 5 × 1 5/8 LOT - ART A mural. The bottom of a mural, which highlights the lower half of a human body wearing a long dress, stands on a rectangular base with an unclear pedagogy, which is likely to be a person's name. A marble stone. About 200 before Miled-100 Miles. 6 1/4 in height times 5 in width times 1 5/8 in depth",2.0,
17,0-آثارنا المنهوبة_25_p003_85c68c3b,0-آثارنا المنهوبة_25.pdf,3,3,تمثال حيواني,تمثال لحيوان الجمل وعليه راكب من البرونز، يعاني من تكلسات ترابية,برونز,,الطول 3.6 سم × العرض 1.17 سم × الارتفاع 4 سم,LOT - ART,جيدة,," 3.6 × 1.17 × 4 LOT - ART An animal statue. A camel statue with a bronze rider, suffering from dirt cleavages. Bronze. The length is 3.6 cm times the width is 1.17 cm times the height is 4 cm. LOT - ART Good.",3.0,
18,0-آثارنا المنهوبة_25_p004_6c0d0179,0-آثارنا المنهوبة_25.pdf,4,4,رأس تمثال آدمي,رأس آدمي من مادة الفخار (الطين المحروق)، بملامح وجه واضحة، أنف بارز يتصل به الحاجبان، أسفلهما عينان مغمضتان، والشفتان بارزتان، يظهر على سطحه ثقوب بسيطة غير نافذة نتيجة احتراق القش الممزوج بالطين.,فخار (الطين المحروق),حوالي القرن الثالث إلى الأول قبل الميالد,7.4 سم طول- 2 7/8 بوصة,LOT - ART,جيدة جدا,,"7.4 - 2 7/8 LOT - ART 7.4 - 2 7/8 LOT - ART The head of a human statue. A human head of pottery (burned clay), with clear facial glimpses, with a prominent nose connected by eyebrows, underneath which are closed eyes, and lips with prominent lips, show on its surface simple, impenetrable holes as a result of the burning of mud-mixed hay. Cream (burned mud)",4.0,
19,0-آثارنا المنهوبة_25_p005_a9b6090a,0-آثارنا المنهوبة_25.pdf,5,5,رأس تمثال آدمي,رأس آدمي من حجر المرمر بملامح وجه واضحة، مقدمة الرأس (الجبهة) مفقودة، والعينان غائرتان اليسرى أُعيد تعبئتها بمادة الجبس، والأنف بارز، أما الشفتان صغيرتان بارزتان.,حجر مرمر,حوالي القرن الثالث أو الأول قبل الميالد,االرتفاع 9.6 سم,LOT - ART,سيئة,,"  . 9.6 LOT - ART LOT - ART The head of a human statue. A human head from the marble stone with clear facial glimpses, the front of the head (front) is missing, the left eye is blind and reloaded with gypsum, the nose is prominent, and the lips are small and visible. A marble stone. About the third century or the first before the miles.",5.0,
20,0-آثارنا المنهوبة_25_p006_1cdb6eb3,0-آثارنا المنهوبة_25.pdf,6,6,رأس تمثال آدمي,رأس تمثال لرجل، من حجر المرمر بملامح وجه واضحة، العينان غائرتان، الأنف طويل بارز، يتصل بأعلاه الحاجبان، وبالأعلى يقع الفم الذي مُثل بخط أفقي بسيط غائر، الشفة السفلية بارزة، وله رقبة طويلة نسبياً.,حجر مرمر,حوالي القرن الأول قبل الميالد، القرن الأول الميالدي,ارتفاعه 23 سم,LOT - ART,جيدة,, . 23 LOT - ART 23 LOT - ART,6.0,
21,0-آثارنا المنهوبة_25_p007_1c050a86,0-آثارنا المنهوبة_25.pdf,7,7,وزانة,وزانة من مادة البرونز، مستطيلة الشكل، تقف على رجلين وفي أعالها مقبض. على جانبها كتابة بخط المسند الغائر المحزوز، مكونة من سطر واحد كالتالي: و د ي د م.,برونز,حوالي القرن الأول قبل الميالد,االرتفاع 8.8 إنش,LOT - ART,جيدة، وتعاني من بعض تكلسات صدأ البرونز,," . : . 8.8 LOT - ART And a closet. A bronze tank, rectangular, stands on two legs with a handle on its top, on its side written in the shovel line, consisting of one line as follows: Bronze. About the first century before the miles.",7.0,
22,0-آثارنا المنهوبة_25_p008_44540d03,0-آثارنا المنهوبة_25.pdf,8,8,شاهد قبر,شاهد قبر بوجه آدمي من حجر المرمر، بمالمح وجه واضحة، عينان لوزيتان محزوزتان يعلوهما الحاجبان بخطان دقيقان غائران، واألنف مستقيم، وجُسد الفم بشفتان أفقيتان بارزتان، وذقن عريض.,حجر مرمر,,الطول 175 مم / العرض 120 مم؛ الوزن 2.7 كجم,LOT - ART,جيدة,," . 175 / 120 2.7 LOT - ART 175 / 120 2.7 LOT - ART A tombstone. He saw a human grave from the marble stone, with a clear glimpse of a face, two eyes of blues, two eyebrows, two sharp lines, a straight line, and a bald mouth with two distinct horizontal lips, and a wide chin. A marble stone.",8.0,
23,0-آثارنا المنهوبة_25_p009_2f2b0ce4,0-آثارنا المنهوبة_25.pdf,9,9,آنية,آنية حجرية مخروطية الشكل من حجر المرمر، ذات فوهة قطرها أصغر من قطر قاعدتها، لها غطاء ذو مقبض، وتظهر عليها خطوط (عروق) ملونة من ذات الحجر.,حجر مرمر,حوالي القرن الثالث قبل الميالد إلى القرن األول الميالدي,7.9 × 8.6 سم (عرض 3.1 بوصة × ارتفاع 3.4 بوصة),LOT - ART,جيدة جدا,آنية مع الغطاء,"  . 7.9 × 8.6 ( 3.1 × 3.4 ) LOT - ART Annie. A conical-shaped stone bowl of the marble stone, with a crater smaller than the diameter of its base, has a hood with a handle, and shows coloured lines (sticks) of the same stone. A marble stone. About the third century before the miles into the first of the miles. 7.9 x 8.6 cm (3.1 &quot",9.0,
24,0-آثارنا المنهوبة_25_p010_d9c89231,0-آثارنا المنهوبة_25.pdf,10,10,رأس تمثال آدمي,رأس تمثال آدمي، من حجر المرمر، مالمح الوجه واضحة العينان لوزيتان يعلوهما الحاجبان، واألنف كبير نسبياً، والفم صغير بارز، وله رقبة.,حجر مرمر,حوالي القرن الثالث إلى األول قبل الميالد,الوزن اإلجمالي 2.42 كجم، الطول 22.5 سم شامل الحامل (8/7 8 بوصة),LOT - ART,جيدة جداً,,"0 . 2.42 22.5 (8/7 8 ) LOT - ART 2.42 22.5 (8/7 8 ) LOT - ART The head of a human statue. The head of a human statue, of the marble stone, with a clear-eyed face of two eyebrows above the eyebrows, a relatively large nose, a prominent little mouth, and a neck.",10.0,
25,0-آثارنا المنهوبة_25_p011_c592ae55,0-آثارنا المنهوبة_25.pdf,11,11,شاهد قبر,شاهد قبر مستطيل الشكل، من الحجر الجيري، يبرز منه وجه آدمي بملامح واضحة، العينان لوزيتان، يعلوهما الحاجبان، واألنف غليظ نسبياً، يقع أسفله الفم قد تم تشكيلة بحفر غائر.,حجر جيري,,ارتفاع 22 سم,LOT - ART,جيدة,,1 . 22 LOT - ART,11.0,
26,0-آثارنا المنهوبة_25_p012_62aa0a39,0-آثارنا المنهوبة_25.pdf,12,12,شاهد قبر,شاهد قبر مستطيل الشكل، من الحجر الجيري، بعينان بارزتان، وأنف طويل بارز,حجر جيري,من منتصف إلى أواخر الألفية الأولى قبل الميالد أو بعد ذلك,الوزن 1.82 كجم، 34.5 سم (13 8/5 بوصة),LOT - ART,جيدة,,"2 1.82 34.5 (13 8/5 ) LOT - ART LOT - ART A tombstone. He saw a rectangular tomb, limestone, two eyes high, a long nose high. Jerry's Stone. Mid-to-late first millennium before or after the miles.",12.0,
27,0-آثارنا المنهوبة_25_p013_77e29dc4,0-آثارنا المنهوبة_25.pdf,13,13,تماثيل حيوانية,مجموعة تماثيل برونزية لحيوان الجمل بنفس الحجم تقريباً، رؤوسها مرتفعة للأعلى، أذنيها بارزة بشكل الفت، وذيل قصير، أطرافها متالصقة.,برونز,حوالي القرن الثاني إلى الأول قبل الميالد,األبعاد 60-63 مم × 65-67 مم؛ الوزن 125 غرامًا,LOT - ART,جيدة,ثالث قطع,"3 . 60-63 × 65-67 125 LOT - ART LOT - ART Animal statues. A bronze collection of camel statues is about the same size, their heads are high up, their ears are stunning, their tails are short, their limbs are stuck. Bronze. About the second to the first century before the miles.",13.0,
28,0-آثارنا المنهوبة_25_p014_eef7c864,0-آثارنا المنهوبة_25.pdf,14,14,تمثال أدمي,تمثال المرأة من البرونز، يقف على قاعدة مستطيلة الشكل يغطي نصفها السفلي مئزر، يدها اليسرى ملتصقة على جسدها، بينما اليمنى ممدودة للأمام وتمسك بها وردة خماسية البتلات. يتميز وجهها بملامح بسيطة، عيناها بارزتان، لها أنف عريض وشفتان منتفختان. أذناها مزينة بأقراط ثقيلة، وفوق رأسها تاج.,برونز,حوالي القرن الأول والثاني الميلادي.,الطول 110 مم / العرض 45 مم؛ 155 جرام,LOT - ART,جيدة جداً,,"4 . 110 / 45 155 LOT - ART . 110 / 45 155 LOT - ART A human statue. The statue of a woman from the bronze, standing on a rectangular base, covers her lower half with an apron, her left hand stuck on her body, while her right hand is stretched forward and clinged to it with a pentagram flower. Her face is characterized by simple hints, her eyes are prominent, with wide nose and bloated lips. Her ears are decorated with heavy earrings, with a crown on her head.",14.0,
29,0-آثارنا المنهوبة_25_p015_3fe4479f,0-آثارنا المنهوبة_25.pdf,15,15,مائدة قرابين (مذبح),مائدة قرابين (مذبح)، مستطيلة الشكل من الحجر الجيري، يتقدمها رأس ثور برقبة طويلة، مالمح الوجه واضحة، يتوسط الجبهة قناة لتصريف السوائل، يبرز من الرأس القرنان واألذنان.,حجر جيري,حوالي القرن الثالث قبل الميالد,الطول 350 مم / العرض 220 مم؛ الوزن 10.52 كجم,LOT - ART,جيدة,,"5 . 350 / 220 10.52 LOT - ART 350 / 220 10.52 LOT - ART Grabin table (sacred) A crab table (a altar), rectangular shape of limestone, presented by Thor's head with a long neck, with a clear glimpse of the face, the front mediating a drain of fluids, popping out of the head of the horns and ears. Jerry's Stone.",15.0,
30,0-آثارنا المنهوبة_25_p016_b639c212,0-آثارنا المنهوبة_25.pdf,16,16,رأس تمثال آدمي,رأس تمثال لرجل ، من الحجر الجيري، أسود اللون بسبب السناج، له أنف طويل ،بارز وغليظ متصل بحاجبان، يقع أسفلهما عينان غائرتان، والفم صغير برقبة طويلة.,حجر جيري,حوالي القرن الثالث قبل الميالد,الطول 150 مم / العرض 60 مم؛ الوزن 385 غرامًا,LOT - ART,جيدة,,"6 . 150 / 60 385 LOT - ART 150 / 60 385 LOT - ART The head of a human statue. The head of a man's statue, of limestone, black because of the squid, has a long, barren, thick nose attached to eyebrows, with two blind eyes below them, and a small mouth with a long neck.",16.0,
31,0-آثارنا المنهوبة_25_p017_157d5bda,0-آثارنا المنهوبة_25.pdf,17,17,تعليقة قالدة,تعليقة قالدة من الذهب، مطعمة بأحجار كريمة ملونة، على شكل حيوان، يعلوه حبيبات كروية صغيرة يعلوها ثقب التعليق.,ذهب، أحجار كريمة,أوائل الألفية الأولى الميالدية,الوزن0.72 غرام12 مم3/8 بوصة,LOT - ART,ممتازة,,"7 . 0.72 12 3/8 LOT - ART LOT - ART A necklace. A necklace of gold, crisped with colored gems, shaped as an animal, overrun by little spherical granules, pierced by a comment hole. Gold, gems. The early part of the first millennium.",17.0,
32,0-آثارنا المنهوبة_25_p018_6f4b152c,0-آثارنا المنهوبة_25.pdf,18,18,رأس تمثال آدمي,رأس تمثال لرجل، من الحجر الجيري، له أنف طويل بارز متصل بحاجبان، يقع أسفلهما عينان بارزتان، والفم صغير جداً، وله رقبة.,حجر جيري,حوالي القرن الثالث قبل الميالد,الطول 95 مم / العرض 60 مم؛ الوزن 220 غرامًا,LOT - ART,سيئة,,"8 . 95 / 60 220 LOT - ART 95 / 60 220 LOT - ART The head of a human statue. The head of a man's statue, of limestone, has a prominent long nose connected to eyebrows, with two prominent eyes below them, a very small mouth, and a neck. Jerry's Stone.",18.0,
33,0-آثارنا المنهوبة_25_p019_e4deff7b,0-آثارنا المنهوبة_25.pdf,19,19,أقراط ذهبية,زوج من الأقراط الذهبية المتطابقة، بحلقات دائرية، يتصل بهما أجسام ثلاثية الشكل، مثبت على كل منهما خمس حلقات صغيرة، يتدلى منها أجزاء تشبه الأجراس.,ذهب,حوالي ما بين القرن الثاني قبل الميالد– القرن األول الميالدي,الوزن اإلجمالي 8.45 غرام، وقطر كلٍّ منها 28 مم (بوصة واحدة),LOT - ART,ممتازة,قرطان فرديان.,"9 . – 8.45 28  LOT - ART . 28  LOT - ART . Gold earrings. A pair of identical golden earrings, with circular rings, connected by three-shaped objects, each with five small rings, with bell-like parts hanging. Gold.",19.0,
34,0-آثارنا المنهوبة_25_p020_e27076bd,0-آثارنا المنهوبة_25.pdf,20,20,أقراط ذهبية,زوج من الأقراط الذهبية المتطابقة، بحلقات دائرية على جانبيها قطع صغيرة ملتصقة، يتصل بالحلقات حزام ذو ضفائر صغيرة، تنتهي أطرافها بأربع حلقات صغيرة، يتدلى منها أجزاء تشبه الأجراس.,ذهب,حوالي ما بين القرن الثاني قبل الميالد– القرن الأول الميالدي,الوزن الإجمالي 13 غرامًا، والقطر 46 مم (1 3/4 بوصة).,LOT - ART,ممتازة,قرطان فرديان.,"0 . – 13 46 (1 3/4 ). LOT - ART . 46 (1 3/4 ). LOT - ART . Gold earrings. A pair of identical golden earrings, with rings on both sides of them with little pieces attached to the rings with a little fragrance belt, with four little rings ending, with parts hanging like bells. Gold.",20.0,"Earrings, gold. Pair of identical gold earrings with rings on both sides, small pieces attached to the rings by a small fragrance belt, and four small rings at the ends, with hanging elements shaped like bells."
35,0-آثارنا المنهوبة_25_p021_85789d45,0-آثارنا المنهوبة_25.pdf,21,21,تمثال آدمي,تمثال لرجل، من الحجر الجيري، بوضعية الجلوس، يديه ممدودتان إلى الأمام، مالمح وجهه واضحة، بأنف بارز وعريض متصل بالحاجبان، يقع أسفلهما عينان بارزتان، وجُسد الفم بخط غائر صغير.,حجر جيري,,38 × 12 × 10 س م,LOT - ART,جيدة جداً,,1 . 38 × 12 × 10 LOT - ART 38 × 12 × 10 LOT - ART A human statue.,21.0,
36,0-آثارنا المنهوبة_25_p022_9f1d3fdf,0-آثارنا المنهوبة_25.pdf,22,22,رؤوس تماثيل آدمية,مجموعة من رؤوس التماثيل اآلدمية من حجر المرمر، ذات أنوف طويلة وبارزة، وعينان وحاجبان محزوزان، وأفواه صغيرة، أحدها يعاني من كسر في الجهة اليمنى من الجبهة باإلضافة إلى تهشم األنف.,حجر مرمر,,,LOT - ART,جيدة,أربع قطع,"2 . LOT - ART LOT - ART The heads of human statues. A bunch of puppeteers from the marble stone, with long and noses, two eyes, two eyebrows, and small mouths, one of which suffers from a fracture on the right side of the front, in addition to the smashing of Alnov. A marble stone.",22.0,
37,0-آثارنا المنهوبة_25_p023_4a745754,0-آثارنا المنهوبة_25.pdf,23,23,تمثال حيوان,تمثال ل حيوان خرافي مجنح واضح المالمح على شكل أسد وبرأس آدمي، يقف على أربعة أرجل، له قاعدة مستطيلة الشكل، على الرأس غطاء دائري به بروز إلى األمام بما يشبه الطاقية، وجناحان مرفوعان إلى األعلى.,برونز,حوالي القرن الرابع إلى الثاني قبل الميالد,ارتفاعه 9.6 سم,LOT - ART,جيدة جدا,له تمثال آخر مشابه، أنظر آثارنا المنهوبة 15.,"3 . 9.6 LOT - ART 15. LOT - ART 15. An animal statue. A statue of a clearly winged supernatural animal with a lion-shaped and human head, standing on four legs, with a rectangular base, on the head with a circular cover with the appearance of energy-like flags, and two wings above. Bronze.",23.0,
38,0-آثارنا المنهوبة_25_p024_5ce2389f,0-آثارنا المنهوبة_25.pdf,24,24,مبخرة,مبخرة برونزية دائرية الشكل، الجزء الأمامي من حافتها مرتفع ومتوج بمسامير مزخرفة بحلقات، محاطة بحاملين كبيرين على شكل طائر، لكل منهما جناح طويل منحني على الجانب الخارجي للمبخرة، وأرجل موضوعة إحداهما أمام الأخرى في وضعية حركة، مقدمة المبخرة مزينة بنقش بارز بخط المسند كالتالي: [ع] ث ت ر / ذ، يفصل بين الحروف حيوان واقف على رجليه الخلفيتين ذو ذيل طويل، ربما أسد.,برونز,حوالي القرنين السابع والسادس قبل الميالد,الوزن اإلجمالي 9.17 كجم، الطول 28 سم (11 بوصة) بما في ذلك الحامل.,LOT - ART,جيدة جدا,"يُقال إنها من معبد ""عثتر ذو غرب"" في نشأن (السوداء) في الجوف باليمن.","4 : [ ] / . 9.17 28 (11 ) . LOT - ART ""  . 9.17 28 (11 ) . LOT - ART ""  .",24.0,
39,0-آثارنا المنهوبة_25_p025_2302ee91,0-آثارنا المنهوبة_25.pdf,25,25,رأس تمثال آدمي,رأس تمثال لرجل ، من حجر المرمر، مالمح وجهه واضحة، له أنف مهشم قليلاً، وحاجبان مقوسان بخطوط غائرة، يقع أسفلهما عينان غائرتان، والفم صغير جداً، وله رقبة صغيرة.,حجر مرمر,حوالي القرن الأول قبل الميالد,الأبعاد التقريبية: ارتفاع 3 5/8 بوصة × عرض 2 1/2 بوصة × عمق 2 بوصة,LOT - ART,جيدة,,5 . : 3 5/8 × 2 1/2 × 2 LOT - ART : 3 5/8 × 2 1/2 × 2 LOT - ART The head of a human statue.,25.0,
40,0-آثارنا المنهوبة_25_p026_1fcd326b,0-آثارنا المنهوبة_25.pdf,26,26,نقش مسند,نقش مسند من البرونز، عليه كتابة بخط المسند البارز مكونة من سبعة أسطر غير واضحة بسبب صدأ البرونز الذي يكسيه، يحيط به إطار بارز,برونز,حوالي القرن الثاني قبل الميالد,17.5 × 12.5 سم,LOT - ART,جيدة,,"6 17.5 × 12.5 LOT - ART A pavilion. A graffiti of the bronze has to be written in a seven-line, impeccable rust of the bronze he's wearing, surrounded by a prominent frame. Bronze. About the second century before the miles. 17.5 x 12.5 cm LOT - ART",26.0,
41,0-آثارنا المنهوبة_25_p027_b022fb35,0-آثارنا المنهوبة_25.pdf,27,27,تمثال آدمي,تمثال آدمي من الحجر، أطرافه مكسورة، له رداء بطول جسده، مالمح وجهه واضحة بأنف طويل وبارز، وحاجبان غائران، والعينان بارزتان لهما بؤبؤيين غائران كما يبدو أنهما كانا مطعمين ولكنهما مفقودان، وعلى جانبي الرأس يوجد نتوءان يجسدان الأذنان.,حجر,حوالي القرن الثاني قبل الميالد- القرن الثاني الميالدي,ارتفاعه 14.2 سم,LOT - ART,جيدة,,"7  14.2 LOT - ART - 14.2 LOT - ART A human statue. A human statue of stone, broken limbs, with a robe as long as his body, with a clear face with a long nose and a beard, with two wandering eyebrows, with two eyes with jealous pupils, as it appears they were a restaurant b",27.0,"Human statue, stone, fragmentary, with broken limbs. The figure is shown wearing a robe extending the full length of the body. The face is clearly defined, with a long nose, beard, two wandering eyebrows, and two eyes with jealous pupils. The description is incomplete in the source text."
42,0-آثارنا المنهوبة_25_p028_a003fe3c,0-آثارنا المنهوبة_25.pdf,28,28,تماثيل حيوانية,مجموعة تماثيل برونزية لحيوان الجمل، صغيرة الحجم، مختلفة الشكل ما بين النحيفة والسمينة، أما السمينة فيبدو أن على ظهرها ما يشبه السرج.,برونز,حوالي إلى القرن الثاني إلى الأول قبل الميالد,عرضها يتراوح بين 2 1/4 و3 1/8 بوصة. ارتفاعها 2 7/8 بوصة.,LOT - ART,جيدة جدا,أربع قطع,"8 . 2 1/4 3 1/8 . 2 7/8 . LOT - ART Animal statues. A bronze collection of camel statues, small size, different shapes between skinny and fat, but fat looks like a saddle on her back. Bronze. Around the second century to the first before the miles. Its width is between 2 1/4 and 3 1/8 inches. It is 2-7/8 inches high.",28.0,
