artifact_id;looted_text;wb_txt_shrt;wb_txt_lg;wb_txt_shrt_dist;wb_txt_lgidst
0-آثارنا المنهوبة_16_p010_1a66044c;Statue, bronze, in the form of a camel. The figure is described as surrounding the top of the neck of a rope, with a tranquil inscription along the blade line that is unclear, and the body covered with a full layer of effort. Height 7.5 cm.;Auction platform, not an archaeological object.;"Auction platform, not an archaeological object. The source text refers to ""BidsSpirit Israel - Auctions: jewelry, art, antiquities and more,"" which is commercial and does not provide a describable object, material, typology, dimensions, or period.";0,206556618;0,176866293
0-آثارنا المنهوبة_10_p067_ac96fcd1;"Statue, bronze. Camel statue with a passenger on its back, showing clear features; the rider is depicted holding a stone. The camel has a straight neck and a forward-facing head, rendered in motion. Dated to the 1st century BC.";Bronze camel and rider, South Arabian Peninsula. Bronze camel with a naked rider or deity holding the reins in one hand.;Bronze camel and rider, South Arabian Peninsula. The object is a bronze camel with a naked rider or deity seated on it, holding the reins in one hand. No further technical, dimensional, or chronological information is provided in the source text.;0,21154511;0,2034266
0-آثارنا المنهوبة_25_p070_8aeba613;Bowl, bronze. Bronze bowl decorated with painted and/or incised motifs of three human figures, three palm trees, two plant motifs, and a snake. Dated to around the 4th to 2nd century BCE.;Bronze bowl, South-Arabian, Hellenistic Period, 4th–2nd century BCE, decorated in relief with three human figures, three palm trees, two floral motifs, and a serpent.;Bronze bowl, South-Arabian, of Hellenistic Period date, 4th–2nd century BCE. The bowl is decorated in relief with three human figures, three palm trees, two floral motifs, and a serpent. The source text identifies the object as a South-Arabian bronze bowl and provides no further information on dimensions, provenance, or condition.;0,213988721;0,158367157
31-آثارنا المنهوبة_31_p010_26086da7;Human statue fragment, bronze, preserving part of a hollow bronze figure: the left torso and shoulder, with a shield and a belt crossing the shoulders and extending to the back. First and second century C.E. Height: 21 cm.;Fragment of a large statue, bronze, representing the torso of a cuirassed man. H. 21 cm.;Fragment of a large statue, bronze, representing the torso of a cuirassed man. The object preserves the upper part of the body and is described as a fragment of a large-scale statue. Height: 21 cm.;0,215332508;0,165627539
31-آثارنا المنهوبة_31_p007_518f511e;Human statue, bronze, depicting a standing woman with a pronounced pregnant abdomen. The head is upright, with a gang and a clearly defined ellipse wrapped backwards and hanging behind the shoulders. The arms are extended outward and the hands are open. The garment covers the body to mid-thigh. The legs are clearly modelled, with distinct toes. Height: 13.2 cm. Date: toward the 2nd century BC.;Statuette, material not specified, representing a woman, possibly pregnant, wearing a long tunic and extending her arms forward. Her hairstyle is encircled by a diadem and she wears a necklace with a pendant. Height: 13.2 cm.;Statuette, material not specified, representing a woman, possibly pregnant, wearing a long tunic and extending her arms forward. The hairstyle is encircled by a diadem, and the figure wears a necklace with a pendant. The object is described as a statuette and measures 13.2 cm in height.;0,223901272;0,211538076
0-آثارنا المنهوبة_21_p012_cb36e5e4;Human statue, marble stone, small, standing on a thin rectangular base, with the hands extended forward and broken, and with empty eyes filled with cream stone. Dimensions: 13 3/8 × 4 3/4 × 4 5/16 in. (34 × 12 × 11 cm). Dated to the 2nd century BCE or 1st century CE.;Figure of a female worshiper, calcite-alabaster, South Arabian, dated to the 2nd century BCE–1st century CE.;Figure of a female worshiper, calcite-alabaster, South Arabian sculpture, dated to the 2nd century BCE–1st century CE. The object is identified as a statuette within the corpus of South Arabian sculpture, which is described as relatively small in variety. The source text provides no further technical or contextual details beyond the material, cultural attribution, and date.;0,226646483;0,302295685
0-آثارنا المنهوبة_22_p022_e2eb1dc8;"Statue, material not specified, depicting a woman standing on a rectangular base, with a pointed face, a prominent nose bridge extending to the eyebrows, and a bunch of facial features rendered in an obvious, stylized manner; dated to the first century BC; height 31 inches (79 cm).";Female votive figure, marble with gesso-painted surface, standing frontally on a small rectangular integral plinth and dated to circa 1st century B.C. The figure wears a long dress and holds a rectangular hollowed-out votive bowl.;Female votive figure, marble with an applied gesso layer painted with coloured details, standing frontally on a small rectangular integral plinth and dated to circa 1st century B.C. The figure wears a long dress, waisted and ending at the calves above ankle bracelets, with incised linear and cross-hatched ornament over the legs and around the upper arms. She is shown with strands of necklaces composed of triangular pendants and a large central crescentic pendant above the breasts, and her arms are bent at the elbows with the forearms projecting forward to hold a rectangular hollowed-out votive bowl with incised panels. The oval face has a pointed chin, strong browline, incised arched brows, large eyes with drilled pupils, a straight nose, and a small mouth. The hair flares below the ears and falls to the shoulders, with incised linear banded details and a diadem of circular pendants above the forehead. Height: 31 in (79 cm).;0,228755236;0,21323818
0-آثارنا المنهوبة_10_p082_6e058211;Coin, metal, possibly silver. Muslim Yemeni coin surrounded by an Arabic written frame with unclear inscription. Apostolic State.;Coin, metal, attributed to the Rasulid period (Yemen), under Al-Mudhaffar Samsaddin Yusuf. Album 1102, XF 4495.;Coin, metal, attributed to the Rasulid period in Yemen, under Al-Mudhaffar Samsaddin Yusuf. The source text identifies it as Album 1102, XF 4495. No further technical, typological, dimensional, or chronological details are provided in the source.;0,233568192;0,232437491
31-آثارنا المنهوبة_31_p009_5d598bbd;"Statuettes, bronze, four votive figurines representing human figures in an abstract manner, with unclear features; three are standing with outstretched, separate arms, and one is seated with the head missing; all are covered with a green layer of bronze corrosion. First millennium BC. Height: 2.2 to 4.2 cm.";Four votive statuettes, material not specified, representing stylised figures, one seated and headless. South Arabian Peninsula, 1st millennium BC. Height: 2.2 to 4.2 cm.;Four votive statuettes, material not specified, representing stylised human figures, including one seated acéphale. The group is attributed to the South Arabian Peninsula and dated to the 1st millennium BC. The recorded height ranges from 2.2 cm to 4.2 cm. No further technical or contextual details are provided in the source text.;0,23566258;0,264861584
0-آثارنا المنهوبة_25_p036_bea25d9f;Sculptural fragments, bronze and marble stone: two pieces comprising the front of a bronze right foot and a marble stone hand. Third century BC. Dimensions: 6.5 cm and 6 cm.;Two South Arabian antiquities, Qataban, dated to the 3rd century B.C./1st century A.D., comprising the front of a bronze right foot and an alabaster clenched hand, both mounted on wood bases.;Two South Arabian antiquities from Qataban, dated to the 3rd century B.C./1st century A.D., comprising the front part of a bronze right foot and an alabaster clenched hand. The bronze foot is only partially preserved and has a thick layer of corrosion. The alabaster hand is missing most of the thumb and is chipped along the edges. Both objects are individually mounted on wood bases.;0,240079939;0,282888114
0-آثارنا المنهوبة_19_p013_9c466c62;"Pendant, gold. Bull-shaped pendant with a perforated hole in the middle, showing the rope coils around the neck and a prominent decorative element on the front. Dated to around the 1st century BC to the 1st century AD. Weight 9.20 g; height 3.3 cm; height 3 cm.";Statuette, bronze, South Arabian, depicting a dromedary and rider. The rider’s arms are raised and crossed while holding a long cylindrical object, possibly part of a rein.;Statuette, bronze, South Arabian, of a dromedary and its rider. The rider is shown with raised, crossed arms holding a long cylindrical object, possibly part of a rein. The object is described as a very fine South Arabian bronze statuette. South Arabia is identified as a geographical label for a region occupied by the kingdoms of Sabaʼ, Qatabān, Ma‘īn, Ḥaḍramawt, Awsan, and the Himyarite Kingdom, corresponding to an area including modern-day Yemen and extending into Oman, north to the Arabian oasis of Dedan, to Ethiopia, and along the East African coast into modern Tanzania.;0,241912246;0,224882483
0-آثارنا المنهوبة_14_p028_4041cb1f;"Necklace, gold. Gold necklace with a decorative frame; described as comic and “gone” in the source text. Dated to 3000 BC. Weight 15 g, length 4 cm.";Scarboid, carnelian, South Arabian, inscribed magical, circa 3rd century A.D.;Scarboid, carnelian, South Arabian, inscribed magical, circa 3rd century A.D. The object is described as a scarboid made of carnelian and identified as South Arabian in origin. It bears an inscription and is characterized as magical. The dating given is circa the 3rd century A.D.;0,242525578;0,213437617
0-آثارنا المنهوبة_22_p012_ec9c65d5;"Hebrew manuscript on paper, two Yemeni manuscripts wrapped in the original skin, comprising liturgical and devotional texts. The first manuscript contains Piyyutim of Bakashot, Tikun Chatzot, interpretation of tekufot, shtarot, “Chiddushin,” Birkat Hamazon with Chiddushin, a eulogy, and a set of comments; it is dated 1864, includes different owner signatures, comprises 131 leaves, measures approximately 16.5 cm, and is in fair condition with bleeding, tears, and stains, with an old leather binding and popular decoration. The second manuscript contains piyyutim of Selichot and Hosha’anot, is dated to the 19th/20th century in Yemen, comprises approximately 168 leaves, measures about 16.5 cm, and is in good condition.";"Manuscript, paper, with original leather binding. Yemen, 19th century. Two Yemenite manuscripts containing prayers and piyyutim, including Bakashot, Tikun Chatzot, dream interpretation, tekufot and amulets, blessings and versions of shtarot, Birkat HaMazon with ""Chiddushin"", eulogies, and a compilation of commentaries. The binding is worn and shows worming.";"Manuscript, paper, with original leather binding. Yemen, 19th century. Two Yemenite manuscripts with original leather bindings, containing piyyutim of Bakashot, Tikun Chatzot, interpretation of dreams, tekufot and amulets, blessings and versions of shtarot, Birkat HaMazon with ""Chiddushin"", eulogies, and a compilation of commentaries. The manuscripts also include prayers and piyyutim of Selichot and Hosha'anot. One scribe's colophon names ""Ya'ish son of Yichye Al Tza'adi"" and is dated 1864. The bindings are described as ancient leather bindings with leather loops and adornments, worn and wormed, with folk ornamentation. Provenance: Collection of Willy Lindwer.";0,244001985;0,288817763
29-آثارنا المنهوبة_29_p021_11b31839;Human statue, bronze, representing a warrior of Sparta with a brown shield and edged border. The statue is described as the oldest witness of Greek art in ancient Yemen. Height 17 cm.;Bronze statuette of a warrior, Archaic period, 17 cm high, from Yemen. The figure is described as facing left, with a helmet crest showing double moulding on the left side only.;Bronze statuette of a warrior, Archaic period, 17 cm high, from Yemen. The figure is identified as a warrior and is described as being seen from the left, since the double moulding on the left side of the helmet crest does not appear to have been repeated on the right side. It is suggested that the figure may originally have belonged to a larger composition, either as a counterpart to another figure on the rim of a vessel or as part of a free-standing group. The object has been discussed in relation to Laconian bronzes and published by Beazley and Jucker.;0,24742347;0,263446689
0-آثارنا المنهوبة_22_p011_683adcce;"Manuscript, paper, Hebrew, 19th century. A bound manuscript containing a gathering of manuscripts and holy books from Yemen, including Third Megillot (Song of Songs, Ruth and Ecclesiastes) with commentary by Talmud, Rashi, and later combined commentaries such as Mahary Tsalakh, as well as Parashat Peshit’s papers with an adult explanation; the volume includes material at the beginning and end of the manuscript.";Three manuscripts, on paper and gevil, comprising Megillot Shir HaShirim, Ruth and Kohelet with Targum, Rashi commentary, and compiled novellae, together with Bereshit with Targum and Rashi commentary, Haftarot, and leaves of Parshat Bereshit bound at the beginning and end of the manuscript. One manuscript has a gevil cover from the geniza of a Sefer Torah.;"Three manuscripts, on paper and gevil, from Yemenite Jewry, comprising a compilation of Scriptures and Targum. The group includes three Megillot, Shir HaShirim, Ruth and Kohelet, with Targum, Rashi commentary, and compiled novellae attributed to Mahari Tzalach and others; Bereshit with Targum and Rashi commentary, with Haftarot; and Targum of Shir HaShirim, Ruth and Kohelet. Two of the manuscripts are approximately 23-24 cm in size. Leaves of Parshat Bereshit with Rashi commentary are bound at the beginning and end of one manuscript. One manuscript has a gevil cover from the geniza of a Sefer Torah.";0,250831604;0,255854845
0-آثارنا المنهوبة_25_p085_f13f7dbe;Hooves, bronze. A group of identical oversized bull hooves in bronze, each larger than normal size and larger than a large cube. Two examples have prominent holes above the cube for installation, and three examples are hollow inside, with holes at the back of the cubes and on the foot base.;Four cast bronze bull hooves, each with a cuboid upper element and two naturalistic projections at the back, probably intended as supports for a table, altar, or naos. Each measures 5.75 in. W x 11 in. H (14.6 cm x 27.9 cm) and is dated to the 1st millennium BCE to the early 1st millennium CE.;"Four cast bronze bull hooves, each more-than-life-sized and similarly proportioned, with a realistic hoof form showing two claws, a cuboid element set slightly over the back of the hoof, and two naturalistic projections from the rear. Two of the examples have projecting slots on top of the cuboid, indicating attachment points. The form suggests that they may have served as supports for a table or altar rather than for a full bull statue; another possibility is that they belonged to a naos, a simple rectangular temple form. Each measures 5.75 in. W x 11 in. H (14.6 cm x 27.9 cm). The group is dated broadly to the 1st millennium BCE to the early 1st millennium CE, probably later in that range based on the lead weight mentioned in the source text.";0,252535522;0,282997251
0-آثارنا المنهوبة_14_p042_78ff3cb5;Object, material not specified. Dimensions recorded as 14 3/8 in. (36.3 cm). The source text is fragmentary and does not provide further descriptive, technical, or typological information.;"Stele, limestone, South Arabian. Height 14 3/8 inches (36.3 cm); height with stand 17.5 inches (44.5 cm).";Stele, limestone, South Arabian. The object is a limestone stele attributed to South Arabia. It measures 14 3/8 inches (36.3 cm) in height, with a total height of 17.5 inches (44.5 cm) including the stand. The source text notes provenance from a New Jersey private collection of antiquities.;0,253967822;0,203712106
0-آثارنا المنهوبة_19_p034_24273a1d;"Statue, material not specified, depicting a horse with a rider seated on its back. The horse is shown with clear features, one foreleg raised in a parade stance. The rider is represented wearing clothes, with a sword at the waist; one hand is broken and missing.";"Auction platform, not an archaeological object; no material, typology, or dimensions are provided.";Auction platform, not an archaeological object. The source text identifies BidSpirit Israel as an auction service for jewellery, art, antiquities, and other items. No object type, material, technique, period, dimensions, or other descriptive archaeological information is provided.;0,259360731;0,300997972
0-آثارنا المنهوبة_10_p081_235de0d7;"Coin, metal, possibly silver, Muslim Yemeni, with an Arabic inscription arranged within a four-tier framework; one face bears a legible inscription beginning “In the name of Allah al-Rahman al-Rahim...” and referring to Muhammad as رسول, while the other face is unclear. Dated to 696–721 AH. Weight 1.32 g.";Coin, silver dirham. Rasulid, al-Mu’ayyad Da’ud (696-721h), struck at Dufar in 721h. Lightly toned, with obverse in good very fine condition and reverse from a crude cut die, but very fine.;"Coin, silver dirham. Rasulid issue of al-Mu’ayyad Da’ud (696-721h), struck at Dufar in 721h. The coin is lightly toned; the obverse is described as good very fine, while the reverse is from a crude cut die but remains very fine. Dufar was the easternmost Rasulid mint, established in the old port town that is now the centre of the modern Omani city of Salalah. The piece is noted as extremely rare.";0,259543657;0,242331743
31-آثارنا المنهوبة_31_p008_d07d17df;"Human statue, bronze, small flat-shaped figure representing a man in an abstract manner, standing in a long dress with both arms extended forward and holding a stick in the right hand; the figure is connected below to a small stabilization base. First millennium BC. Height: 13.7 cm.";Statuette votive plate in an unspecified material, representing a stylised man.;Statuette votive plate in an unspecified material, representing a stylised man. The object is described as a votive plate statuette and belongs to the field of archaeology. No further technical details, dimensions, or dating are provided in the source text.;0,259566844;0,243047714
0-آثارنا المنهوبة_25_p064_f6ce2f73;"Statue, marble stone, human figure of a man standing on a rectangular two-level base, with both hands broken; the base bears a two-line blade line inscription. Dimensions: 380 x 160 mm. The object is dated to about 300 BCE to 100 BCE.";Figure, alabaster, South Arabian, of a priest, ca. 380 mm x 160 mm.;Figure, alabaster, South Arabian, of a priest, probably dating to an unspecified period. The object is described as a South Arabian alabaster figure of a priest. Recorded dimensions are 380 mm x 160 mm. A comparative reference is noted to Sotheby’s, Ancient Sculpture and Works of Art, Part I (7 December 2021), lot 4.;0,261378765;0,289112985
0-آثارنا المنهوبة_25_p050_ee11b378;"Coin, metal. Old Yemeni coin with human face motifs on both sides, one face bearded and the other also bearded. Dated to the second century and the first century BCE. Weight 1.88 g; diameter 11 mm.";Coin, silver AR unit, South Arabia, Himyar. Beardless male head to right / bearded male head to right, with Royal Qatanian monogram behind and South Arabian monogram below.;Coin, silver AR unit, from South Arabia, Himyar. The obverse shows a beardless male head to right, and the reverse shows a bearded male head to right. A Royal Qatanian monogram appears behind the heads, with a South Arabian monogram below. The source text gives no dimensions or date beyond the regional and cultural attribution.;0,265341341;0,229654849
0-آثارنا المنهوبة_25_p082_810269e6;"Coin, gold. Muslim Yemeni dinar, attributed to the reign of Ali Bin Mohammed Al-Salehi and described as belonging to the “right state”; found in Zebed. The coin bears an inscription in semi-Kufic script.";Head, material not specified, of Athena facing right, wearing a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring.;Head, material not specified, of Athena facing right. The goddess wears a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring. No further technical, dimensional, or chronological information is provided in the source text.;0,265465975;0,243596613
0-آثارنا المنهوبة_21_p001_6adec507;Necklace, gold, in the form of a statue of a naked, winged woman. The object is made of gold of a unique kind and is described as being dominated by an art style characterized by a complex composition.;Pendant, gold, in the form of a winged genius. The object is attributed to the Himyarite period.;Pendant, gold. Jewellery in the form of a winged genius, described as a pendant. The object is attributed to the Himyarite period. No inventory number is given. The source text also notes a reference to Yule, Himyar 2007, 136, Fig. 97 right.;0,266269326;0,212995529
0-آثارنا المنهوبة_10_p078_f2f3e7cb;"Coin, metal, possibly silver, Islamic Yemeni currency with Arabic inscription in a surrounding written framework; the inscription reads “Sultan Muzaffar bin Yousif bin Al-Mama'b.” Dated 650 H (1252 CE). Weight 1.82 g. Condition noted as good.";Dirhem, silver, Islamic, Yemen, Rasulid Dynasty, al-Muzaffar Yusuf, struck at 'Adan, AH 650 (1252 AD), 1.82 g.;Dirhem, silver, Islamic coin from Yemen, issued under the Rasulid Dynasty during the reign of al-Muzaffar Yusuf (1249–1295). The coin was struck at 'Adan and dated AH 650 (1252 AD). Recorded weight: 1.82 g.;0,268947721;0,263555765
0-آثارنا المنهوبة 30_p007_f4603e0c;Human statue, stone, 17.5 cm high and 7.6 cm wide. Dated to 300 B.C.E.–100 C.E.;Object, material not specified. Size: 3 in. W x 6.9 in. H (7.6 cm x 17.5 cm).;Object, material not specified. The source provides only the dimensions, measuring 3 in. wide by 6.9 in. high (7.6 cm x 17.5 cm). No further information is given regarding typology, technique, date, provenance, or material.;0,272518694;0,296456695
0-آثارنا المنهوبة_25_p078_96776234;Coins, silver. Old Yemeni coins, one face with an image of an owl and some with Latin letters, the other face likely showing a human face. Dated to around the fourth and third centuries BCE.;Coins, silver: a lot of six obols and fractions, 4th–3rd century BCE, comprising one Ptolemaic Yehud, one Philistine, two Athenian, and two South Arabian examples.;Coins, silver: a lot of six obols and fractions dating to the 4th–3rd century BCE. The group comprises one Ptolemaic Yehud coin, one Philistine coin, two Athenian coins, and two South Arabian coins. The source identifies the material as silver and the typological range as obols and fractions.;0,273728549;0,266479492
0-آثارنا المنهوبة_5_p003_0a6629b7;Statue, bronze, depicting two adjoining lizards connected at the tail and shown in motion. The object is almost 10 cm in diameter.;Figurine, bronze, depicting two lizards side by side in aerial view. South Arabian Peninsula, 1st millennium BC. Length 6.2 cm.;Figurine, bronze, depicting two lizards side by side in aerial view. The object is described as South Arabian and dated to the 1st millennium BC. It measures 6.2 cm in length. The source text identifies the subject as two lizards shown côte à côte, with the figure presented in plan view.;0,276372433;0,223108768
0-آثارنا المنهوبة_21_p014_587c3579;"Human statue head, marble stone, with a long neck encircled by three drifting lines; the face is partially preserved, with a broken nose and Lusitanian eyes. The head is associated with a limestone base bearing a two-line inscription and a two-line blade. Dimensions: 9 7/16 × 4 5/16 × 2 3/4 in. (24 × 11 × 7 cm).";"Head of Lady Helqeb, calcite-alabaster, South Arabian sculpture, 1st century CE. Sculpted stone head mounted on a base, from South Arabia; inscription on base: Hlqb Dt / Wqs.";Head of Lady Helqeb, calcite-alabaster, South Arabian sculpture, 1st century CE. Sculpted stone head from South Arabia, carved in calcite-alabaster and mounted on a base. The object measures 24 x 11 x 7 cm (H: 9 7/16 x W: 4 5/16 x D: 2 3/4 in.). An inscription on the base reads: Hlqb Dt / Wqs. The source text notes that sculpted stone heads mounted on bases and placed in the vestibules of burial chambers were common in the cemetery of Timna', capital of the kingdom of Qataban.;0,278973818;0,305742502
0-آثارنا المنهوبة_10_p069_fbb166c8;Coin, metal. Ancient Yemeni coin showing Greek influence, with one face depicting an owl and a combination of two letters, and the other face depicting a human face with the nose shown on the cheek. Dated 354–340 BC. Weight 5.52 g.;Coin, metal, with reverse type showing an owl standing right, head facing, with an olive spray and crescent moon in the upper left field.;Coin, metal, with reverse design of an owl standing right with head facing. An olive spray and crescent moon are placed in the upper left field. The description is limited to the reverse type as given in the source text.;0,279711545;0,26362288
0-آثارنا المنهوبة_25_p049_2f28b0e7;"Coin, metal, old Yemeni coin with an owl bird depicted on one face and what appears to be a human face on the other; dated to about the third century BCE. Weight 4.93 g, diameter 15 mm.";Head, material not specified, of Athena facing right, wearing a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring.;Head, material not specified, of Athena facing right. The goddess wears a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring. No further technical, dimensional, or chronological information is provided in the source text.;0,280783653;0,268471837
0-آثارنا المنهوبة_25_p073_ccc96b0e;Animal statue, bronze, depicting a camel with a high head and two upright ears, a collar around the neck, and a sleeve-like element over the back. Dated to around the 1st century BC to the 1st century AD.;Bronze camel, South Arabian Peninsula, 5 cm long. Standing camel with long tucked tail.;Bronze camel, South Arabian Peninsula, 5 cm long. The object is a standing camel with a long tucked tail. It is identified as Sabaean and made of bronze. No further technical or contextual details are provided in the source text.;0,282426298;0,279200852
