artifact_id,pdf_name,page_num,image_name,image_path,centroid_x,centroid_y
0-آثارنا المنهوبة_25_p013_77e29dc4,0-آثارنا المنهوبة_25.pdf,13,0-آثارنا المنهوبة_25_p013_img005.png,,297.3,280.0
0-آثارنا المنهوبة_25_p014_eef7c864,0-آثارنا المنهوبة_25.pdf,14,0-آثارنا المنهوبة_25_p014_img005.png,,300.12,323.2
0-آثارنا المنهوبة_25_p015_3fe4479f,0-آثارنا المنهوبة_25.pdf,15,0-آثارنا المنهوبة_25_p015_img005.png,,302.18,294.8
0-آثارنا المنهوبة_25_p016_b639c212,0-آثارنا المنهوبة_25.pdf,16,0-آثارنا المنهوبة_25_p016_img005.png,,296.8,320.85
0-آثارنا المنهوبة_25_p017_157d5bda,0-آثارنا المنهوبة_25.pdf,17,0-آثارنا المنهوبة_25_p017_img005.png,,298.75,296.0
0-آثارنا المنهوبة_25_p018_6f4b152c,0-آثارنا المنهوبة_25.pdf,18,0-آثارنا المنهوبة_25_p018_img005.png,,297.4,312.52
0-آثارنا المنهوبة_25_p019_e4deff7b,0-آثارنا المنهوبة_25.pdf,19,0-آثارنا المنهوبة_25_p019_img005.png,,303.75,282.6
0-آثارنا المنهوبة_25_p020_e27076bd,0-آثارنا المنهوبة_25.pdf,20,0-آثارنا المنهوبة_25_p020_img005.png,,299.15,292.95
0-آثارنا المنهوبة_25_p021_85789d45,0-آثارنا المنهوبة_25.pdf,21,0-آثارنا المنهوبة_25_p021_img005.png,,296.73,299.92
0-آثارنا المنهوبة_25_p022_9f1d3fdf,0-آثارنا المنهوبة_25.pdf,22,0-آثارنا المنهوبة_25_p022_img005.png,,275.73,319.8
0-آثارنا المنهوبة_25_p023_4a745754,0-آثارنا المنهوبة_25.pdf,23,0-آثارنا المنهوبة_25_p023_img005.png,,312.52,319.65
0-آثارنا المنهوبة_25_p024_5ce2389f,0-آثارنا المنهوبة_25.pdf,24,0-آثارنا المنهوبة_25_p024_img005.png,,312.73,303.07
0-آثارنا المنهوبة_25_p025_2302ee91,0-آثارنا المنهوبة_25.pdf,25,0-آثارنا المنهوبة_25_p025_img005.png,,304.32,309.35
0-آثارنا المنهوبة_25_p026_1fcd326b,0-آثارنا المنهوبة_25.pdf,26,0-آثارنا المنهوبة_25_p026_img005.png,,322.37,292.45
0-آثارنا المنهوبة_25_p027_b022fb35,0-آثارنا المنهوبة_25.pdf,27,0-آثارنا المنهوبة_25_p027_img005.png,,308.55,270.87
0-آثارنا المنهوبة_25_p028_a003fe3c,0-آثارنا المنهوبة_25.pdf,28,0-آثارنا المنهوبة_25_p028_img005.png,,300.44,296.22
0-آثارنا المنهوبة_25_p029_7a71fcd3,0-آثارنا المنهوبة_25.pdf,29,0-آثارنا المنهوبة_25_p029_img005.png,,319.23,310.82
0-آثارنا المنهوبة_25_p030_6a5dc758,0-آثارنا المنهوبة_25.pdf,30,0-آثارنا المنهوبة_25_p030_img005.png,,314.38,300.22
0-آثارنا المنهوبة_25_p031_d07c367c,0-آثارنا المنهوبة_25.pdf,31,0-آثارنا المنهوبة_25_p031_img005.png,,322.42,292.5
0-آثارنا المنهوبة_25_p032_c737ed55,0-آثارنا المنهوبة_25.pdf,32,0-آثارنا المنهوبة_25_p032_img005.png,,310.94,303.25
0-آثارنا المنهوبة_25_p033_facfb986,0-آثارنا المنهوبة_25.pdf,33,0-آثارنا المنهوبة_25_p033_img005.png,,311.9,302.6
0-آثارنا المنهوبة_25_p034_200fc292,0-آثارنا المنهوبة_25.pdf,34,0-آثارنا المنهوبة_25_p034_img005.png,,307.72,295.82
0-آثارنا المنهوبة_25_p035_2f5db211,0-آثارنا المنهوبة_25.pdf,35,0-آثارنا المنهوبة_25_p035_img005.png,,310.17,298.7
0-آثارنا المنهوبة_25_p036_bea25d9f,0-آثارنا المنهوبة_25.pdf,36,0-آثارنا المنهوبة_25_p036_img005.png,,297.43,296.96
0-آثارنا المنهوبة_25_p037_76bcbec5,0-آثارنا المنهوبة_25.pdf,37,0-آثارنا المنهوبة_25_p037_img005.png,,287.55,296.7
0-آثارنا المنهوبة_25_p038_a303509a,0-آثارنا المنهوبة_25.pdf,38,0-آثارنا المنهوبة_25_p038_img005.png,,297.58,314.4
0-آثارنا المنهوبة_25_p039_21a0fd74,0-آثارنا المنهوبة_25.pdf,39,0-آثارنا المنهوبة_25_p039_img005.png,,297.22,293.45
0-آثارنا المنهوبة_25_p040_1772345a,0-آثارنا المنهوبة_25.pdf,40,0-آثارنا المنهوبة_25_p040_img005.png,,302.82,284.87
0-آثارنا المنهوبة_25_p041_16bc353c,0-آثارنا المنهوبة_25.pdf,41,0-آثارنا المنهوبة_25_p041_img005.png,,295.02,301.77
0-آثارنا المنهوبة_25_p042_a0c5b0df,0-آثارنا المنهوبة_25.pdf,42,0-آثارنا المنهوبة_25_p042_img005.png,,297.28,299.25
0-آثارنا المنهوبة_25_p043_e92bb9bc,0-آثارنا المنهوبة_25.pdf,43,0-آثارنا المنهوبة_25_p043_img005.png,,305.06,275.52
0-آثارنا المنهوبة_25_p044_1394a6c0,0-آثارنا المنهوبة_25.pdf,44,0-آثارنا المنهوبة_25_p044_img005.png,,299.28,283.77
0-آثارنا المنهوبة_25_p045_eaae26b1,0-آثارنا المنهوبة_25.pdf,45,0-آثارنا المنهوبة_25_p045_img005.png,,296.73,292.02
0-آثارنا المنهوبة_25_p046_0ea08f6c,0-آثارنا المنهوبة_25.pdf,46,0-آثارنا المنهوبة_25_p046_img005.png,,284.07,263.57
0-آثارنا المنهوبة_25_p047_a4daec26,0-آثارنا المنهوبة_25.pdf,47,0-آثارنا المنهوبة_25_p047_img005.png,,294.1,264.15
0-آثارنا المنهوبة_25_p048_04475953,0-آثارنا المنهوبة_25.pdf,48,0-آثارنا المنهوبة_25_p048_img005.png,,281.35,242.62
0-آثارنا المنهوبة_25_p049_2f28b0e7,0-آثارنا المنهوبة_25.pdf,49,0-آثارنا المنهوبة_25_p049_img005.png,,293.93,300.12
0-آثارنا المنهوبة_25_p050_ee11b378,0-آثارنا المنهوبة_25.pdf,50,0-آثارنا المنهوبة_25_p050_img005.png,,288.1,313.72
0-آثارنا المنهوبة_25_p051_3acdaa81,0-آثارنا المنهوبة_25.pdf,51,0-آثارنا المنهوبة_25_p051_img005.png,,285.0,285.95
0-آثارنا المنهوبة_25_p052_3bf323d0,0-آثارنا المنهوبة_25.pdf,52,0-آثارنا المنهوبة_25_p052_img005.png,,287.12,291.12
0-آثارنا المنهوبة_25_p053_809895ce,0-آثارنا المنهوبة_25.pdf,53,0-آثارنا المنهوبة_25_p053_img005.png,,285.85,280.82
0-آثارنا المنهوبة_25_p054_975a31dd,0-آثارنا المنهوبة_25.pdf,54,0-آثارنا المنهوبة_25_p054_img005.png,,287.25,281.8
0-آثارنا المنهوبة_25_p055_7d7995f7,0-آثارنا المنهوبة_25.pdf,55,0-آثارنا المنهوبة_25_p055_img005.png,,291.85,283.77
0-آثارنا المنهوبة_25_p056_dc2f7b3e,0-آثارنا المنهوبة_25.pdf,56,0-آثارنا المنهوبة_25_p056_img005.png,,297.8,297.55
0-آثارنا المنهوبة_25_p057_4b2bc103,0-آثارنا المنهوبة_25.pdf,57,0-آثارنا المنهوبة_25_p057_img005.png,,290.1,291.47
0-آثارنا المنهوبة_25_p058_9c26a93f,0-آثارنا المنهوبة_25.pdf,58,0-آثارنا المنهوبة_25_p058_img005.png,,281.52,300.25
0-آثارنا المنهوبة_25_p059_4de81847,0-آثارنا المنهوبة_25.pdf,59,0-آثارنا المنهوبة_25_p059_img005.png,,285.93,298.57
0-آثارنا المنهوبة_25_p060_d921748e,0-آثارنا المنهوبة_25.pdf,60,0-آثارنا المنهوبة_25_p060_img005.png,,288.15,297.35
0-آثارنا المنهوبة_25_p061_d7091d94,0-آثارنا المنهوبة_25.pdf,61,0-آثارنا المنهوبة_25_p061_img005.png,,291.15,290.5
0-آثارنا المنهوبة_25_p062_6e84de98,0-آثارنا المنهوبة_25.pdf,62,0-آثارنا المنهوبة_25_p062_img005.png,,286.95,300.25
0-آثارنا المنهوبة_25_p063_c1d108c1,0-آثارنا المنهوبة_25.pdf,63,0-آثارنا المنهوبة_25_p063_img005.png,,287.93,308.17
0-آثارنا المنهوبة_25_p064_f6ce2f73,0-آثارنا المنهوبة_25.pdf,64,0-آثارنا المنهوبة_25_p064_img005.png,,294.45,288.92
0-آثارنا المنهوبة_25_p065_816507df,0-آثارنا المنهوبة_25.pdf,65,0-آثارنا المنهوبة_25_p065_img005.png,,296.97,284.47
0-آثارنا المنهوبة_25_p066_7c445bf9,0-آثارنا المنهوبة_25.pdf,66,0-آثارنا المنهوبة_25_p066_img005.png,,287.73,298.07
0-آثارنا المنهوبة_25_p067_31aa95b1,0-آثارنا المنهوبة_25.pdf,67,0-آثارنا المنهوبة_25_p067_img005.png,,284.15,278.32
0-آثارنا المنهوبة_25_p068_2be803ae,0-آثارنا المنهوبة_25.pdf,68,0-آثارنا المنهوبة_25_p068_img005.png,,287.28,263.52
0-آثارنا المنهوبة_25_p069_9ad36b3a,0-آثارنا المنهوبة_25.pdf,69,0-آثارنا المنهوبة_25_p069_img005.png,,284.8,334.3
0-آثارنا المنهوبة_25_p070_8aeba613,0-آثارنا المنهوبة_25.pdf,70,0-آثارنا المنهوبة_25_p070_img005.png,,286.2,323.75
0-آثارنا المنهوبة_25_p071_6a058638,0-آثارنا المنهوبة_25.pdf,71,0-آثارنا المنهوبة_25_p071_img005.png,,290.7,309.47
0-آثارنا المنهوبة_25_p072_9919924b,0-آثارنا المنهوبة_25.pdf,72,0-آثارنا المنهوبة_25_p072_img005.png,,290.17,318.17
0-آثارنا المنهوبة_25_p073_ccc96b0e,0-آثارنا المنهوبة_25.pdf,73,0-آثارنا المنهوبة_25_p073_img005.png,,291.2,313.35
0-آثارنا المنهوبة_25_p074_35a83904,0-آثارنا المنهوبة_25.pdf,74,0-آثارنا المنهوبة_25_p074_img005.png,,285.65,327.25
0-آثارنا المنهوبة_25_p075_ed367d40,0-آثارنا المنهوبة_25.pdf,75,0-آثارنا المنهوبة_25_p075_img005.png,,286.58,316.1
0-آثارنا المنهوبة_25_p076_f2310d70,0-آثارنا المنهوبة_25.pdf,76,0-آثارنا المنهوبة_25_p076_img005.png,,286.67,320.9
0-آثارنا المنهوبة_25_p077_5321dc89,0-آثارنا المنهوبة_25.pdf,77,0-آثارنا المنهوبة_25_p077_img005.png,,285.38,293.47
0-آثارنا المنهوبة_25_p078_96776234,0-آثارنا المنهوبة_25.pdf,78,0-آثارنا المنهوبة_25_p078_img005.png,,291.82,305.45
0-آثارنا المنهوبة_25_p079_49144713,0-آثارنا المنهوبة_25.pdf,79,0-آثارنا المنهوبة_25_p079_img005.png,,287.17,301.55
0-آثارنا المنهوبة_25_p080_bee8a24e,0-آثارنا المنهوبة_25.pdf,80,0-آثارنا المنهوبة_25_p080_img005.png,,287.23,297.62
0-آثارنا المنهوبة_25_p081_07788e5d,0-آثارنا المنهوبة_25.pdf,81,0-آثارنا المنهوبة_25_p081_img005.png,,296.69,269.27
0-آثارنا المنهوبة_25_p082_810269e6,0-آثارنا المنهوبة_25.pdf,82,0-آثارنا المنهوبة_25_p082_img005.png,,297.88,331.45
0-آثارنا المنهوبة_25_p083_06963053,0-آثارنا المنهوبة_25.pdf,83,0-آثارنا المنهوبة_25_p083_img005.png,,280.93,315.79
0-آثارنا المنهوبة_25_p084_712079d1,0-آثارنا المنهوبة_25.pdf,84,0-آثارنا المنهوبة_25_p084_img005.png,,283.93,306.1
0-آثارنا المنهوبة_25_p085_f13f7dbe,0-آثارنا المنهوبة_25.pdf,85,0-آثارنا المنهوبة_25_p085_img005.png,,284.08,231.37
0-آثارنا المنهوبة_25_p085_f13f7dbe,0-آثارنا المنهوبة_25.pdf,85,0-آثارنا المنهوبة_25_p085_img006.png,,284.25,367.71
0-آثارنا المنهوبة_25_p086_d1991843,0-آثارنا المنهوبة_25.pdf,86,0-آثارنا المنهوبة_25_p086_img005.png,,283.98,300.27
0-آثارنا المنهوبة_25_p087_a80eaa61,0-آثارنا المنهوبة_25.pdf,87,0-آثارنا المنهوبة_25_p087_img005.png,,288.35,322.6
0-آثارنا المنهوبة_25_p088_83fc102a,0-آثارنا المنهوبة_25.pdf,88,0-آثارنا المنهوبة_25_p088_img005.png,,282.85,308.75
0-آثارنا المنهوبة_25_p089_96db7973,0-آثارنا المنهوبة_25.pdf,89,0-آثارنا المنهوبة_25_p089_img005.png,,293.97,318.35
0-آثارنا المنهوبة_25_p090_98c5db64,0-آثارنا المنهوبة_25.pdf,90,0-آثارنا المنهوبة_25_p090_img005.png,,282.4,352.85
0-آثارنا المنهوبة_25_p091_798e2234,0-آثارنا المنهوبة_25.pdf,91,0-آثارنا المنهوبة_25_p091_img005.png,,286.0,306.55
0-آثارنا المنهوبة_25_p092_aac8e3f9,0-آثارنا المنهوبة_25.pdf,92,0-آثارنا المنهوبة_25_p092_img005.png,,356.93,298.62
0-آثارنا المنهوبة_25_p092_aac8e3f9,0-آثارنا المنهوبة_25.pdf,92,0-آثارنا المنهوبة_25_p092_img006.png,,179.53,298.3
0-آثارنا المنهوبة_25_p093_28b41208,0-آثارنا المنهوبة_25.pdf,93,0-آثارنا المنهوبة_25_p093_img005.png,,386.18,266.02
0-آثارنا المنهوبة_25_p093_28b41208,0-آثارنا المنهوبة_25.pdf,93,0-آثارنا المنهوبة_25_p093_img006.png,,190.62,265.12
0-آثارنا المنهوبة_25_p094_3329b4f9,0-آثارنا المنهوبة_25.pdf,94,0-آثارنا المنهوبة_25_p094_img005.png,,195.05,332.35
0-آثارنا المنهوبة_25_p094_3329b4f9,0-آثارنا المنهوبة_25.pdf,94,0-آثارنا المنهوبة_25_p094_img006.png,,381.8,332.35
0-آثارنا المنهوبة_25_p095_9ee6e6c7,0-آثارنا المنهوبة_25.pdf,95,0-آثارنا المنهوبة_25_p095_img005.png,,287.15,276.62
0-آثارنا المنهوبة_25_p096_ca1b4fa3,0-آثارنا المنهوبة_25.pdf,96,0-آثارنا المنهوبة_25_p096_img005.png,,276.07,311.35
0-آثارنا المنهوبة_25_p097_d944cef5,0-آثارنا المنهوبة_25.pdf,97,0-آثارنا المنهوبة_25_p097_img005.png,,284.25,323.77
0-آثارنا المنهوبة_25_p098_049174ca,0-آثارنا المنهوبة_25.pdf,98,0-آثارنا المنهوبة_25_p098_img005.png,,292.57,324.78
0-آثارنا المنهوبة_7_p001_5960eb81,0-آثارنا المنهوبة_7.pdf,1,0-آثارنا المنهوبة_7_p001_img006.png,,317.52,269.87
0-آثارنا المنهوبة_7_p002_6cd79c3e,0-آثارنا المنهوبة_7.pdf,2,0-آثارنا المنهوبة_7_p002_img006.png,,298.05,295.82
0-آثارنا المنهوبة_7_p003_ba0a0c53,0-آثارنا المنهوبة_7.pdf,3,0-آثارنا المنهوبة_7_p003_img006.png,,298.25,305.0
0-آثارنا المنهوبة_7_p004_d9ae2b59,0-آثارنا المنهوبة_7.pdf,4,0-آثارنا المنهوبة_7_p004_img006.png,,315.7,319.95
0-آثارنا المنهوبة_7_p005_52354a90,0-آثارنا المنهوبة_7.pdf,5,0-آثارنا المنهوبة_7_p005_img006.png,,309.65,295.75
0-آثارنا المنهوبة_7_p006_bf9a00d0,0-آثارنا المنهوبة_7.pdf,6,0-آثارنا المنهوبة_7_p006_img006.png,,304.95,292.45
0-آثارنا المنهوبة_10_p001_e0434930,0-آثارنا المنهوبة_10.pdf,1,0-آثارنا المنهوبة_10_p001_img006.png,,286.2,299.1
0-آثارنا المنهوبة_10_p002_631afa0a,0-آثارنا المنهوبة_10.pdf,2,0-آثارنا المنهوبة_10_p002_img005.png,,297.1,322.35
0-آثارنا المنهوبة_10_p003_2e6655ff,0-آثارنا المنهوبة_10.pdf,3,0-آثارنا المنهوبة_10_p003_img005.png,,296.53,311.32
0-آثارنا المنهوبة_10_p004_4c2721f1,0-آثارنا المنهوبة_10.pdf,4,0-آثارنا المنهوبة_10_p004_img005.png,,297.12,360.32
0-آثارنا المنهوبة_10_p005_545e800d,0-آثارنا المنهوبة_10.pdf,5,0-آثارنا المنهوبة_10_p005_img005.png,,297.3,306.65
0-آثارنا المنهوبة_10_p006_9a4ad919,0-آثارنا المنهوبة_10.pdf,6,0-آثارنا المنهوبة_10_p006_img005.png,,297.03,314.81
0-آثارنا المنهوبة_10_p007_57cd23fb,0-آثارنا المنهوبة_10.pdf,7,0-آثارنا المنهوبة_10_p007_img005.png,,314.05,325.64
0-آثارنا المنهوبة_10_p008_17bb71e2,0-آثارنا المنهوبة_10.pdf,8,0-آثارنا المنهوبة_10_p008_img005.png,,306.25,299.4
0-آثارنا المنهوبة_10_p009_562a976d,0-آثارنا المنهوبة_10.pdf,9,0-آثارنا المنهوبة_10_p009_img005.png,,296.72,285.83
0-آثارنا المنهوبة_10_p010_ebdca4fd,0-آثارنا المنهوبة_10.pdf,10,0-آثارنا المنهوبة_10_p010_img005.png,,313.1,306.27
0-آثارنا المنهوبة_10_p011_8da6a7a3,0-آثارنا المنهوبة_10.pdf,11,0-آثارنا المنهوبة_10_p011_img005.png,,322.68,285.7
0-آثارنا المنهوبة_10_p012_580fb51e,0-آثارنا المنهوبة_10.pdf,12,0-آثارنا المنهوبة_10_p012_img005.png,,313.05,299.2
0-آثارنا المنهوبة_10_p013_2740452a,0-آثارنا المنهوبة_10.pdf,13,0-آثارنا المنهوبة_10_p013_img005.png,,313.1,288.75
0-آثارنا المنهوبة_10_p014_3517d3cf,0-آثارنا المنهوبة_10.pdf,14,0-آثارنا المنهوبة_10_p014_img005.png,,312.85,300.42
0-آثارنا المنهوبة_10_p015_fdae0bd3,0-آثارنا المنهوبة_10.pdf,15,0-آثارنا المنهوبة_10_p015_img005.png,,313.09,279.72
0-آثارنا المنهوبة_10_p016_8d1e3a76,0-آثارنا المنهوبة_10.pdf,16,0-آثارنا المنهوبة_10_p016_img005.png,,312.77,248.92
0-آثارنا المنهوبة_10_p017_a92235c9,0-آثارنا المنهوبة_10.pdf,17,0-آثارنا المنهوبة_10_p017_img005.png,,312.88,323.35
0-آثارنا المنهوبة_10_p018_49544eb2,0-آثارنا المنهوبة_10.pdf,18,0-آثارنا المنهوبة_10_p018_img005.png,,313.1,348.46
0-آثارنا المنهوبة_10_p019_6f0de64e,0-آثارنا المنهوبة_10.pdf,19,0-آثارنا المنهوبة_10_p019_img005.png,,313.1,274.72
0-آثارنا المنهوبة_10_p020_d18e8f96,0-آثارنا المنهوبة_10.pdf,20,0-آثارنا المنهوبة_10_p020_img005.png,,295.25,334.8
0-آثارنا المنهوبة_10_p021_bc77bf78,0-آثارنا المنهوبة_10.pdf,21,0-آثارنا المنهوبة_10_p021_img005.png,,313.09,312.32
0-آثارنا المنهوبة_10_p022_75d2072c,0-آثارنا المنهوبة_10.pdf,22,0-آثارنا المنهوبة_10_p022_img005.png,,313.28,305.64
0-آثارنا المنهوبة_10_p023_9afad18b,0-آثارنا المنهوبة_10.pdf,23,0-آثارنا المنهوبة_10_p023_img005.png,,313.55,257.51
0-آثارنا المنهوبة_10_p024_d48fb288,0-آثارنا المنهوبة_10.pdf,24,0-آثارنا المنهوبة_10_p024_img005.png,,312.73,286.26
0-آثارنا المنهوبة_10_p025_c53a961d,0-آثارنا المنهوبة_10.pdf,25,0-آثارنا المنهوبة_10_p025_img005.png,,314.15,312.32
0-آثارنا المنهوبة_10_p026_f6a8f9a9,0-آثارنا المنهوبة_10.pdf,26,0-آثارنا المنهوبة_10_p026_img005.png,,313.12,278.04
0-آثارنا المنهوبة_10_p027_dca79307,0-آثارنا المنهوبة_10.pdf,27,0-آثارنا المنهوبة_10_p027_img005.png,,312.76,261.17
0-آثارنا المنهوبة_10_p028_00665aaa,0-آثارنا المنهوبة_10.pdf,28,0-آثارنا المنهوبة_10_p028_img005.png,,313.55,319.85
0-آثارنا المنهوبة_10_p029_e9def20a,0-آثارنا المنهوبة_10.pdf,29,0-آثارنا المنهوبة_10_p029_img005.png,,313.13,291.78
0-آثارنا المنهوبة_10_p030_ccd8e31d,0-آثارنا المنهوبة_10.pdf,30,0-آثارنا المنهوبة_10_p030_img005.png,,312.8,274.46
0-آثارنا المنهوبة_10_p031_29d014fc,0-آثارنا المنهوبة_10.pdf,31,0-آثارنا المنهوبة_10_p031_img005.png,,312.79,292.72
0-آثارنا المنهوبة_10_p032_488d02d7,0-آثارنا المنهوبة_10.pdf,32,0-آثارنا المنهوبة_10_p032_img005.png,,313.1,260.72
0-آثارنا المنهوبة_10_p033_71f40a11,0-آثارنا المنهوبة_10.pdf,33,0-آثارنا المنهوبة_10_p033_img005.png,,313.09,261.57
0-آثارنا المنهوبة_10_p034_759f2660,0-آثارنا المنهوبة_10.pdf,34,0-آثارنا المنهوبة_10_p034_img005.png,,313.1,258.32
0-آثارنا المنهوبة_10_p035_e38aa48c,0-آثارنا المنهوبة_10.pdf,35,0-آثارنا المنهوبة_10_p035_img006.png,,312.82,242.55
0-آثارنا المنهوبة_10_p036_28dbcca0,0-آثارنا المنهوبة_10.pdf,36,0-آثارنا المنهوبة_10_p036_img006.png,,313.1,239.89
0-آثارنا المنهوبة_10_p037_14408a7d,0-آثارنا المنهوبة_10.pdf,37,0-آثارنا المنهوبة_10_p037_img006.png,,312.97,240.32
0-آثارنا المنهوبة_10_p038_0a64cd36,0-آثارنا المنهوبة_10.pdf,38,0-آثارنا المنهوبة_10_p038_img005.png,,313.1,276.14
0-آثارنا المنهوبة_10_p039_c2cc43e7,0-آثارنا المنهوبة_10.pdf,39,0-آثارنا المنهوبة_10_p039_img006.png,,319.96,266.28
0-آثارنا المنهوبة_10_p040_6659a3f8,0-آثارنا المنهوبة_10.pdf,40,0-آثارنا المنهوبة_10_p040_img005.png,,312.78,238.17
0-آثارنا المنهوبة_10_p041_dfd46008,0-آثارنا المنهوبة_10.pdf,41,0-آثارنا المنهوبة_10_p041_img006.png,,313.0,217.37
0-آثارنا المنهوبة_10_p042_192fe7a5,0-آثارنا المنهوبة_10.pdf,42,0-آثارنا المنهوبة_10_p042_img005.png,,313.11,259.95
0-آثارنا المنهوبة_10_p043_6bc97a28,0-آثارنا المنهوبة_10.pdf,43,0-آثارنا المنهوبة_10_p043_img005.png,,313.08,257.08
0-آثارنا المنهوبة_10_p044_4c5d9f37,0-آثارنا المنهوبة_10.pdf,44,0-آثارنا المنهوبة_10_p044_img005.png,,312.78,223.67
0-آثارنا المنهوبة_10_p045_99bfbf8c,0-آثارنا المنهوبة_10.pdf,45,0-آثارنا المنهوبة_10_p045_img005.png,,313.1,236.35
0-آثارنا المنهوبة_10_p046_12e811d2,0-آثارنا المنهوبة_10.pdf,46,0-آثارنا المنهوبة_10_p046_img005.png,,313.1,257.4
