artifact_id;lien_ok;text_for_matching;text_for_matching_web;web_text_len
0-آثارنا المنهوبة_25_p016_b639c212;https://www.lot-art.com/auction/south-arabian-apollo-09.10.22/IDOL/317;6 . 150 / 60 385 LOT - ART 150 / 60 385 LOT - ART The head of a human statue. The head of a man's statue, of limestone, black because of the squid, has a long, barren, thick nose attached to eyebrows, with two blind eyes below them, and a small mouth with a long neck.;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p017_157d5bda;https://www.lot-art.com/auction-lots/South-Arabian-Gold-and-Enamel-south_arabian_gold_Pendant/250-06.9.22;7 . 0.72 12 3/8 LOT - ART LOT - ART A necklace. A necklace of gold, crisped with colored gems, shaped as an animal, overrun by little spherical granules, pierced by a comment hole. Gold, gems. The early part of the first millennium.;;0
0-آثارنا المنهوبة_25_p018_6f4b152c;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-IDOL/318;8 . 95 / 60 220 LOT - ART 95 / 60 220 LOT - ART The head of a human statue. The head of a man's statue, of limestone, has a prominent long nose connected to eyebrows, with two prominent eyes below them, a very small mouth, and a neck. Jerry's Stone.;;0
0-آثارنا المنهوبة_25_p019_e4deff7b;https://www.lot-art.com/auction-lots/South-Arabian-Gold-Earring-Pair/2009/28.2.20-south_arabian_gold_earring_timeline;9 . – 8.45 28  LOT - ART . 28  LOT - ART . Gold earrings. A pair of identical golden earrings, with circular rings, connected by three-shaped objects, each with five small rings, with bell-like parts hanging. Gold.;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p020_e27076bd;https://artandantiquities.co.uk/a1gallery3.asp?roomID=12552&pictureID=114648&next=previous;0 . – 13 46 (1 3/4 ). LOT - ART . 46 (1 3/4 ). LOT - ART . Gold earrings. A pair of identical golden earrings, with rings on both sides of them with little pieces attached to the rings with a little fragrance belt, with four little rings ending, with parts hanging like bells. Gold.;Ancient Egyptian Shabti- Ancient Egyptian Amulets - Ancient Egyptian Pottery - Ancient Egyptian Scarabs - Ancient Egyptian Terracotta Within our Near Eastern Antiquities and Classical Antiquities sections the aim is to showcase mainly Ancient Pottery and Ancient Statuary . Ancient Egyptian Shabti- Ancient Egyptian Amulets - Ancient Egyptian Pottery - Ancient Egyptian Scarabs - Ancient Egyptian Terracotta Authentic antiquities that have carefully been vetted by us with over 30 years experience. Scroll through our galleries section and you find some Egyptian Shabtis, ancient Egyptian amulets and terracotta statues as well as Classical arts and Near Eastern antiquities. No parts of this website including text, photos may be reproduced or copied without prior consent and permission from artandantiquities.co.uk Art and Antiquities Welcome Welcome to Art and Antiquities, the home of genuine and provenanced Art and Antiquities. No parts of this website including text, photos may be reproduced or copied without prior consent and permission from artandantiquities.co.uk Art and Antiquities Previous Next Our latest additions We aim to showcase a variety of Artworks both for new collectors and rarer pieces as well! Within our galleries you will find primarily Ancient Egyptian Antiquities as this is our main passion and the private collectors that we partner with. You will find a selection of Antiquities from ancient Egypt, the Greek world and Near Eastern civilizations. Welcome Welcome to Art and Antiquities, the home of genuine and provenanced Art and Antiquities.;1579
0-آثارنا المنهوبة_25_p021_85789d45;https://www.lot-art.com/auction/south-arabian-lots/figure-male-enthroned-Limestone-catawiki-06.3.22/5634;1 . 38 × 12 × 10 LOT - ART 38 × 12 × 10 LOT - ART A human statue.;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p022_9f1d3fdf;https://www.lot-art.com/auction-lots/South-arabian-alabaster-heads/four-group-of-south-arabian-alabaster-heads-03.6.24;2 . LOT - ART LOT - ART The heads of human statues. A bunch of puppeteers from the marble stone, with long and noses, two eyes, two eyebrows, and small mouths, one of which suffers from a fracture on the right side of the front, in addition to the smashing of Alnov. A marble stone.;;0
0-آثارنا المنهوبة_25_p023_4a745754;https://www.lot-art.com/auction/small_south_arabian-archaeological-Bronze-Sphinx/621;3 . 9.6 LOT - ART 15. LOT - ART 15. An animal statue. A statue of a clearly winged supernatural animal with a lion-shaped and human head, standing on four legs, with a rectangular base, on the head with a circular cover with the appearance of energy-like flags, and two wings above. Bronze.;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p024_5ce2389f;https://www.lot-art.com/auction-lots/South-Arabian-Bronze-Incense-Burner/252-moussaieff_south-timeline-4.3.25;"4 : [ ] / . 9.17 28 (11 ) . LOT - ART ""  . 9.17 28 (11 ) . LOT - ART ""  .";;0
0-آثارنا المنهوبة_25_p025_2302ee91;https://www.lot-ancient-south-art.com/auction/15.1.24/ancient/Head/319/Alabaster/Arabian;5 . : 3 5/8 × 2 1/2 × 2 LOT - ART : 3 5/8 × 2 1/2 × 2 LOT - ART The head of a human statue.;;0
0-آثارنا المنهوبة_25_p026_1fcd326b;https://www.lot-art.com/auction/lot-of-BC-2ND-PLAQUE-BRONZE-ARABIAN-SOUTH;6 17.5 × 12.5 LOT - ART A pavilion. A graffiti of the bronze has to be written in a seven-line, impeccable rust of the bronze he's wearing, surrounded by a prominent frame. Bronze. About the second century before the miles. 17.5 x 12.5 cm LOT - ART;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p027_b022fb35;https://www.lot-art.com/auction-lots/CARVED-STONE-IDOLFIGURE-OF-PRE-ISLAMIC-SOUTH-ARABIAN-TYPE-possibly-Yemen/31-carved_stone-22.2.23-mctear;7  14.2 LOT - ART - 14.2 LOT - ART A human statue. A human statue of stone, broken limbs, with a robe as long as his body, with a clear face with a long nose and a beard, with two wandering eyebrows, with two eyes with jealous pupils, as it appears they were a restaurant b;CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE... Search Price Results Wish LOT 31 CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE, possibly Yemen... [ translate ] CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE, possibly Yemen circa 2nd century B.C - 2nd century A.D., bearing incised almond-shaped eyes, pupils and eyebrows, with extended forearms, in tunic style dress, 14.2cm high Past » View it on Login Sale price Unlock Estimate Unlock Time, Location 22 Feb 2023 UK Auction House Unlock [ translate ] CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE, possibly Yemen circa 2nd century B.C - 2nd century A.D., bearing incised almond-shaped eyes, pupils and eyebrows, with extended forearms, in tunic style dress, 14.2cm high Sale price Unlock Estimate Unlock Time, Location 22 Feb 2023 UK Auction House Unlock Past » View it on Login;882
0-آثارنا المنهوبة_25_p028_a003fe3c;https://www.lot-art.com/auction-lots/Lot-4-Ancient-South-Arabian-Bronze-Camels-c2nd-1st-century-BC/69;8 . 2 1/4 3 1/8 . 2 7/8 . LOT - ART Animal statues. A bronze collection of camel statues, small size, different shapes between skinny and fat, but fat looks like a saddle on her back. Bronze. Around the second century to the first before the miles. Its width is between 2 1/4 and 3 1/8 inches. It is 2-7/8 inches high.;;0
0-آثارنا المنهوبة_25_p029_7a71fcd3;https://www.lot-art.com/auction/Ancient-Rare-lots/South-Arabian-Sabaean-Bronze-Idol-c4th-1st-BC/18.2.24;9 3 3/8 LOT - ART 3 3/8 LOT - ART A human statue. A statue of a man of bronze and gold, standing up his hands forward, wrapping around his body a long robe, covering his head with a hat, wearing a gold necklace popping out of his chest. Brunes, he's gone.;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p030_6a5dc758;https://www.lot-art.com/auction-arabian-south-ancient-rare-lots/Ancient-18.2.24-1st-c4th-BC/9-century-Idol-Bronze-Sabaean-almyra-p;0 – 2 5/8 LOT - ART A human statue. A human statue standing, with an indistinct hint of a face, or it was filmed from behind. Bronze. Around the 4th century, the first before the Miles. It's 2-5/8 inches high. LOT - ART;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p031_d07c367c;https://www.lot-art.com/auction/03.10.23-south_arabian-ARABIAN-AMEULETS/467;1 . 44.3 38.1 LOT - ART 44.3 38.1 LOT - ART A sandal engraving.;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p032_c737ed55;https://www.lot-art.com/auction-lots/A-South-Arabian-Large-Table-Libation-Spout-Limestone-3rd-Century-BC1st-Century-AD/21-D/07.12.21-sotheby/;2 . / 20.2 × 24 × 42 LOT - ART . / 20.2 × 24 × 42 LOT - ART;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p033_facfb986;https://www.lot-art.com/auction-lots/Sabaean-South-Arabian-lots/28.3.20-sabaean_south_animal/35639233-Inscribed-Bronze;3 . 7.5 × 7.5 LOT - ART An animal statue. A statue of a bronze dog standing on a rectangular base, with a handwriting on it, a dog raising his head up, and his back bowing down. Bronze. About the first century B.C. 7.5 x 7.5 cm;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p034_200fc292;https://www.lot-art.com/auction/south-arabian-fragmentary-carved-figural-elief-r-BC-century-1st-2nd-circa-plaque-dreweatts-24.1.18/344/;4 : [... ] / . LOT - ART  . LOT - ART  . A mural.;LOT-ART | The Art Investment Platform LOADING;45
0-آثارنا المنهوبة_25_p035_2f5db211;https://www.lot-art.com/auction-lots/A-bruun-BERBER-SOUTH-NECKLACE-46cm-279/11.11.19;5 46 LOT - ART 46 LOT - ART Contract A stone contract, coral and silver, consisting of fifty-two stone pieces of orange cream of different sizes, separated by twenty-five silver pieces of different shapes and sizes, was assembled on the fabric of a red thread. Stones, corals, silver, fabric.;;0
0-آثارنا المنهوبة_25_p036_bea25d9f;https://www.lot-art.com/auction-lots/Two-South-Arabian-Antiquities-Qataban-3rd-Century-BC1st-Century-AD/109-two_south-08.12.21-sotheby;6 . 6.5 6 LOT - ART Led sculptures and feet. Two pieces made up of the front of a bronze right foot, and a fistful hand of marble stone. Marblestone, bronze. The third century before the Miles, the Miles. 6.5 and 6 cm LOT - ART;Search Price Results Wish LOT 109 Two South Arabian Antiquities, Qataban, 3rd Century B.C./1st Century A.D. [ translate ] Property from the Collection of the Late Antonin and Christiane Besse Two South Arabian Antiquities, Qataban 3rd Century B.C./1st Century A.D. Please note that Condition 11 of the Conditions of Business for Buyers (Online Only) is not applicable to this lot. comprising the front of a bronze right foot and an alabaster clenched hand. Bronze foot only partially preserved and with thick layer of corrosion. (2) Condition Report: Alabaster left hand is missing most of thumb and is chipped along edges. Both individually mounted on wood bases.;664
0-آثارنا المنهوبة_25_p037_76bcbec5;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Alabaster-Male-Head/48-fine_south-14.7.22-artemi;7 . 12.7 × 18.5 LOT - ART . 12.7 × 18.5 LOT - ART;"The British Museum, museum number 141577 Another example of an alabaster head hammered for $7,500 at Christie's, New York ""Antiquities"" auction (sale 2709, June 6, 2013, lot 694) Provenance: East Coast collection, New York Gallery, New York City, New York, USA, acquired before 2010 All items legal to buy/sell under U.S. The people of these kingdoms created figural representations from alabaster and other stones, including stele with high relief faces honoring the deceased like this one. Size: 5"" W x 7.3"" H (12.7 cm x 18.5 cm)";
0-آثارنا المنهوبة_25_p038_a303509a;https://www.lot-art.com/auction-lots/Western-Asiatic-South-Arabian-Painted-Jar/1688-western_asiatic-04.6.20-timeline;8- 2.6 26.5 LOT - ART 2.6 26.5 LOT - ART A jar. A cork jar (burned clay), with a slightly wide nozzle upside down to the outside, a puffed body, snaps on both sides, and tapes of geometric crawling triangles and by-lines, painted in black and red.;Search Price Results Wish LOT 1688 Western Asiatic South Arabian Painted Jar [ translate ] 2nd century BC-2nd century AD. A ceramic jar with slightly flared rim and loop handles to the shoulders, bands of geometric painted ornament in black and red on a cream field. Private collection, South West London;
0-آثارنا المنهوبة_25_p039_21a0fd74;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Qatabanian-Stone-Head/58-fine_south-10.9.20-artemi;9 - 16 1.66 LOT - ART - 16 1.66 LOT - ART;"The head presents large ovoid eyes with impressed pupils on either side of the narrow nose, pursed lips set above a smooth chin, slightly bulging cheeks in front of a tapered mandible, and a shallow indentation centered on the forehead. Size: 5.375"" W x 7.9"" H (13.7 cm x 20.1 cm)";
0-آثارنا المنهوبة_25_p040_1772345a;https://www.liveauctioneers.com/search/?keyword=South%20Arabian&sort=-relevance&status=online;0 45 – 45 × 30 - 33 : 30 liveauctioneers 45 – 45 × 30 - 33 : 30 liveauctioneers Animal statues. My statue of a bronze camel animal, like them, is standing in one year's sleep per camel, and a relatively short tail, one raising its head up, the other extending it forward.;;0
0-آثارنا المنهوبة_25_p041_16bc353c;https://www.lot-art.com/auction-lots/TETE-MASCULINE-EN-ALBATRE-ART-SUD-ARABIQUE-FIN-DU-1ER-MILLENAIRE-AVJC/7-tete_masculine-24.5.16-artcurial;1 . 23.5 LOT - ART 23.5 LOT - ART The head of a human statue. The head of a man's statue, from the stone of the marble with a long neck, and the glimpse of a clear face, the eyes are strewn with two blues, mediated by the pupils' holes, the nose is pierced and connected to the janitored and curved eyebrows, and the mouth is piercing, as the ears stand on both sides.;: 23,5 cm Provenance : Collection Szerer, Paris A South Arabian alabaster head, late 1st millennium B.C. Search Price Results Wish LOT 7 TÊTE MASCULINE EN ALBÂTRE, ART SUD-ARABIQUE, FIN DU 1ER MILLÉNAIRE AV.J.C. Tête masculine, au visage triangulaire, barbu et moustachu, larges yeux incrustés en amande, sourcils gravés, nez droit, lèvres closes et long cou cylindrique. Estimation 14 000 - 18 000 € Sold 15,600 € * Results are displayed including buyer's fees and taxes. [ translate ] TÊTE MASCULINE EN ALBÂTRE, ART SUD-ARABIQUE, FIN DU 1ER MILLÉNAIRE AV.J.C. They are generated automatically and can be modified.;615
0-آثارنا المنهوبة_25_p042_a0c5b0df;https://www.liveauctioneers.com/search/?keyword=South%2Arabian&sort=-relevance&status=online;2  350 × 145 8.5 liveauctioneers  350 × 145 8.5 liveauctioneers;;0
0-آثارنا المنهوبة_25_p043_e92bb9bc;https://www.lot-art.com/auction-lots/Ancient-South-Arabian-Bronze-Statuette-Camel/83-ancient_south-27.9.18-artemi;3 . 10.2 × 9 ( 4 × 3.55 ). 3.9 (9.9 ) LOT - ART An animal statue. A statue of a bronze camel with a hard head, with a mild mid-back tooth, and a strapped little tail behind his back legs. Metal. About the early millennium before the miles. 10.2 cm x 9 cm (4 inches wide x 3.55 inches high). 3.9 inches (9.9 in centimeters) LOT - ART;"A cast bronze statuette of a camel with an erect head and neck, a slight hump, and a friendly face with big, round eyes that gives him a charming look. Search Price Results Wish LOT 0083 Ancient South Arabian Bronze Statuette - Camel [ translate ] Ancient South Arabia, Yemen, ca. Size: 4"" W x 3.55"" H (10.2 cm x 9 cm)";
0-آثارنا المنهوبة_25_p044_1394a6c0;https://www.lot-art.com/auction-lots/Large-South-Arabian-Alabaster-Standing-Figure-of-a-Goddess/249-large_south-04.3.25-timeline;4  15.55 47.5 LOT - ART  15.55 47.5 LOT - ART;Search Price Results Wish LOT 0249 Large South Arabian Alabaster Standing Figure of a Goddess [ translate ] 1st century B.C.-1st century A.D. Modelled in the round figure of a standing deity with textural detailing to the hair, na?ve facial features with exaggerated eyes to accept inserts (absent) and slit mouth, gripping hands held out at the chest and one pierced to accept an attribute, knee-length garment, collar or necklace below the throat;
0-آثارنا المنهوبة_25_p045_eaae26b1;https://www.lot-art.com/auction-lots/Western-Asiatic-South-Arabian-Plaque/260-western_asiatic-28.5.19-timeline;5  3 19-27 LOT – ART . LOT – ART . A pavilion. A graft of bronze, written in a nine-line strand, with the gravitational shapes of a converse animal mediated by the palm tree, and in the upper corners, there are two holes.;Search Price Results Wish LOT 0260 Western Asiatic South Arabian Plaque [ translate ] 2nd century BC-2nd century AD. A rectangular bronze plaque in fragments with raised border rows of raised Nabatean text, two fixing holes. Property of a Mayfair lady;
0-آثارنا المنهوبة_25_p046_0ea08f6c;https://www.lot-art.com/auction-lots/Large-South-Arabian-Bronze-Horse/263-large_south-26.11.24-timeline;6 . 1.1 19.5 LOT - ART . 1.1 19.5 LOT - ART;Modelled in the round as a figure of a horse standing in static pose with ears pricked, stiff mane, open mouth;
0-آثارنا المنهوبة_25_p047_a4daec26;https://www.lot-art.com/auction-lots/Sabaean-Kingdom-South-Arabian-Terracotta-Very-Rare-Fertility-Female-Figure-with-Inscription-with-TL-Test-1st-Millennium-BC-15/75971449-sabaean_kingdom-30.10.23-catawiki;7  : 1- 2-  15.8×9×0 LOT - ART  15.8×9×0 LOT - ART A human doll.;Search Price Results Wish LOT 75971449 Sabaean Kingdom South Arabian Terracotta Very Rare Fertility Female Figure with Inscription with TL Test - 1st Millennium BC - (15.8×9×0 cm) [ translate ] Provenance: Ex London art market 2000 This lot comes from the private collection of Mr. A rare and extraordinary ancient Sabaeans kingdom female fertility figure with finely painted facial features, the front body detailing another stylised face around the belly, and the belly fat rolls forming a big mouth, some inscription in each leg. Artes, This test analysis (certificate C 142647A-1) was taken in Bordeaux, France on 17/10/2016 which results indicate the the raw material of the object has been most probably heated during the first millennium. 8 x 9 cm Condition: Good ancient condition considering ancient age and material;
0-آثارنا المنهوبة_25_p048_04475953;https://www.lot-art.com/auction-lots/A-LOT-OF-7-SOUTH-ARABIAN-SILVER-VESSELS/633-south_arabian-23.9.21-archaeological;8 : 1- . 2- . 3- . 4- . 5- . 6- . 7- . 1- 17.4 2- 13.9 3- 11.8 4- 11.3 5- 11.3 6- 7.5 7- 8 LOT - ART . 5- . 6- . 7- .;Including: 1) A siver shallow bowl, 17.4 cm in diam, with concentric cilcles, inscribed on the external rim, in very good condition  6) A silver goblet, 7.5 cm high, inscribed on the internal rim, in very good condition;
0-آثارنا المنهوبة_25_p049_2f28b0e7;https://www.lot-art.com/auction-lots/South-Arabia-Saba-AR-Unit/3014-south_arabia-08.3.25-timeline;9 . 4.93 15 LOT - ART An old Yemeni coin. An old Yemeni coin, on one face, is an expression of the owl bird, on the other, it seems to contain an expression of a human face. Metal. About the third century before the miles. Weight 4.93 g, 15 mm;Head of Athena to right, wearing crested Attic helmet decorated with three olive leaves and palmette, and disc earring;
0-آثارنا المنهوبة_25_p050_ee11b378;https://www.lot-art.com/auction-lots/South-Arabia-Himyar-AR-Unit/2970-south_arabia-07.9.24-timeline;0 . 1.88 11 LOT - ART An old Yemeni coin. An old Yemeni coin, like its faces, is the expression of a human face, one of which appears bearded and the other with a beard. Metal. About the second century and the first before the miles. 1.88 grams, 11 mm LOT - ART;Beardless male head to right / Bearded male head to right, Royal Qatanian monogram behind, South Arabian monogram below. Search Price Results Wish LOT 2970 South Arabia, Himyar AR Unit. From an old UK collection;
0-آثارنا المنهوبة_25_p051_3acdaa81;https://www.lot-art.com/auction-lots/Ancients-ARABIA-SOUTHERN-Qataban-Unknown-Rulers-350-300-BC-AR-hemidrachm-11mm-198-gm-8h-NGC-Choice-AU-55-35-graffito/64095-ancient_arabia-25.1.23-heritage;1 . 11 1.98 LOT - ART An old Yemeni coin. An old Yemeni coin, one of whose faces is an expression of a human face with a clear glimpse, apparently wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 11 mm, 1.98 grams;Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. Search Price Results Wish LOT 64095 Ancients: , ARABIA, SOUTHERN. Incredibly sharp and attractive for the type.;350
0-آثارنا المنهوبة_25_p052_3bf323d0;https://www.lot-art.com/auction-lots/Ancients-ARABIA-Qataban-Unknown-Rulers-ca-350-300-BC-AR-hemidrachm-12mm-9h-NGC-Choice-VF-die-shift/22104-ancient_arabia-17.11.24-heritage;2 . 12 LOT - ART An old Yemeni coin. An old Yemeni coin, one of whose faces is an expression of a human face with clear glimpses, seems to be wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 12 mm LOT - ART;Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. Search Price Results Wish LOT 22104 Ancients: , ARABIA.;294
0-آثارنا المنهوبة_25_p053_809895ce;https://www.lot-art.com/auction-lots/Ancients-ARABIA-Qataban-Unknown-Rulers-ca-350-300-BC-AR-hemidrachm-12mm-8h-NGC-VF-scratches/22105-ancient_arabia-17.11.24-heritage;3 . 12 LOT - ART Currency An old Yemeni coin, one of whose faces is an expression of a human face with clear glimpses, seems to be wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 12 mm LOT - ART;Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. Search Price Results Wish LOT 22105 Ancients: , ARABIA.;294
0-آثارنا المنهوبة_25_p054_975a31dd;https://www.lot-art.com/auction-lots/Ancients-ARABIA-Qataban-Unknown-Rulers-ca-350-300-BC-AR-hemidrachm-12mm-9h-NGC-Choice-VF/22103-ancient_arabia-17.11.24-heritage;4 . 12 LOT - ART An old Yemeni coin. An old Yemeni coin, one of whose faces is an expression of a human face with a clear glimpse, apparently wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 12 mm LOT - ART;Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. Search Price Results Wish LOT 22103 Ancients: , ARABIA.;294
