artifact_id,text_for_matching,text_for_matching_web,price,currency,description_short,description_long,description_col2
0-آثارنا المنهوبة_25_p046_0ea08f6c,6 . 1.1 19.5 LOT - ART . 1.1 19.5 LOT - ART,"Modelled in the round as a figure of a horse standing in static pose with ears pricked, stiff mane, open mouth",,,"Figure, material not specified, modelled in the round as a horse standing in a static pose with ears pricked, a stiff mane, and an open mouth.","Figure, material not specified, modelled in the round as a horse standing in a static pose. The animal is depicted with ears pricked, a stiff mane, and an open mouth. No further technical, dimensional, or chronological information is provided in the source text.","Figurine, material not specified, modelled in the round as a horse standing in a static pose with pricked ears, a stiff mane, and an open mouth."
0-آثارنا المنهوبة_25_p047_a4daec26,7  : 1- 2-  15.8×9×0 LOT - ART  15.8×9×0 LOT - ART A human doll.,"LOT 75971449 Sabaean Kingdom South Arabian Terracotta Very Rare Fertility Female Figure with Inscription with TL Test - 1st Millennium BC - (15.8×9×0 cm) [ translate ] Provenance: Ex London art market 2000 This lot comes from the private collection of Mr. A rare and extraordinary ancient Sabaeans kingdom female fertility figure with finely painted facial features, the front body detailing another stylised face around the belly, and the belly fat rolls forming a big mouth, some inscription in each leg. Artes, This test analysis (certificate C 142647A-1) was taken in Bordeaux, France on 17/10/2016 which results indicate the the raw material of the object has been most probably heated during the first millennium. 8 x 9 cm Condition: Good ancient condition considering ancient age and material",,,"Terracotta female fertility figure, Sabaean Kingdom, South Arabian, 1st millennium BC, with inscription. The figure has finely painted facial features, stylised decoration on the front body, and inscription on each leg; dimensions 15.8 × 9 × 0 cm.","Terracotta female fertility figure, Sabaean Kingdom, South Arabian, 1st millennium BC, with inscription. The figure is described as having finely painted facial features, a stylised face around the belly, and belly fat rolls forming a large mouth, with inscription on each leg. A thermoluminescence test certificate (C 142647A-1) taken in Bordeaux, France on 17/10/2016 indicates that the raw material was most probably heated during the first millennium. Dimensions are given as 15.8 × 9 × 0 cm, and the condition is described as good ancient condition considering age and material.","Terracotta female fertility figure, South Arabian Sabaean Kingdom, 1st millennium BC, 15.8 × 9 × 0 cm, with painted facial features, a stylised face on the front body around the belly, belly fat rolls forming a large mouth, and inscriptions on each leg. The object is reported as coming from the London art market in 2000 and from a private collection; a thermoluminescence test certificate (C 142647A-1), taken in Bordeaux, France on 17/10/2016, states that the raw material was most probably heated during the first millennium. Condition described as good ancient condition considering age and material."
0-آثارنا المنهوبة_25_p048_04475953,8 : 1- . 2- . 3- . 4- . 5- . 6- . 7- . 1- 17.4 2- 13.9 3- 11.8 4- 11.3 5- 11.3 6- 7.5 7- 8 LOT - ART . 5- . 6- . 7- .,"Including: 1) A siver shallow bowl, 17.4 cm in diam, with concentric cilcles, inscribed on the external rim, in very good condition  6) A silver goblet, 7.5 cm high, inscribed on the internal rim, in very good condition",,,"Shallow bowl, silver, 17.4 cm in diameter, with concentric circles and an inscription on the external rim, in very good condition. Silver goblet, 7.5 cm high, with an inscription on the internal rim, in very good condition.","Shallow bowl, silver, 17.4 cm in diameter, decorated with concentric circles and inscribed on the external rim, in very good condition. Silver goblet, 7.5 cm high, inscribed on the internal rim, in very good condition.","Shallow bowl and goblet, silver: 1) shallow bowl, 17.4 cm in diameter, with concentric circles and an inscription on the external rim, in very good condition; 2) goblet, 7.5 cm high, with an inscription on the internal rim, in very good condition."
0-آثارنا المنهوبة_25_p049_2f28b0e7,"9 . 4.93 15 LOT - ART An old Yemeni coin. An old Yemeni coin, on one face, is an expression of the owl bird, on the other, it seems to contain an expression of a human face. Metal. About the third century before the miles. Weight 4.93 g, 15 mm","Head of Athena to right, wearing crested Attic helmet decorated with three olive leaves and palmette, and disc earring",,,"Head, material not specified, of Athena facing right, wearing a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring.","Head, material not specified, of Athena facing right. The goddess wears a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring. No further technical, dimensional, or chronological information is provided in the source text.","Coin, metal, with head of Athena facing right, wearing a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring."
0-آثارنا المنهوبة_25_p050_ee11b378,"0 . 1.88 11 LOT - ART An old Yemeni coin. An old Yemeni coin, like its faces, is the expression of a human face, one of which appears bearded and the other with a beard. Metal. About the second century and the first before the miles. 1.88 grams, 11 mm LOT - ART","Beardless male head to right / Bearded male head to right, Royal Qatanian monogram behind, South Arabian monogram below. LOT 2970 South Arabia, Himyar AR Unit. From an old UK collection",,,"Coin, silver AR unit, South Arabia, Himyar. Beardless male head to right / bearded male head to right, with Royal Qatanian monogram behind and South Arabian monogram below.","Coin, silver AR unit, from South Arabia, Himyar. The obverse shows a beardless male head to right, and the reverse shows a bearded male head to right. A Royal Qatanian monogram appears behind the heads, with a South Arabian monogram below. The source text gives no dimensions or date beyond the regional and cultural attribution.","Coin, silver, with a beardless male head facing right on one side and a bearded male head facing right on the other, with a Royal Qatanian monogram behind and a South Arabian monogram below. South Arabia, Himyar, AR unit."
0-آثارنا المنهوبة_25_p051_3acdaa81,"1 . 11 1.98 LOT - ART An old Yemeni coin. An old Yemeni coin, one of whose faces is an expression of a human face with a clear glimpse, apparently wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 11 mm, 1.98 grams","Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. LOT 64095 Ancients: , ARABIA, SOUTHERN. Incredibly sharp and attractive for the type.",,,"Coin, silver. Helmeted head of Athena facing right, with Arabian letter Γ as a mark of value on the cheek; reverse with owl standing right, head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field.","Coin, silver. Obverse shows the helmeted head of Athena facing right, with the Arabian letter Γ on the cheek as a mark of value. Reverse bears the inscription AΘE and depicts an owl standing right with head facing, accompanied by a crescent moon in the upper left field and a Royal Qatabanian monogram in the lower right field, composed of South Arabian letters h and l. The type is attributed to Southern Arabia.","Coin, silver, with helmeted head of Athena facing right on the obverse, an Arabian letter Γ as a mark of value on the cheek, and on the reverse the inscription AΘE, an owl standing right with head facing, a crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field."
0-آثارنا المنهوبة_25_p052_3bf323d0,"2 . 12 LOT - ART An old Yemeni coin. An old Yemeni coin, one of whose faces is an expression of a human face with clear glimpses, seems to be wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 12 mm LOT - ART","Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. LOT 22104 Ancients: , ARABIA.",,,"Coin, silver. Helmeted head of Athena right with Arabian letter Γ on the cheek; reverse with owl standing right, head facing, AΘE, crescent moon in upper left field, and Royal Qatabanian monogram composed of South Arabian letters h and l in lower right field. Arabia.","Coin, silver. Obverse shows the helmeted head of Athena facing right, with an Arabian letter Γ used as a mark of value on the cheek. Reverse depicts an owl standing right with head facing, accompanied by the inscription AΘE, a crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field. The object is attributed to Arabia.","Silver coin with helmeted head of Athena facing right on the obverse, with an Arabian letter Γ as a mark of value on the cheek; reverse with AΘE and an owl standing right with head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field."
0-آثارنا المنهوبة_25_p053_809895ce,"3 . 12 LOT - ART Currency An old Yemeni coin, one of whose faces is an expression of a human face with clear glimpses, seems to be wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 12 mm LOT - ART","Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. LOT 22105 Ancients: , ARABIA.",,,"Coin, silver. Helmeted head of Athena facing right with Arabian letter Γ on the cheek; reverse with owl standing right, head facing, AΘE, crescent moon in the upper left field, and Royal Qatabanian monogram in the lower right field.","Coin, silver. Obverse with helmeted head of Athena facing right, with Arabian letter Γ as a mark of value on the cheek. Reverse with owl standing right, head facing, AΘE, crescent moon in the upper left field, and Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field. The type is attributed to Arabia.","Coin, silver, with helmeted head of Athena facing right on the obverse, marked with the Arabian letter Γ as a value mark on the cheek; reverse with AΘE and an owl standing right with head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field."
0-آثارنا المنهوبة_25_p054_975a31dd,"4 . 12 LOT - ART An old Yemeni coin. An old Yemeni coin, one of whose faces is an expression of a human face with a clear glimpse, apparently wearing an earring. Metal. Around the middle of the 4th century and the 3rd century before the Miles. 12 mm LOT - ART","Helmeted head of Athena right, Arabian letter Γ (mark of value) on cheek / AΘE, owl standing right, head facing, crescent moon in upper left field, Royal Qatabanian monogram, composed of South Arabian letters h and l in lower right field. LOT 22103 Ancients: , ARABIA.",,,"Coin, silver. Helmeted head of Athena facing right with an Arabian letter Γ as a mark of value on the cheek; reverse with AΘE, owl standing right with head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field.","Coin, silver. Obverse: helmeted head of Athena facing right, with an Arabian letter Γ used as a mark of value on the cheek. Reverse: AΘE, owl standing right with head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram in the lower right field, composed of South Arabian letters h and l. The type is attributed to Arabia.","Coin, silver, with helmeted head of Athena facing right on the obverse, an Arabian letter Γ as a mark of value on the cheek; reverse with AΘE and an owl standing right with head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field."
0-آثارنا المنهوبة_25_p055_7d7995f7,"5 : 1- / 2- / 3- / 4- [ ] / 5- / 6- / 7- / 8- / 9- 10.2 × 14.4 LOT - ART FB - Hrmn A pavilion. Bronze pad, surrounded by a prominent frame in writing with a nine-line barge line: 1-A-L-A-T-A-T-A-D-Y/Y-A-N-E-N-E-E-R-E-R-E-R-N-E-R-N-E-R-N-E-N-E-N-A-N-A-T-E-N-E-T-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-N-E-N-N-N-N-N-N-N-N-N-N-N-N-E-N-N-N-N-N-N-E-N-N-N-N-E-N-N-E-N-N-E-N-E-N-N-E-N-E-E-N-E-E-E-N-N-E-E- Bronze. About the first millennium before the miles to the early millennium. 10.2 cm x 14.4 cm LOT - ART Bad.","The deceased in ancient Saudi Arabia were often represented in anthropomorphic funerary stelae, with relief heads and headdresses, with funerary inscriptions, sometimes carved into stone, sometimes cast in bronze like this one, set beside them. Size: 4"" W x 5.65"" H (10.2 cm x 14.4 cm) Provenance: private East Coast, USA collection All items legal to buy/sell under U.S. A rare bronze inscription panel, with relief letters in the ancient Yemeni alphabet (also known as Old South Arabian), probably in the language of the Kingdom of Qataban. LOT 0090 Sabaean Bronze Panel with Ancient Yemeni Writing [ translate ] Southern Arabian, Sabaean people, ca. The panel is rectangular, with eight lines of evenly spaced, horizontal characters, and a narrower top line with just a few characters in a smaller font size. Statute covering cultural patrimony Code 2600, CHAPTER 14, and are guaranteed to be as described or your money back. We ship worldwide to most countries and handle all shipping in-house for your convenience. A Certificate of Authenticity will accompany all winning bids.",,,"Bronze inscription panel with relief letters in the ancient Yemeni alphabet (Old South Arabian), probably in the language of the Kingdom of Qataban. The rectangular panel has eight lines of evenly spaced horizontal characters and a narrower top line with a few smaller characters. Dimensions: 4 in W x 5.65 in H (10.2 cm x 14.4 cm).","Bronze inscription panel with relief letters in the ancient Yemeni alphabet, also known as Old South Arabian, probably in the language of the Kingdom of Qataban. The panel is rectangular and bears eight lines of evenly spaced horizontal characters, with a narrower top line containing only a few characters in a smaller font size. The object is described as a rare bronze inscription panel and is associated with funerary representation in ancient Saudi Arabia, where anthropomorphic funerary stelae with relief heads, headdresses, and funerary inscriptions were sometimes carved in stone or cast in bronze. Dimensions are 4 in W x 5.65 in H (10.2 cm x 14.4 cm).","Bronze inscription panel, rectangular, with relief letters in the ancient Yemeni alphabet (Old South Arabian), probably in the language of the Kingdom of Qataban; the inscription is arranged in eight lines of evenly spaced horizontal characters, with a narrower top line containing a few characters in smaller script. Dimensions: 10.2 cm wide x 14.4 cm high."
0-آثارنا المنهوبة_25_p056_dc2f7b3e,6 . 13 × 16.1 LOT - ART 13 × 16.1 LOT - ART An animal statue.,"Statuette représentant un taureau debout sur une base rectangulaire Dim.: 13 x 16.1 cm Provenance: Galerie Kevorkian, Paris, 2011 A South Arabian alabaster bull, late 1st millennium B.C. Commentaire : Lot en importation temporaire L'acquéreur devra s'acquitter des frais d'importation, soit 5,5% en sus du prix d'adjudication sauf s'il réexporte immédiatement le lot en dehors de l'Union Européenne. LOT 100 STATUETTE DE TAUREAU EN ALBÂTRE, ART SUD-ARABIQUE, FIN DU 1er MILLÉNAIRE AV. [ translate ] ¤ STATUETTE DE TAUREAU EN ALBÂTRE, ART SUD-ARABIQUE, FIN DU 1er MILLÉNAIRE AV. Estimation 10 000 - 12 000 € Sold 10,840 € * Results are displayed including buyer's fees and taxes. They are generated automatically and can be modified.",,,"Statuette, alabaster, South Arabian art, depicting a standing bull on a rectangular base. Dimensions: 13 x 16.1 cm. Late 1st millennium B.C.","Statuette, alabaster, depicting a bull standing on a rectangular base. The object is attributed to South Arabian art and dated to the late 1st millennium B.C. It measures 13 x 16.1 cm. The source text notes provenance from Galerie Kevorkian, Paris, in 2011.","Statuette, alabaster, depicting a standing bull on a rectangular base; South Arabian, late 1st millennium BC. Dimensions: 13 x 16.1 cm."
