artifact_id;pdf_name;page_num;numero_inventaire;type;description_texte_long;materiel;periode;dimensions;nom_musee_auction;etat;note;lien_ok
0-آثارنا المنهوبة_25_p003_85c68c3b;0-آثارنا المنهوبة_25.pdf;3;3;تمثال حيواني;تمثال لحيوان الجمل وعليه راكب من البرونز، يعاني من تكلسات ترابية;برونز;;الطول 3.6 سم × العرض 1.17 سم × الارتفاع 4 سم;LOT - ART;جيدة;;https://www.lot-art.com/auction/91322465/Price-Reserve-No-Figurine-Rider-with-Camel-catawiki-09.12.24-south_arabian
0-آثارنا المنهوبة_25_p004_6c0d0179;0-آثارنا المنهوبة_25.pdf;4;4;رأس تمثال آدمي;رأس آدمي من مادة الفخار (الطين المحروق)، بملامح وجه واضحة، أنف بارز يتصل به الحاجبان، أسفلهما عينان مغمضتان، والشفتان بارزتان، يظهر على سطحه ثقوب بسيطة غير نافذة نتيجة احتراق القش الممزوج بالطين.;فخار (الطين المحروق);حوالي القرن الثالث إلى الأول قبل الميالد;7.4 سم طول- 2 7/8 بوصة;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/South-Arabian-Sabaean-Votive-Head-Terracotta-3rd-c-1st-BC/83-artemission25.2.25
0-آثارنا المنهوبة_25_p005_a9b6090a;0-آثارنا المنهوبة_25.pdf;5;5;رأس تمثال آدمي;رأس آدمي من حجر المرمر بملامح وجه واضحة، مقدمة الرأس (الجبهة) مفقودة، والعينان غائرتان اليسرى أُعيد تعبئتها بمادة الجبس، والأنف بارز، أما الشفتان صغيرتان بارزتان.;حجر مرمر;حوالي القرن الثالث أو الأول قبل الميالد;االرتفاع 9.6 سم;LOT - ART;سيئة;;https://www.lot-art.com/auction-lots/Arabian-South-Arabian-circa-3rd-1st-BC-head-alabaster/61-30.10.23
0-آثارنا المنهوبة_25_p006_1cdb6eb3;0-آثارنا المنهوبة_25.pdf;6;6;رأس تمثال آدمي;رأس تمثال لرجل، من حجر المرمر بملامح وجه واضحة، العينان غائرتان، الأنف طويل بارز، يتصل بأعلاه الحاجبان، وبالأعلى يقع الفم الذي مُثل بخط أفقي بسيط غائر، الشفة السفلية بارزة، وله رقبة طويلة نسبياً.;حجر مرمر;حوالي القرن الأول قبل الميالد، القرن الأول الميالدي;ارتفاعه 23 سم;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/A-south-Arabian-alabaster-head-of-a-man/162
0-آثارنا المنهوبة_25_p007_1c050a86;0-آثارنا المنهوبة_25.pdf;7;7;وزانة;وزانة من مادة البرونز، مستطيلة الشكل، تقف على رجلين وفي أعالها مقبض. على جانبها كتابة بخط المسند الغائر المحزوز، مكونة من سطر واحد كالتالي: و د ي د م.;برونز;حوالي القرن الأول قبل الميالد;االرتفاع 8.8 إنش;LOT - ART;جيدة، وتعاني من بعض تكلسات صدأ البرونز;;https://www.lot-arabian-south-arabian-weight/178-bronze-inscribed-archaeological-1.10.24
0-آثارنا المنهوبة_25_p008_44540d03;0-آثارنا المنهوبة_25.pdf;8;8;شاهد قبر;شاهد قبر بوجه آدمي من حجر المرمر، بمالمح وجه واضحة، عينان لوزيتان محزوزتان يعلوهما الحاجبان بخطان دقيقان غائران، واألنف مستقيم، وجُسد الفم بشفتان أفقيتان بارزتان، وذقن عريض.;حجر مرمر;;"الطول 175 مم / العرض 120 مم؛ الوزن 2.7 كجم";LOT - ART;جيدة;;https://www.lotart.com/auction/south_arabian-lots/SOUTH-arabian-STELE/90-FACE-STONE
0-آثارنا المنهوبة_25_p009_2f2b0ce4;0-آثارنا المنهوبة_25.pdf;9;9;آنية;آنية حجرية مخروطية الشكل من حجر المرمر، ذات فوهة قطرها أصغر من قطر قاعدتها، لها غطاء ذو مقبض، وتظهر عليها خطوط (عروق) ملونة من ذات الحجر.;حجر مرمر;حوالي القرن الثالث قبل الميالد إلى القرن األول الميالدي;7.9 × 8.6 سم (عرض 3.1 بوصة × ارتفاع 3.4 بوصة);LOT - ART;جيدة جدا;آنية مع الغطاء;https://www.lot-art.com/auction-lots/South-Arabian-Beehive-Jar-Alabaster-Qatabanian-with-Lid/196-artemiw-7.10.22
0-آثارنا المنهوبة_25_p010_d9c89231;0-آثارنا المنهوبة_25.pdf;10;10;رأس تمثال آدمي;رأس تمثال آدمي، من حجر المرمر، مالمح الوجه واضحة العينان لوزيتان يعلوهما الحاجبان، واألنف كبير نسبياً، والفم صغير بارز، وله رقبة.;حجر مرمر;حوالي القرن الثالث إلى األول قبل الميالد;الوزن اإلجمالي 2.42 كجم، الطول 22.5 سم شامل الحامل (8/7 8 بوصة);LOT - ART;جيدة جداً;;https://www.lot-art.com/auction-lots/South-Arabian-Alabaster-Head-a-timeline-04.3.25/251
0-آثارنا المنهوبة_25_p011_c592ae55;0-آثارنا المنهوبة_25.pdf;11;11;شاهد قبر;شاهد قبر مستطيل الشكل، من الحجر الجيري، يبرز منه وجه آدمي بملامح واضحة، العينان لوزيتان، يعلوهما الحاجبان، واألنف غليظ نسبياً، يقع أسفله الفم قد تم تشكيلة بحفر غائر.;حجر جيري;;ارتفاع 22 سم;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/South-Arabian-Anthropomorphic-Stele-Limestone-22-cm/81575933
0-آثارنا المنهوبة_25_p012_62aa0a39;0-آثارنا المنهوبة_25.pdf;12;12;شاهد قبر;شاهد قبر مستطيل الشكل، من الحجر الجيري، بعينان بارزتان، وأنف طويل بارز;حجر جيري;من منتصف إلى أواخر الألفية الأولى قبل الميالد أو بعد ذلك;الوزن 1.82 كجم، 34.5 سم (13 8/5 بوصة);LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/South-Arabian-timeline-05.9.24-south_arabian-Stele/1199-Face
0-آثارنا المنهوبة_25_p013_77e29dc4;0-آثارنا المنهوبة_25.pdf;13;13;تماثيل حيوانية;مجموعة تماثيل برونزية لحيوان الجمل بنفس الحجم تقريباً، رؤوسها مرتفعة للأعلى، أذنيها بارزة بشكل الفت، وذيل قصير، أطرافها متالصقة.;برونز;حوالي القرن الثاني إلى الأول قبل الميالد;"األبعاد 60-63 مم × 65-67 مم؛ الوزن 125 غرامًا";LOT - ART;جيدة;ثالث قطع;https://www.lot-art.com/auction/south_arabian-CAMELS/465-BRONZE-THREE-OF-GROUP
0-آثارنا المنهوبة_25_p014_eef7c864;0-آثارنا المنهوبة_25.pdf;14;14;تمثال أدمي;تمثال المرأة من البرونز، يقف على قاعدة مستطيلة الشكل يغطي نصفها السفلي مئزر، يدها اليسرى ملتصقة على جسدها، بينما اليمنى ممدودة للأمام وتمسك بها وردة خماسية البتلات. يتميز وجهها بملامح بسيطة، عيناها بارزتان، لها أنف عريض وشفتان منتفختان. أذناها مزينة بأقراط ثقيلة، وفوق رأسها تاج.;برونز;حوالي القرن الأول والثاني الميلادي.;"الطول 110 مم / العرض 45 مم؛ 155 جرام";LOT - ART;جيدة جداً;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-FIGURINE/465-south_arabian_pollo-23.7.23
0-آثارنا المنهوبة_25_p015_3fe4479f;0-آثارنا المنهوبة_25.pdf;15;15;مائدة قرابين (مذبح);مائدة قرابين (مذبح)، مستطيلة الشكل من الحجر الجيري، يتقدمها رأس ثور برقبة طويلة، مالمح الوجه واضحة، يتوسط الجبهة قناة لتصريف السوائل، يبرز من الرأس القرنان واألذنان.;حجر جيري;حوالي القرن الثالث قبل الميالد;"الطول 350 مم / العرض 220 مم؛ الوزن 10.52 كجم";LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/South-Arabian-Bull-Votive-Altar/63919419
0-آثارنا المنهوبة_25_p016_b639c212;0-آثارنا المنهوبة_25.pdf;16;16;رأس تمثال آدمي;رأس تمثال لرجل ، من الحجر الجيري، أسود اللون بسبب السناج، له أنف طويل ،بارز وغليظ متصل بحاجبان، يقع أسفلهما عينان غائرتان، والفم صغير برقبة طويلة.;حجر جيري;حوالي القرن الثالث قبل الميالد;"الطول 150 مم / العرض 60 مم؛ الوزن 385 غرامًا";LOT - ART;جيدة;;https://www.lot-art.com/auction/south-arabian-apollo-09.10.22/IDOL/317
0-آثارنا المنهوبة_25_p017_157d5bda;0-آثارنا المنهوبة_25.pdf;17;17;تعليقة قالدة;تعليقة قالدة من الذهب، مطعمة بأحجار كريمة ملونة، على شكل حيوان، يعلوه حبيبات كروية صغيرة يعلوها ثقب التعليق.;ذهب، أحجار كريمة;أوائل الألفية الأولى الميالدية;الوزن0.72 غرام12 مم3/8 بوصة;LOT - ART;ممتازة;;https://www.lot-art.com/auction-lots/South-Arabian-Gold-and-Enamel-south_arabian_gold_Pendant/250-06.9.22
0-آثارنا المنهوبة_25_p018_6f4b152c;0-آثارنا المنهوبة_25.pdf;18;18;رأس تمثال آدمي;رأس تمثال لرجل، من الحجر الجيري، له أنف طويل بارز متصل بحاجبان، يقع أسفلهما عينان بارزتان، والفم صغير جداً، وله رقبة.;حجر جيري;حوالي القرن الثالث قبل الميالد;"الطول 95 مم / العرض 60 مم؛ الوزن 220 غرامًا";LOT - ART;سيئة;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-IDOL/318
0-آثارنا المنهوبة_25_p019_e4deff7b;0-آثارنا المنهوبة_25.pdf;19;19;أقراط ذهبية;زوج من الأقراط الذهبية المتطابقة، بحلقات دائرية، يتصل بهما أجسام ثلاثية الشكل، مثبت على كل منهما خمس حلقات صغيرة، يتدلى منها أجزاء تشبه الأجراس.;ذهب;حوالي ما بين القرن الثاني قبل الميالد– القرن األول الميالدي;الوزن اإلجمالي 8.45 غرام، وقطر كلٍّ منها 28 مم (بوصة واحدة);LOT - ART;ممتازة;قرطان فرديان.;https://www.lot-art.com/auction-lots/South-Arabian-Gold-Earring-Pair/2009/28.2.20-south_arabian_gold_earring_timeline
0-آثارنا المنهوبة_25_p020_e27076bd;0-آثارنا المنهوبة_25.pdf;20;20;أقراط ذهبية;زوج من الأقراط الذهبية المتطابقة، بحلقات دائرية على جانبيها قطع صغيرة ملتصقة، يتصل بالحلقات حزام ذو ضفائر صغيرة، تنتهي أطرافها بأربع حلقات صغيرة، يتدلى منها أجزاء تشبه الأجراس.;ذهب;حوالي ما بين القرن الثاني قبل الميالد– القرن الأول الميالدي;الوزن الإجمالي 13 غرامًا، والقطر 46 مم (1 3/4 بوصة).;LOT - ART;ممتازة;قرطان فرديان.;https://artandantiquities.co.uk/a1gallery3.asp?roomID=12552&pictureID=114648&next=previous
0-آثارنا المنهوبة_25_p021_85789d45;0-آثارنا المنهوبة_25.pdf;21;21;تمثال آدمي;تمثال لرجل، من الحجر الجيري، بوضعية الجلوس، يديه ممدودتان إلى الأمام، مالمح وجهه واضحة، بأنف بارز وعريض متصل بالحاجبان، يقع أسفلهما عينان بارزتان، وجُسد الفم بخط غائر صغير.;حجر جيري;;38 × 12 × 10 س م;LOT - ART;جيدة جداً;;https://www.lot-art.com/auction/south-arabian-lots/figure-male-enthroned-Limestone-catawiki-06.3.22/5634
0-آثارنا المنهوبة_25_p022_9f1d3fdf;0-آثارنا المنهوبة_25.pdf;22;22;رؤوس تماثيل آدمية;مجموعة من رؤوس التماثيل اآلدمية من حجر المرمر، ذات أنوف طويلة وبارزة، وعينان وحاجبان محزوزان، وأفواه صغيرة، أحدها يعاني من كسر في الجهة اليمنى من الجبهة باإلضافة إلى تهشم األنف.;حجر مرمر;;;LOT - ART;جيدة;أربع قطع;https://www.lot-art.com/auction-lots/South-arabian-alabaster-heads/four-group-of-south-arabian-alabaster-heads-03.6.24
0-آثارنا المنهوبة_25_p023_4a745754;0-آثارنا المنهوبة_25.pdf;23;23;تمثال حيوان;تمثال ل حيوان خرافي مجنح واضح المالمح على شكل أسد وبرأس آدمي، يقف على أربعة أرجل، له قاعدة مستطيلة الشكل، على الرأس غطاء دائري به بروز إلى األمام بما يشبه الطاقية، وجناحان مرفوعان إلى األعلى.;برونز;حوالي القرن الرابع إلى الثاني قبل الميالد;ارتفاعه 9.6 سم;LOT - ART;جيدة جدا;له تمثال آخر مشابه، أنظر آثارنا المنهوبة 15.;https://www.lot-art.com/auction/small_south_arabian-archaeological-Bronze-Sphinx/621
0-آثارنا المنهوبة_25_p024_5ce2389f;0-آثارنا المنهوبة_25.pdf;24;24;مبخرة;مبخرة برونزية دائرية الشكل، الجزء الأمامي من حافتها مرتفع ومتوج بمسامير مزخرفة بحلقات، محاطة بحاملين كبيرين على شكل طائر، لكل منهما جناح طويل منحني على الجانب الخارجي للمبخرة، وأرجل موضوعة إحداهما أمام الأخرى في وضعية حركة، مقدمة المبخرة مزينة بنقش بارز بخط المسند كالتالي: [ع] ث ت ر / ذ، يفصل بين الحروف حيوان واقف على رجليه الخلفيتين ذو ذيل طويل، ربما أسد.;برونز;حوالي القرنين السابع والسادس قبل الميالد;الوزن اإلجمالي 9.17 كجم، الطول 28 سم (11 بوصة) بما في ذلك الحامل.;LOT - ART;جيدة جدا;"يُقال إنها من معبد ""عثتر ذو غرب"" في نشأن (السوداء) في الجوف باليمن.";https://www.lot-art.com/auction-lots/South-Arabian-Bronze-Incense-Burner/252-moussaieff_south-timeline-4.3.25
0-آثارنا المنهوبة_25_p025_2302ee91;0-آثارنا المنهوبة_25.pdf;25;25;رأس تمثال آدمي;رأس تمثال لرجل ، من حجر المرمر، مالمح وجهه واضحة، له أنف مهشم قليلاً، وحاجبان مقوسان بخطوط غائرة، يقع أسفلهما عينان غائرتان، والفم صغير جداً، وله رقبة صغيرة.;حجر مرمر;حوالي القرن الأول قبل الميالد;الأبعاد التقريبية: ارتفاع 3 5/8 بوصة × عرض 2 1/2 بوصة × عمق 2 بوصة;LOT - ART;جيدة;;https://www.lot-ancient-south-art.com/auction/15.1.24/ancient/Head/319/Alabaster/Arabian
0-آثارنا المنهوبة_25_p026_1fcd326b;0-آثارنا المنهوبة_25.pdf;26;26;نقش مسند;نقش مسند من البرونز، عليه كتابة بخط المسند البارز مكونة من سبعة أسطر غير واضحة بسبب صدأ البرونز الذي يكسيه، يحيط به إطار بارز;برونز;حوالي القرن الثاني قبل الميالد;17.5 × 12.5 سم;LOT - ART;جيدة;;https://www.lot-art.com/auction/lot-of-BC-2ND-PLAQUE-BRONZE-ARABIAN-SOUTH
0-آثارنا المنهوبة_25_p027_b022fb35;0-آثارنا المنهوبة_25.pdf;27;27;تمثال آدمي;تمثال آدمي من الحجر، أطرافه مكسورة، له رداء بطول جسده، مالمح وجهه واضحة بأنف طويل وبارز، وحاجبان غائران، والعينان بارزتان لهما بؤبؤيين غائران كما يبدو أنهما كانا مطعمين ولكنهما مفقودان، وعلى جانبي الرأس يوجد نتوءان يجسدان الأذنان.;حجر;حوالي القرن الثاني قبل الميالد- القرن الثاني الميالدي;ارتفاعه 14.2 سم;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/CARVED-STONE-IDOLFIGURE-OF-PRE-ISLAMIC-SOUTH-ARABIAN-TYPE-possibly-Yemen/31-carved_stone-22.2.23-mctear
0-آثارنا المنهوبة_25_p028_a003fe3c;0-آثارنا المنهوبة_25.pdf;28;28;تماثيل حيوانية;مجموعة تماثيل برونزية لحيوان الجمل، صغيرة الحجم، مختلفة الشكل ما بين النحيفة والسمينة، أما السمينة فيبدو أن على ظهرها ما يشبه السرج.;برونز;حوالي إلى القرن الثاني إلى الأول قبل الميالد;عرضها يتراوح بين 2 1/4 و3 1/8 بوصة. ارتفاعها 2 7/8 بوصة.;LOT - ART;جيدة جدا;أربع قطع;https://www.lot-art.com/auction-lots/Lot-4-Ancient-South-Arabian-Bronze-Camels-c2nd-1st-century-BC/69
0-آثارنا المنهوبة_25_p029_7a71fcd3;0-آثارنا المنهوبة_25.pdf;29;29;تمثال آدمي;تمثال لرجل من البرونز والذهب ، واقف يمد يديه إلى الأمام، يلف حول جسمه رداء طويل ، يغطي رأسه بقبعة، يرتدي قالدة ذهبية تبرز من صدره;برونز، وذهب;حوالي القرن الرابع إلى الأول قبل الميالد;ارتفاع 3 3/8 بوصة;LOT - ART;جيدة;;https://www.lot-art.com/auction/Ancient-Rare-lots/South-Arabian-Sabaean-Bronze-Idol-c4th-1st-BC/18.2.24
0-آثارنا المنهوبة_25_p030_6a5dc758;0-آثارنا المنهوبة_25.pdf;30;30;تمثال آدمي;تمثال آدمي واقف، بمالمح وجه غير واضحة، أو أنه قد تم تصويره من الخلف;برونز;حوالي القرن الرابع–الأول قبل الميالد;ارتفاعه 2 5/8 بوصة;LOT - ART;سيئة;;https://www.lot-art.com/auction-arabian-south-ancient-rare-lots/Ancient-18.2.24-1st-c4th-BC/9-century-Idol-Bronze-Sabaean-almyra-p
0-آثارنا المنهوبة_25_p031_d07c367c;0-آثارنا المنهوبة_25.pdf;31;31;نقوش مسندية;نقشان مسنديان، الأصغر من البرونز وفيه جزء مفقود من أحد أركانه، عليه كتابة بخط المسند مكونة من سطرين، والآخر الكبير من الفضة، عليه كتابة بخط المسند مكونة من خمسة أسطر، وقد تم ترميمه، والنقش الأكبر يتضمن مفردة نذرية (س ق ن ي ت).;برونز، وفضة;حوالي القرن الثالث إلى الأول قبل الميالد;طولها 44.3 و 38.1 سم;LOT - ART;جيدة;قطعتان;https://www.lot-art.com/auction/03.10.23-south_arabian-ARABIAN-AMEULETS/467
0-آثارنا المنهوبة_25_p032_c737ed55;0-آثارنا المنهوبة_25.pdf;32;32;ميزاب (صنبور) برأس ثور;ميزاب (صنبور) برأس ثور، لتصريف مياه الأمطار من أسطح المباني، كالمعابد والقصور، على شكل رقبة غليظة ينتهي طرفها برأس ثور واضح المالمح، بقرنان كبيران بارزان، وأذنان خلفهما، وعينان جاحظتان، وخطوط مقوسة غائرة في منتصف األنف، تمتد بطوله من األعلى قناة التصريف.;حجر جيري;حوالي القرن الثالث قبل الميالد/القرن األول الميالدي;ابعاده 20.2 سم × 24 سم × 42 سم;LOT - ART;ممتازة;;https://www.lot-art.com/auction-lots/A-South-Arabian-Large-Table-Libation-Spout-Limestone-3rd-Century-BC1st-Century-AD/21-D/07.12.21-sotheby/
0-آثارنا المنهوبة_25_p033_facfb986;0-آثارنا المنهوبة_25.pdf;33;33;تمثال حيواني;تمثال لحيوان الكلب من البرونز يقف على قاعدة مستطيلة الشكل، عليها كتابة بخط المسند، والكلب رافع رأسه للأعلى، وظهره مقوس نحو الأسفل.;برونز;حوالي القرن الأول قبل الميلاد;7.5 × 7.5 سم;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/Sabaean-South-Arabian-lots/28.3.20-sabaean_south_animal/35639233-Inscribed-Bronze
0-آثارنا المنهوبة_25_p034_200fc292;0-آثارنا المنهوبة_25.pdf;34;34;لوحة جدارية;لوحة جدارية من حجر المرمر، مستطيلة الشكل، منحوتة بشكل بارز عليها تمثال نصفي المرأة، اليدان متشابكتان أسفل الصدر، والإبهامان مرفوعان، يقع أسفلها كتابة بخط المسند مكونة من سطر واحد: كالتالي: [... ر] م / ب ر ن ط م / م ر. الجهة اليمنى للوحة تعاني من كسر مفقود، أخذت معها العين اليسرى وأجزاء من اليد اليسرى للمنحوتة، وكذلك الأحرف الأولى للنقش المسند.;حجر مرمر;حوالي القرن الثاني أو الأول قبل الميالد;;LOT - ART;جيدة;هذا االسم(برنطم) ورد في نقوش المسند.;https://www.lot-art.com/auction/south-arabian-fragmentary-carved-figural-elief-r-BC-century-1st-2nd-circa-plaque-dreweatts-24.1.18/344/
0-آثارنا المنهوبة_25_p035_2f5db211;0-آثارنا المنهوبة_25.pdf;35;35;عقد;عقد حجري كريم(مرجان) وفضي، مكون من اثنان وخمسون قطعة حجرية كريمة باللون البرتقالي مختلفة الأحجام، تفصل بينها خمسة وعشرون قطعة فضية مختلفة الأشكال والأحجام، قد تم تجميعها على نسيج (خيط) أحمر اللون.;أحجار كريمة(مرجان)، وفضة، ونسيج;;الطول 46 سم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/A-bruun-BERBER-SOUTH-NECKLACE-46cm-279/11.11.19
0-آثارنا المنهوبة_25_p036_bea25d9f;0-آثارنا المنهوبة_25.pdf;36;36;منحوتات ليد وقدم;قطعتان تتكونان من مقدمة قدم يمنى برونزية، ويد بأصابع مضمومة من حجر المرمر.;حجر مرمر، وبرونز;القرن الثالث قبل الميالد القرن األول الميالدي;6.5 و6 سم;LOT - ART;جيدة;عدد اثنتين قطع مختلفة;https://www.lot-art.com/auction-lots/Two-South-Arabian-Antiquities-Qataban-3rd-Century-BC1st-Century-AD/109-two_south-08.12.21-sotheby
