artifact_id;wb_txt_shrt;wb_txt_lg;looted_text
0-آثارنا المنهوبة_25_p046_0ea08f6c;Figure, material not specified, modelled in the round as a horse standing in a static pose with ears pricked, a stiff mane, and an open mouth.;Figure, material not specified, modelled in the round as a horse standing in a static pose. The animal is depicted with ears pricked, a stiff mane, and an open mouth. No further technical, dimensional, or chronological information is provided in the source text.;"Object type not specified; material not specified. The source text contains only the fragment “6 . 1.1 19.5 LOT - ART . 1.1 19.5 LOT - ART” and does not provide sufficient information to identify the object, its materials, typology, technique, dimensions, or period."
0-آثارنا المنهوبة_25_p047_a4daec26;"Terracotta female fertility figure, Sabaean Kingdom, South Arabian, 1st millennium BC, with inscription. The figure has finely painted facial features, stylised decoration on the front body, and inscription on each leg; dimensions 15.8 × 9 × 0 cm.";Terracotta female fertility figure, Sabaean Kingdom, South Arabian, 1st millennium BC, with inscription. The figure is described as having finely painted facial features, a stylised face around the belly, and belly fat rolls forming a large mouth, with inscription on each leg. A thermoluminescence test certificate (C 142647A-1) taken in Bordeaux, France on 17/10/2016 indicates that the raw material was most probably heated during the first millennium. Dimensions are given as 15.8 × 9 × 0 cm, and the condition is described as good ancient condition considering age and material.;Human doll, material not specified. A human doll, recorded as lot 7:1-2-15.8×9×0, with dimensions 15.8 × 9 × 0.
0-آثارنا المنهوبة_25_p048_04475953;Shallow bowl, silver, 17.4 cm in diameter, with concentric circles and an inscription on the external rim, in very good condition. Silver goblet, 7.5 cm high, with an inscription on the internal rim, in very good condition.;Shallow bowl, silver, 17.4 cm in diameter, decorated with concentric circles and inscribed on the external rim, in very good condition. Silver goblet, 7.5 cm high, inscribed on the internal rim, in very good condition.;Object, material not specified, with recorded dimensions of 17.4, 13.9, 11.8, 11.3, 11.3, 7.5, and 8 cm.
0-آثارنا المنهوبة_25_p049_2f28b0e7;Head, material not specified, of Athena facing right, wearing a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring.;Head, material not specified, of Athena facing right. The goddess wears a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring. No further technical, dimensional, or chronological information is provided in the source text.;"Coin, metal, old Yemeni coin with an owl bird depicted on one face and what appears to be a human face on the other; dated to about the third century BCE. Weight 4.93 g, diameter 15 mm."
0-آثارنا المنهوبة_25_p050_ee11b378;Coin, silver AR unit, South Arabia, Himyar. Beardless male head to right / bearded male head to right, with Royal Qatanian monogram behind and South Arabian monogram below.;Coin, silver AR unit, from South Arabia, Himyar. The obverse shows a beardless male head to right, and the reverse shows a bearded male head to right. A Royal Qatanian monogram appears behind the heads, with a South Arabian monogram below. The source text gives no dimensions or date beyond the regional and cultural attribution.;"Coin, metal. Old Yemeni coin with human face motifs on both sides, one face bearded and the other also bearded. Dated to the second century and the first century BCE. Weight 1.88 g; diameter 11 mm."
0-آثارنا المنهوبة_25_p051_3acdaa81;"Coin, silver. Helmeted head of Athena facing right, with Arabian letter Γ as a mark of value on the cheek; reverse with owl standing right, head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field.";Coin, silver. Obverse shows the helmeted head of Athena facing right, with the Arabian letter Γ on the cheek as a mark of value. Reverse bears the inscription AΘE and depicts an owl standing right with head facing, accompanied by a crescent moon in the upper left field and a Royal Qatabanian monogram in the lower right field, composed of South Arabian letters h and l. The type is attributed to Southern Arabia.;"Coin, metal, an old Yemeni coin with one face bearing a human face in relief, apparently wearing an earring. Dated to around the middle of the 4th century to the 3rd century BCE. Dimensions: 11 mm; weight: 1.98 g."
0-آثارنا المنهوبة_25_p052_3bf323d0;"Coin, silver. Helmeted head of Athena right with Arabian letter Γ on the cheek; reverse with owl standing right, head facing, AΘE, crescent moon in upper left field, and Royal Qatabanian monogram composed of South Arabian letters h and l in lower right field. Arabia.";Coin, silver. Obverse shows the helmeted head of Athena facing right, with an Arabian letter Γ used as a mark of value on the cheek. Reverse depicts an owl standing right with head facing, accompanied by the inscription AΘE, a crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field. The object is attributed to Arabia.;Coin, metal. Old Yemeni coin with one face bearing an expression of a human face with clear features, apparently wearing an earring. Dated to around the middle of the 4th century to the 3rd century BCE. Diameter 12 mm.
0-آثارنا المنهوبة_25_p053_809895ce;"Coin, silver. Helmeted head of Athena facing right with Arabian letter Γ on the cheek; reverse with owl standing right, head facing, AΘE, crescent moon in the upper left field, and Royal Qatabanian monogram in the lower right field.";Coin, silver. Obverse with helmeted head of Athena facing right, with Arabian letter Γ as a mark of value on the cheek. Reverse with owl standing right, head facing, AΘE, crescent moon in the upper left field, and Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field. The type is attributed to Arabia.;Coin, metal. Old Yemeni coin with one face bearing a human face in relief with clear features, apparently wearing an earring. Dated to around the middle of the 4th century to the 3rd century BCE. Diameter 12 mm.
0-آثارنا المنهوبة_25_p054_975a31dd;"Coin, silver. Helmeted head of Athena facing right with an Arabian letter Γ as a mark of value on the cheek; reverse with AΘE, owl standing right with head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram composed of South Arabian letters h and l in the lower right field.";Coin, silver. Obverse: helmeted head of Athena facing right, with an Arabian letter Γ used as a mark of value on the cheek. Reverse: AΘE, owl standing right with head facing, crescent moon in the upper left field, and a Royal Qatabanian monogram in the lower right field, composed of South Arabian letters h and l. The type is attributed to Arabia.;Coin, metal. Old Yemeni coin with one face bearing an expression of a human face, with a clear glimpse, apparently wearing an earring. Dated to around the middle of the 4th century and the 3rd century BCE. Diameter: 12 mm.
0-آثارنا المنهوبة_25_p055_7d7995f7;Bronze inscription panel with relief letters in the ancient Yemeni alphabet (Old South Arabian), probably in the language of the Kingdom of Qataban. The rectangular panel has eight lines of evenly spaced horizontal characters and a narrower top line with a few smaller characters. Dimensions: 4 in W x 5.65 in H (10.2 cm x 14.4 cm).;Bronze inscription panel with relief letters in the ancient Yemeni alphabet, also known as Old South Arabian, probably in the language of the Kingdom of Qataban. The panel is rectangular and bears eight lines of evenly spaced horizontal characters, with a narrower top line containing only a few characters in a smaller font size. The object is described as a rare bronze inscription panel and is associated with funerary representation in ancient Saudi Arabia, where anthropomorphic funerary stelae with relief heads, headdresses, and funerary inscriptions were sometimes carved in stone or cast in bronze. Dimensions are 4 in W x 5.65 in H (10.2 cm x 14.4 cm).;"Bronze plaque, with a prominent inscribed frame and a nine-line inscription in barge-line format, measuring 10.2 × 14.4 cm; the text is recorded as beginning with “1-A-L-A-T-A-T-A-D-Y/Y-A-N-E-N-E-E-R-E-R-E-R-N-E-R-N-E-R-N-E-N-E-N-E-N-A-N-A-T-E-N-E-T-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-N-E-N-N-N-N-N-N-N-N-N-N-N-E-N-N-N-E-N-N-E-N-N-E-N-E-E-N-E-E-E-N-N-E-E-”; dated broadly to the first millennium BCE to the early first millennium CE."
0-آثارنا المنهوبة_25_p056_dc2f7b3e;Statuette, alabaster, South Arabian art, depicting a standing bull on a rectangular base. Dimensions: 13 x 16.1 cm. Late 1st millennium B.C.;Statuette, alabaster, depicting a bull standing on a rectangular base. The object is attributed to South Arabian art and dated to the late 1st millennium B.C. It measures 13 x 16.1 cm. The source text notes provenance from Galerie Kevorkian, Paris, in 2011.;Animal statue, material not specified. An animal statue.
0-آثارنا المنهوبة_25_p057_4b2bc103;Group of six alabaster heads and fragments, South Arabian (?);Group of six alabaster heads and fragments, made of alabaster and attributed tentatively to South Arabian (?) origin. The group comprises six heads and fragmentary remains. Provenance noted in the source includes the private collection of Dr. Mohammed Said Farsi (1936-2019), with acquisition between 1960 and 1990 at Christie's, Sotheby's, and Mayfair Galleries, London.;Gravestones, marble and stone: a group of gravestones including examples with human heads carved in marble, one bearing an unclear inscription, probably the name of the deceased, together with two additional fragments, one in marble and one in stone.
0-آثارنا المنهوبة_25_p058_9c26a93f;Group of six carved alabaster heads, possibly South Arabian.;Group of six carved alabaster heads, possibly South Arabian. The objects are described as carved alabaster heads and are presented as a group of six. Provenance given in the source notes a private collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie's, Sotheby's, and Mayfair Galleries, London.;Human gravestones, marble stone, of different sizes, including a group of gravestones with human heads. Three examples are heavily fragmentary, preserving long, prominent noses, two broken eyes, and a small mouth, with most of their parts lost.
0-آثارنا المنهوبة_25_p059_4de81847;Two carved heads, alabaster, South Arabian (?);Two carved heads, alabaster, attributed to South Arabian (?) production. The objects are carved in alabaster and are described as heads. Provenance noted as a private collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie's, Sotheby's, and Mayfair Galleries, London.;Gravestone, stone. Human tombstone with a carved face in relief, showing a high nose, long pointed features, blind eyes pierced through the eye area, a light smile, a slightly shorter nose, and two eyebrows.
0-آثارنا المنهوبة_25_p060_d921748e;Bronze camel, South Arabian.;Bronze camel, South Arabian. The object is identified as a camel in bronze and is attributed to South Arabia. Provenance noted in the source as ex Shlomo Moussaieff collection, Herzliya Pituah.;"Animal statue, bronze, depicting a camel with a high head and two prominent ears, the neck encircled by a collar, a sleeve on the back, and the tail held close to the hind legs; an inscription on the right side appears to be in aristocratic script but is unclear."
0-آثارنا المنهوبة_25_p061_d7091d94;Goat head, cast bronze, South-Arabian, Hellenistic Period, 4th–2nd century BCE. The object has a green patina and is in good condition.;Goat head, cast bronze, South-Arabian, Hellenistic Period, 4th–2nd century BCE. The head is made of cast bronze and retains a green patina. It is described as being in good condition. Provenance noted in the source as ex Shlomo Moussaieff collection, Herzliya Pituah.;Animal head, bronze. Head fragment of an animal statue, preserving the right side of the head with a clear view of the face. The eyes are rendered as two prominent rounded forms, with a chin below the mouth. One horn and one ear are broken. Rings around the horn are preserved, characteristic of the horned animal represented.
0-آثارنا المنهوبة_25_p062_6e84de98;Head, limestone, South Arabian, circa 3rd-1st century B.C. Height with stand 11 5/8 inches (29.53 cm).;Head, limestone, South Arabian, circa 3rd-1st century B.C. The object is recorded with a height including stand of 11 5/8 inches (29.53 cm). Provenance information in the source text notes Ryedale Auctioneers, Yorkshire, The Victor Brox Collection, 2 May 2024, Lot 33.;Lot, art, with no further object description or material information provided.
0-آثارنا المنهوبة_25_p063_c1d108c1;Oil lamp, limestone, South Arabian, circa 1st century B.C. Formed as a bearded man seated with bent legs, with a round fill hole at the top of the head, a loop at the nape of the neck, and arms wrapped around a turtle projecting from the lap, the turtle's head forming the nozzle.;Oil lamp, limestone, South Arabian, circa 1st century B.C. The lamp is modelled in the form of a bearded man seated with his legs bent at the knees. A round fill hole is placed at the top of the head, and a loop is present at the nape of the neck. The figure's arms are wrapped around a turtle projecting outward from the lap, with the turtle's head forming the nozzle. Height: 4 7/8 in. (4 cm.). Provenance: Christie's New York, 4 June 2008, lot 92.;"Figurine, limestone, depicting a seated human figure with broken legs, holding an animal-shaped object in both hands above a hole in the base and inserting a fuse into it; described as a sacrificed piece, probably from the 3rd century BC."
0-آثارنا المنهوبة_25_p064_f6ce2f73;Figure, alabaster, South Arabian, of a priest, ca. 380 mm x 160 mm.;Figure, alabaster, South Arabian, of a priest, probably dating to an unspecified period. The object is described as a South Arabian alabaster figure of a priest. Recorded dimensions are 380 mm x 160 mm. A comparative reference is noted to Sotheby’s, Ancient Sculpture and Works of Art, Part I (7 December 2021), lot 4.;"Statue, marble stone, human figure of a man standing on a rectangular two-level base, with both hands broken; the base bears a two-line blade line inscription. Dimensions: 380 x 160 mm. The object is dated to about 300 BCE to 100 BCE."
0-آثارنا المنهوبة_25_p065_816507df;Stone carved heads, a group of five, South Arabian, three with Ancient South Arabian inscription.;Stone carved heads, group of five, South Arabian, carved in stone. Three of the heads bear Ancient South Arabian inscription. The source text gives no further technical, dimensional, or chronological details.;"Gravestones, marble stone, in the form of human heads carved from marble in different colors, with long prominent noses, some broad, two prominent eyes, and small prominent mouths; three examples have inscriptions written in the pavilion line."
0-آثارنا المنهوبة_25_p067_31aa95b1;Head, alabaster, South Arabian, circa 1st century B.C./A.D., 18 cm high.;Head, alabaster, South Arabian, circa 1st century B.C./A.D. The object is recorded as 18 cm high. Provenance: Galerie Orient-Occident, Paris.;Human statue head, white marble, with a long neck encircled by three dark circular lines. The head has clear facial features, including apricot-shaped eyes with drilled holes for the missing pupils, eyebrows marked by horizontal lines, puffed cheeks, a puffed mouth, and prominent ears on both sides.
0-آثارنا المنهوبة_25_p068_2be803ae;Two limestone heads, South Arabian (?);Two limestone heads, made of limestone and attributed tentatively to South Arabian (?) origin. Provenance is given as the Private Collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London. One head is recorded with a dimension of 8 in.;Object type and material cannot be determined from the provided text.
0-آثارنا المنهوبة_25_p069_9ad36b3a;Incense burner, black stone, circular form, South Arabian.;Incense burner, black stone, circular, South Arabian. The object is described as a black stone circular incense burner. Provenance information in the source mentions a private collection of Dr. Mohammed Said Farsi, with acquisition between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London. The recorded dimension is 5 in.;"Table, marble stone, round-shaped, with a flat surface and standing on three cylindrical legs; the outer side is vertically marked with lines and shows traces of squid."
0-آثارنا المنهوبة_25_p070_8aeba613;Bronze bowl, South-Arabian, Hellenistic Period, 4th–2nd century BCE, decorated in relief with three human figures, three palm trees, two floral motifs, and a serpent.;Bronze bowl, South-Arabian, of Hellenistic Period date, 4th–2nd century BCE. The bowl is decorated in relief with three human figures, three palm trees, two floral motifs, and a serpent. The source text identifies the object as a South-Arabian bronze bowl and provides no further information on dimensions, provenance, or condition.;Bowl, bronze. Bronze bowl decorated with painted and/or incised motifs of three human figures, three palm trees, two plant motifs, and a snake. Dated to around the 4th to 2nd century BCE.
0-آثارنا المنهوبة_25_p071_6a058638;Oil lamp, bronze, South Arabian, with an ibex handle and inscriptions on the sides. The handle is reattached.;Oil lamp, bronze, South Arabian, with an ibex handle and inscriptions on the sides. The object is described as being in good condition, with the handle reattached. A parallel example is noted in the British Museum. The source text also cites Simpson (ed.), 2002, Queen of Sheba: Treasures from Ancient Yemen, and mentions the Shlomo Moussaieff collection, Herzliyah Pituah.;"Saddle, bronze. Sacrificed object composed of an old oil-pouring tub fitted with a fuse holder; the end has a handle terminating at the front half of the oak, marked by the horns at the back, the chin below the mouth, and the feet extending forward."
0-آثارنا المنهوبة_25_p072_9919924b;Bead, material not specified, decorated with repeated symbols of dots and straight lines around the body.;Bead, material not specified, with decoration consisting of symbols made up of dots and straight lines repeated all the way around the body of the bead. No further technical details, dimensions, or chronology are provided in the source text.;"Seal, black stone, rare cylindrical form, perforated for suspension, with a carved surface bearing symbols resembling an accelerator; dimensions 0.8 cm wide x 0.25 cm high (2 cm x 0.6 cm); dated to about 3400–3100 BCE."
0-آثارنا المنهوبة_25_p073_ccc96b0e;Bronze camel, South Arabian Peninsula, 5 cm long. Standing camel with long tucked tail.;Bronze camel, South Arabian Peninsula, 5 cm long. The object is a standing camel with a long tucked tail. It is identified as Sabaean and made of bronze. No further technical or contextual details are provided in the source text.;Animal statue, bronze, depicting a camel with a high head and two upright ears, a collar around the neck, and a sleeve-like element over the back. Dated to around the 1st century BC to the 1st century AD.
0-آثارنا المنهوبة_25_p075_ed367d40;Stela, stone, from the South Arabian peninsula, ca. 2nd century BC–2nd century AD. It depicts a stylised frontal face with a long straight nose above a lightly incised mouth and semicircular eyes.;Stela, stone, from the South Arabian peninsula, ca. 2nd century BC–2nd century AD. The object represents the stylised face of a figure shown frontally. The facial features are rendered in a simplified manner, with a long straight nose, a mouth indicated by a simple incision, and eyes formed as semicircles. The source text identifies it as an iconic stela from the South Arabian peninsula.;"Head of a human statue, marble stone, depicting a male head with clear facial features, closed eyes, a long nose, and a small mouth set in a straight horizontal line; the head has a short neck."
0-آثارنا المنهوبة_25_p077_5321dc89;Miniature vase, alabaster, from the South Arabian Peninsula, 3rd century BC. Height 6 cm.;Miniature vase, alabaster, from the South Arabian Peninsula, dated to the 3rd century BC. The object is described as a South Arabian alabaster miniature vase. Height: 6 cm.;Stone vessel, marble, conical-shaped with a high crater and a base of larger diameter than the upper opening, without cover, with two knobs at the middle of the body, and showing white-coloured veining in the same stone.
0-آثارنا المنهوبة_25_p078_96776234;Coins, silver: a lot of six obols and fractions, 4th–3rd century BCE, comprising one Ptolemaic Yehud, one Philistine, two Athenian, and two South Arabian examples.;Coins, silver: a lot of six obols and fractions dating to the 4th–3rd century BCE. The group comprises one Ptolemaic Yehud coin, one Philistine coin, two Athenian coins, and two South Arabian coins. The source identifies the material as silver and the typological range as obols and fractions.;Coins, silver. Old Yemeni coins, one face with an image of an owl and some with Latin letters, the other face likely showing a human face. Dated to around the fourth and third centuries BCE.
0-آثارنا المنهوبة_25_p079_49144713;Two carved heads, South Arabian (?) material not specified. Provenance: Private Collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie's, Sotheby's, and Mayfair Galleries, London.;Two carved heads, South Arabian (?) material not specified. The object is described as two carved heads with a tentative South Arabian attribution. Provenance is given as the Private Collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie's, Sotheby's, and Mayfair Galleries in London.;Lot, art, material not specified.
0-آثارنا المنهوبة_25_p080_bee8a24e;Alabaster fragments, a group of five South Arabian (?) pieces comprising four heads and one torso.;Alabaster fragments, a group of five South Arabian (?) pieces comprising four heads and one torso. The group is described as fragments and includes sculptural elements in alabaster. Provenance noted in the source text: private collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London.;Sculptural fragments, marble stone: heads of human statues of different shapes and sizes, including one smashed and freckled, with a hint, together with a torso of a statue.
0-آثارنا المنهوبة_25_p081_07788e5d;Plaque, bronze, Sabean, with text in seven lines, four mounting holes, and a border line.;Plaque, bronze, Sabean, inscribed with text arranged in seven lines. The plaque has four holes for mounting and a border line.;"Inscription, bronze, 18 × 13 cm, framed; a bronze engraved inscription with a rusted surface, recorded as al-Silwi 3 and associated with the public confession engravings studied by Ibrahim Al-Silwi 3 (Salawi 3), based on an image shown by the late Khalil Al-Zubairi and published without a photograph in the Daci blog."
0-آثارنا المنهوبة_25_p082_810269e6;Head, material not specified, of Athena facing right, wearing a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring.;Head, material not specified, of Athena facing right. The goddess wears a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring. No further technical, dimensional, or chronological information is provided in the source text.;"Coin, gold. Muslim Yemeni dinar, attributed to the reign of Ali Bin Mohammed Al-Salehi and described as belonging to the “right state”; found in Zebed. The coin bears an inscription in semi-Kufic script."
0-آثارنا المنهوبة_25_p083_06963053;Coin, metal. Obverse with Shiʿa kalima in pseudo-Kufic style within three concentric circles.;Coin, metal. The obverse is decorated within three concentric circles and bears the Shiʿa kalima rendered in a pseudo-Kufic style. No further details are provided in the source text.;"Coin, gold, Muslim Yemeni denar, dated to the reign of al-Sal, daughter of Ahmed al-Salehi, with a semi-Kufic inscription; reportedly found in Jabalah."
0-آثارنا المنهوبة_25_p084_712079d1;Head, alabaster, hand-carved in high relief, perhaps from a funerary stele. The male face has almond-shaped eyes, thin brows, a slender nose, pursed lips, protruding rectangular ears, and a stocky neck. Size: 5.6 in. W x 9.375 in. H (14.2 cm x 23.8 cm).;Head, alabaster, hand-carved in high relief, perhaps from a funerary stele. The object presents a male visage with gazing almond-shaped eyes beneath thin brows, a slender nose above pursed lips, protruding rectangular ears, and a stocky neck. The surface is described as quixotic in expression, and the head is noted as stylistically similar to another example with comparable facial hair stippling. The text identifies this type of figural representation as belonging to a tradition of alabaster and other stone stele with high relief faces honoring the deceased. Size: 5.6 in. W x 9.375 in. H (14.2 cm x 23.8 cm).;Lot, art, dimensions 14.2 × 23.8.
0-آثارنا المنهوبة_25_p085_f13f7dbe;Four cast bronze bull hooves, each with a cuboid upper element and two naturalistic projections at the back, probably intended as supports for a table, altar, or naos. Each measures 5.75 in. W x 11 in. H (14.6 cm x 27.9 cm) and is dated to the 1st millennium BCE to the early 1st millennium CE.;"Four cast bronze bull hooves, each more-than-life-sized and similarly proportioned, with a realistic hoof form showing two claws, a cuboid element set slightly over the back of the hoof, and two naturalistic projections from the rear. Two of the examples have projecting slots on top of the cuboid, indicating attachment points. The form suggests that they may have served as supports for a table or altar rather than for a full bull statue; another possibility is that they belonged to a naos, a simple rectangular temple form. Each measures 5.75 in. W x 11 in. H (14.6 cm x 27.9 cm). The group is dated broadly to the 1st millennium BCE to the early 1st millennium CE, probably later in that range based on the lead weight mentioned in the source text.";Hooves, bronze. A group of identical oversized bull hooves in bronze, each larger than normal size and larger than a large cube. Two examples have prominent holes above the cube for installation, and three examples are hollow inside, with holes at the back of the cubes and on the foot base.
0-آثارنا المنهوبة_25_p086_d1991843;Group of five South Arabian alabaster figures, ranging in height from 10 in., from the Dr Mohammed Said Farsi Collection.;Group of five alabaster figures, South Arabian, from the Dr Mohammed Said Farsi Collection. The figures range in height from 10 in. Provenance given as the private collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London.;"Human statues, marble stone, lot of human statues carved in marble, similar in design, pose, and size, with one larger central statue distinguished by a pigeon held in the hand; the base bears a single-line inscription reading [A/T/R/R]. Dimensions: 10 × 5.5 × 3 × 7.25 × 3.25 × 1.5."
