0-آثارنا المنهوبة_25_p005_a9b6090a;LOT - ART;سيئة;;https://www.lot-art.com/auction-lots/Arabian-South-Arabian-circa-3rd-1st-BC-head-alabaster/61-30.10.23;The head of a human statue.;A human head from the marble stone with clear facial glimpses, the front of the head (front) is missing, the left eye is blind and reloaded with gypsum, the nose is prominent, and the lips are small and visible.;A marble stone.;About the third century or the first before the miles.;The height is 9.6 centimeters.;LOT - ART;Bad.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p006_1cdb6eb3;حجر مرمر;حوالي القرن الأول قبل الميالد; القرن الأول الميالدي;ارتفاعه 23 سم;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/A-south-Arabian-alabaster-head-of-a-man/162;The head of a human statue.;The head of a man's statue, from the marble stone with clear glimpses, the eyes are empty, the nose is high, the eyebrows are high, and the mouth, which is represented by a simple, thin horizontal line, the bottom lip is prominent, has a relatively long neck.;A marble stone.;About the first century before the miles, the first century before the miles.;23 cm high.;LOT - ART;Good.;;;;;;;;;;
0-آثارنا المنهوبة_25_p007_1c050a86;جيدة; وتعاني من بعض تكلسات صدأ البرونز;;https://www.lot-arabian-south-arabian-weight/178-bronze-inscribed-archaeological-1.10.24;And a closet.;A bronze tank, rectangular, stands on two legs with a handle on its top, on its side written in the shovel line, consisting of one line as follows:;Bronze.;About the first century before the miles.;The height is 8.8 inches.;LOT - ART;Good, some bronze rusty cleavage.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p008_44540d03;"الطول 175 مم / العرض 120 مم؛ الوزن 2.7 كجم";LOT - ART;جيدة;;https://www.lotart.com/auction/south_arabian-lots/SOUTH-arabian-STELE/90-FACE-STONE;A tombstone.;He saw a human grave from the marble stone, with a clear glimpse of a face, two eyes of blues, two eyebrows, two sharp lines, a straight line, and a bald mouth with two distinct horizontal lips, and a wide chin.;A marble stone.;;The length is 175 mm/latitude is 120 mm;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p009_2f2b0ce4;جيدة جدا;آنية مع الغطاء;https://www.lot-art.com/auction-lots/South-Arabian-Beehive-Jar-Alabaster-Qatabanian-with-Lid/196-artemiw-7.10.22;Annie.;A conical-shaped stone bowl of the marble stone, with a crater smaller than the diameter of its base, has a hood with a handle, and shows coloured lines (sticks) of the same stone.;A marble stone.;About the third century before the miles into the first of the miles.;7.9 x 8.6 cm (3.1 &quot;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p010_d9c89231;الوزن اإلجمالي 2.42 كجم; الطول 22.5 سم شامل الحامل (8/7 8 بوصة);LOT - ART;جيدة جداً;;https://www.lot-art.com/auction-lots/South-Arabian-Alabaster-Head-a-timeline-04.3.25/251;The head of a human statue.;The head of a human statue, of the marble stone, with a clear-eyed face of two eyebrows above the eyebrows, a relatively large nose, a prominent little mouth, and a neck.;A marble stone.;About the third century to Alol before the miles.;Cosmic weight 2.42 kg, height 22.5 centimeters carrying 8/8 &apos;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p012_62aa0a39;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/South-Arabian-timeline-05.9.24-south_arabian-Stele/1199-Face;A tombstone.;He saw a rectangular tomb, limestone, two eyes high, a long nose high.;Jerry's Stone.;Mid-to-late first millennium before or after the miles.;Weight 1.82 kg, 34.5 cm (13.8/5 inches);LOT - ART;Good.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p013_77e29dc4;LOT - ART;جيدة;ثالث قطع;https://www.lot-art.com/auction/south_arabian-CAMELS/465-BRONZE-THREE-OF-GROUP;Animal statues.;A bronze collection of camel statues is about the same size, their heads are high up, their ears are stunning, their tails are short, their limbs are stuck.;Bronze.;About the second to the first century before the miles.;60-63 mm x 65-67 mm;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p014_eef7c864;حوالي القرن الأول والثاني الميلادي.;"الطول 110 مم / العرض 45 مم؛ 155 جرام";LOT - ART;جيدة جداً;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-FIGURINE/465-south_arabian_pollo-23.7.23;A human statue.;The statue of a woman from the bronze, standing on a rectangular base, covers her lower half with an apron, her left hand stuck on her body, while her right hand is stretched forward and clinged to it with a pentagram flower. Her face is characterized by simple hints, her eyes are prominent, with wide nose and bloated lips. Her ears are decorated with heavy earrings, with a crown on her head.;Bronze.;Around the first and second century C.D.;length 110 mm/latitude 45 mm;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p015_3fe4479f;"الطول 350 مم / العرض 220 مم؛ الوزن 10.52 كجم";LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/South-Arabian-Bull-Votive-Altar/63919419;Grabin table (sacred);A crab table (a altar), rectangular shape of limestone, presented by Thor's head with a long neck, with a clear glimpse of the face, the front mediating a drain of fluids, popping out of the head of the horns and ears.;Jerry's Stone.;About the third century before the miles.;length 350 mm/latitude 220 mm;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p016_b639c212;حوالي القرن الثالث قبل الميالد;"الطول 150 مم / العرض 60 مم؛ الوزن 385 غرامًا";LOT - ART;جيدة;;https://www.lot-art.com/auction/south-arabian-apollo-09.10.22/IDOL/317;The head of a human statue.;The head of a man's statue, of limestone, black because of the squid, has a long, barren, thick nose attached to eyebrows, with two blind eyes below them, and a small mouth with a long neck.;Jerry's Stone.;About the third century before the miles.;length 150 mm/latitude 60 mm;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p017_157d5bda;LOT - ART;ممتازة;;https://www.lot-art.com/auction-lots/South-Arabian-Gold-and-Enamel-south_arabian_gold_Pendant/250-06.9.22;A necklace.;A necklace of gold, crisped with colored gems, shaped as an animal, overrun by little spherical granules, pierced by a comment hole.;Gold, gems.;The early part of the first millennium.;Weight 0.72 g12 mm3/8 &quot;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p018_6f4b152c;"الطول 95 مم / العرض 60 مم؛ الوزن 220 غرامًا";LOT - ART;سيئة;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-IDOL/318;The head of a human statue.;The head of a man's statue, of limestone, has a prominent long nose connected to eyebrows, with two prominent eyes below them, a very small mouth, and a neck.;Jerry's Stone.;About the third century before the miles.;95 mm/latitude 60 mm;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p019_e4deff7b; وقطر كلٍّ منها 28 مم (بوصة واحدة);LOT - ART;ممتازة;قرطان فرديان.;https://www.lot-art.com/auction-lots/South-Arabian-Gold-Earring-Pair/2009/28.2.20-south_arabian_gold_earring_timeline;Gold earrings.;A pair of identical golden earrings, with circular rings, connected by three-shaped objects, each with five small rings, with bell-like parts hanging.;Gold.;About between the second century before the miles... the first century of the miles.;Total weight 8.45 g, 28 mm each (one inch);LOT - ART;Excellent.;Two individual earrings.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p020_e27076bd; والقطر 46 مم (1 3/4 بوصة).;LOT - ART;ممتازة;قرطان فرديان.;https://artandantiquities.co.uk/a1gallery3.asp?roomID=12552&pictureID=114648&next=previous;Gold earrings.;A pair of identical golden earrings, with rings on both sides of them with little pieces attached to the rings with a little fragrance belt, with four little rings ending, with parts hanging like bells.;Gold.;About between the second century before the Miles, the first century before the Miles.;Total weight 13 g, diameter 46 mm (1 3/4 inches).;LOT - ART;Excellent.;Two individual earrings.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p021_85789d45;حجر جيري;;38 × 12 × 10 س م;LOT - ART;جيدة جداً;;https://www.lot-art.com/auction/south-arabian-lots/figure-male-enthroned-Limestone-catawiki-06.3.22/5634;A human statue.;A statue of a man, from the limestone, sitting position, with his hands stretched forward, with a clear glimpse of his face, with a visible and broad nose connected to the eyebrows, with two prominent eyes below them, and a small strand of mouth.;Jerry's Stone.;;38 times 12 times 10.;LOT - ART;Very good.;;;;;;;;;;;
0-آثارنا المنهوبة_25_p022_9f1d3fdf;LOT - ART;جيدة;أربع قطع;https://www.lot-art.com/auction-lots/South-arabian-alabaster-heads/four-group-of-south-arabian-alabaster-heads-03.6.24;The heads of human statues.;A bunch of puppeteers from the marble stone, with long and noses, two eyes, two eyebrows, and small mouths, one of which suffers from a fracture on the right side of the front, in addition to the smashing of Alnov.;A marble stone.;;;LOT - ART;Good.;Four pieces.;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p023_4a745754;LOT - ART;جيدة جدا;له تمثال آخر مشابه; أنظر آثارنا المنهوبة 15.;https://www.lot-art.com/auction/small_south_arabian-archaeological-Bronze-Sphinx/621;An animal statue.;A statue of a clearly winged supernatural animal with a lion-shaped and human head, standing on four legs, with a rectangular base, on the head with a circular cover with the appearance of energy-like flags, and two wings above.;Bronze.;Around the 4th to 2nd century before the Miles.;It's 9.6 centimeters high.;LOT - ART;Very good.;It has another similar statue. Look, our looted traces are 15.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p024_5ce2389f;برونز;حوالي القرنين السابع والسادس قبل الميالد;الوزن اإلجمالي 9.17 كجم; الطول 28 سم (11 بوصة) بما في ذلك الحامل.;LOT - ART;جيدة جدا;"يُقال إنها من معبد ""عثتر ذو غرب"" في نشأن (السوداء) في الجوف باليمن.";https://www.lot-art.com/auction-lots/South-Arabian-Bronze-Incense-Burner/252-moussaieff_south-timeline-4.3.25;Vaporized.;A round-shaped bronze vapor, the front of its edge is high and coated with ringed nails, surrounded by large bird-shaped carriers, each with a long curved wing on the outer side of the vapor, with legs placed in front of the other in motion, with the front of the vapor decorated with a prominent engraving in the bolt line as follows: [p] tw/y, separating the letters from an animal standing on his rear legs with a long tail, perhaps a lion.;Bronze.;Around the 7th and 6th centuries before the Miles.;Total weight 9.17 kg, length 28 cm (11 inches), including pregnant women.;LOT - ART;Very good.;It's said to be from the Temple of Ather of the West at the birth of the Black in the Hollow of Yemen.;;;;;;;;;
0-آثارنا المنهوبة_25_p025_2302ee91;حجر مرمر;حوالي القرن الأول قبل الميالد;الأبعاد التقريبية: ارتفاع 3 5/8 بوصة × عرض 2 1/2 بوصة × عمق 2 بوصة;LOT - ART;جيدة;;https://www.lot-ancient-south-art.com/auction/15.1.24/ancient/Head/319/Alabaster/Arabian;The head of a human statue.;The head of a man's statue, of the marble stone, whose face is clear, has a slightly smashed nose, and two eyebrows with dark lines, with two blind eyes, a very small mouth, and a small neck.;A marble stone.;About the first century before the miles.;Approximate dimensions: the height of 3 5/8 inches times the width of 2 1/2 inches times the depth of 2 inches.;LOT - ART;Good.;;;;;;;;;;;
0-آثارنا المنهوبة_25_p026_1fcd326b;;https://www.lot-art.com/auction/lot-of-BC-2ND-PLAQUE-BRONZE-ARABIAN-SOUTH;A pavilion.;A graffiti of the bronze has to be written in a seven-line, impeccable rust of the bronze he's wearing, surrounded by a prominent frame.;Bronze.;About the second century before the miles.;17.5 x 12.5 cm;LOT - ART;Good.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p027_b022fb35;حوالي القرن الثاني قبل الميالد- القرن الثاني الميالدي;ارتفاعه 14.2 سم;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/CARVED-STONE-IDOLFIGURE-OF-PRE-ISLAMIC-SOUTH-ARABIAN-TYPE-possibly-Yemen/31-carved_stone-22.2.23-mctear;A human statue.;A human statue of stone, broken limbs, with a robe as long as his body, with a clear face with a long nose and a beard, with two wandering eyebrows, with two eyes with jealous pupils, as it appears they were a restaurant but missing, and on both sides of the head there are bumps of ears.;Stone.;About the second century before the miles... the second century before the miles...;It's 14.2 centimeters high.;LOT - ART;Good.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p028_a003fe3c;جيدة جدا;أربع قطع;https://www.lot-art.com/auction-lots/Lot-4-Ancient-South-Arabian-Bronze-Camels-c2nd-1st-century-BC/69;Animal statues.;A bronze collection of camel statues, small size, different shapes between skinny and fat, but fat looks like a saddle on her back.;Bronze.;Around the second century to the first before the miles.;Its width is between 2 1/4 and 3 1/8 inches. It is 2-7/8 inches high.;LOT - ART;Very good.;Four pieces.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p029_7a71fcd3;ارتفاع 3 3/8 بوصة;LOT - ART;جيدة;;https://www.lot-art.com/auction/Ancient-Rare-lots/South-Arabian-Sabaean-Bronze-Idol-c4th-1st-BC/18.2.24;A human statue.;A statue of a man of bronze and gold, standing up his hands forward, wrapping around his body a long robe, covering his head with a hat, wearing a gold necklace popping out of his chest.;Brunes, he's gone.;Around the 4th century to the 1st before the Miles.;Height 3-3/8 &quot;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p030_6a5dc758;;https://www.lot-art.com/auction-arabian-south-ancient-rare-lots/Ancient-18.2.24-1st-c4th-BC/9-century-Idol-Bronze-Sabaean-almyra-p;A human statue.;A human statue standing, with an indistinct hint of a face, or it was filmed from behind.;Bronze.;Around the 4th century, the first before the Miles.;It's 2-5/8 inches high.;LOT - ART;Bad.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p031_d07c367c; وفضة;حوالي القرن الثالث إلى الأول قبل الميالد;طولها 44.3 و 38.1 سم;LOT - ART;جيدة;قطعتان;https://www.lot-art.com/auction/03.10.23-south_arabian-ARABIAN-AMEULETS/467;A sandal engraving.;Two coins, smaller than the bronze, with one part missing from one of its pillars, have to be written in a two-line line, and the big silver, with a five-line line, and it has to be written in a five-line line, which has been repaired, and the larger inscription contains a vowing vocabulary (S.S.N.T.).;Browns, silver.;Around the third century to the first before the miles.;44.3 and 38.1 centimeters long.;LOT - ART;Good.;Two pieces.;;;;;;;;;;
0-آثارنا المنهوبة_25_p032_c737ed55; تمتد بطوله من األعلى قناة التصريف.;حجر جيري;حوالي القرن الثالث قبل الميالد/القرن األول الميالدي;ابعاده 20.2 سم × 24 سم × 42 سم;LOT - ART;ممتازة;;https://www.lot-art.com/auction-lots/A-South-Arabian-Large-Table-Libation-Spout-Limestone-3rd-Century-BC1st-Century-AD/21-D/07.12.21-sotheby/;Missab Snapor with the head of a bull.;Mizab (Sonpour) in the head of a bull, to drain rainwater from the rooftops of buildings, such as temples and palaces, in the form of a thick neck, whose end ends with a clear, salty head of bull, with two large horns, two ears behind them, two eyebrows, and deep curved lines in the middle of a nose, stretching all the way from the top of the discharge channel.;Jerry's Stone.;Around the third century before the Miled/Centuries, the Miledials.;20.2 centimeters x 24 cm x 42 cm;LOT - ART;Excellent.;;;;;;;;;;
0-آثارنا المنهوبة_25_p033_facfb986;جيدة;;https://www.lot-art.com/auction-lots/Sabaean-South-Arabian-lots/28.3.20-sabaean_south_animal/35639233-Inscribed-Bronze;An animal statue.;A statue of a bronze dog standing on a rectangular base, with a handwriting on it, a dog raising his head up, and his back bowing down.;Bronze.;About the first century B.C.;7.5 x 7.5 cm;LOT - ART;Good.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p034_200fc292;حجر مرمر;حوالي القرن الثاني أو الأول قبل الميالد;;LOT - ART;جيدة;هذا االسم(برنطم) ورد في نقوش المسند.;https://www.lot-art.com/auction/south-arabian-fragmentary-carved-figural-elief-r-BC-century-1st-2nd-circa-plaque-dreweatts-24.1.18/344/;A mural.;A mural of marble stone, rectangular shape, carved prominently with a woman's bust, hands tangled under the chest, and thumbs raised, with a single line of blade written below: [...R]m/mr/mr. The right side of a plate with a missing fracture, took with it the left eye and parts of the left hand of the sculpture, as well as the initials of the engraving.;A marble stone.;About the second or first century before the miles.;;LOT - ART;Good.;That's the name Barentham. It's in the engravings.;;;;;;;;;;
0-آثارنا المنهوبة_25_p035_2f5db211;الطول 46 سم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/A-bruun-BERBER-SOUTH-NECKLACE-46cm-279/11.11.19;Contract;A stone contract, coral and silver, consisting of fifty-two stone pieces of orange cream of different sizes, separated by twenty-five silver pieces of different shapes and sizes, was assembled on the fabric of a red thread.;Stones, corals, silver, fabric.;;The length is 46 cm.;LOT - ART;Very good.;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p036_bea25d9f;عدد اثنتين قطع مختلفة;https://www.lot-art.com/auction-lots/Two-South-Arabian-Antiquities-Qataban-3rd-Century-BC1st-Century-AD/109-two_south-08.12.21-sotheby;Led sculptures and feet.;Two pieces made up of the front of a bronze right foot, and a fistful hand of marble stone.;Marblestone, bronze.;The third century before the Miles, the Miles.;6.5 and 6 cm;LOT - ART;Good.;Two different pieces.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p037_76bcbec5; وأذنان على الجانبان; كما تظهر فروة الشعر على الرأس.;حجر مرمر;حوالي القرن الثالث قبل الميالد إلى القرن الثالث الميالدي;12.7 سم × 18.5 سم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Alabaster-Male-Head/48-fine_south-14.7.22-artemi;A tombstone.;He saw a human tomb, from the marble stone, with a clear glimpse of a face, a prominent nose and long, two wandering eyebrows and two eyebrows, mediated by the pupils who apparently were a restaurant, two prominent lips, two ears on both sides, as the scalp appears on the head.;A marble stone.;About the third century before the miles to the third century.;12.7 cm x 18.5 cm;LOT - ART;Very good.;;;;;;;;;
0-آثارنا المنهوبة_25_p038_a303509a;الوزن 2.6 كجم; 26.5 سم;LOT - ART;ممتازة;;https://www.lot-art.com/auction-lots/Western-Asiatic-South-Arabian-Painted-Jar/1688-western_asiatic-04.6.20-timeline;A jar.;A cork jar (burned clay), with a slightly wide nozzle upside down to the outside, a puffed body, snaps on both sides, and tapes of geometric crawling triangles and by-lines, painted in black and red.;Cream (burned mud);About the second century before the miles... the second century before the miles...;Weight 2.6 kg, 26.5 cm;LOT - ART;Excellent.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p039_21a0fd74; ويظهر في منتصف الجبهة حفر;حجر جيري;حوالي القرن الأول- الثاني الميلادي;16 ملم 1.66 جرام;LOT - ART;سيئة;;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Qatabanian-Stone-Head/58-fine_south-10.9.20-artemi;A tombstone.;He saw a human tomb with a limestone, with a clear glimpse of a face, a big, long nose, two curved eyebrows, two pricked eyes, mediated by the pupils' holes, and two small, prominent lips, showing up in the middle of the front digging.;Jerry's Stone.;Around the 1st - 2nd century A.D.;16 mm 1.66 grams;LOT - ART;Bad.;;;;;;;;;;
0-آثارنا المنهوبة_25_p040_1772345a;"45 – 45 × مم30 - 33 :مم؛ الوزن30 جرام";liveauctioneers;سيئة; إذ تعاني من صدأ البرونز;قطعتان;https://www.liveauctioneers.com/search/?keyword=South%20Arabian&sort=-relevance&status=online;Animal statues.;My statue of a bronze camel animal, like them, is standing in one year's sleep per camel, and a relatively short tail, one raising its head up, the other extending it forward.;Bronze.;About the second century before the miles.;45x45xmm30 - 33:m;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p041_16bc353c;أواخر األلفية الأولى قبل الميالد;23.5 سم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/TETE-MASCULINE-EN-ALBATRE-ART-SUD-ARABIQUE-FIN-DU-1ER-MILLENAIRE-AVJC/7-tete_masculine-24.5.16-artcurial;The head of a human statue.;The head of a man's statue, from the stone of the marble with a long neck, and the glimpse of a clear face, the eyes are strewn with two blues, mediated by the pupils' holes, the nose is pierced and connected to the janitored and curved eyebrows, and the mouth is piercing, as the ears stand on both sides.;A marble stone.;Late for the first millennium before the Miles.;23.5 cm;LOT - ART;Very good.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p042_a0c5b0df; والصدر بارز.;حجر جيري;حوالي القرن الثالث قبل الميالد- القرن الأول الميلادي;"350 مم × 145 مم؛ الوزن 8.5 كجم";liveauctioneers;جيدة;;https://www.liveauctioneers.com/search/?keyword=South%2Arabian&sort=-relevance&status=online;A human statue.;The bust of a woman, from the limestone, stretches her hands forward, with clear facial glimpses, a prominent nose connected to the eyebrows, two prominent eyes mediated by the holes of the missing pupils, two prominent mouth lips, a hair drop from behind the ears, and a thorax.;Jerry's Stone.;Around the third century before the miles - the first century C.D.;350 mm x 145 mm;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p043_e92bb9bc;;https://www.lot-art.com/auction-lots/Ancient-South-Arabian-Bronze-Statuette-Camel/83-ancient_south-27.9.18-artemi;An animal statue.;A statue of a bronze camel with a hard head, with a mild mid-back tooth, and a strapped little tail behind his back legs.;Metal.;About the early millennium before the miles.;10.2 cm x 9 cm (4 inches wide x 3.55 inches high). 3.9 inches (9.9 in centimeters);LOT - ART;Bad.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p044_1394a6c0; أسفلهما عينان غائرتان كما يبدو أنهما كانتا مطعمتان; لها شفتان بارزتان.;حجر مرمر;حوالي القرن الأول قبل الميالد- القرن الأول الميلادي;الوزن الإجمالي 15.55 كجم; الارتفاع 47.5 سم شاملاً الحامل;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/Large-South-Arabian-Alabaster-Standing-Figure-of-a-Goddess/249-large_south-04.3.25-timeline;A human statue.;The statue of the woman from the stone of the marble, the upper hand, the upper hand, the right hand is damaged, the right feet are missing and the left side is broken, with clear headmarks, the nose is broken, the eyebrows are broken, the bottom of which are blind eyes, and they appear to have two prominent lips.;A marble stone.;Around the first century before the miles - the first century C.D.;Total weight 15.55 kg, height 47.5 cm, including carrier;LOT - ART;Good.;;;;;;;;
