artifact_id;pdf_name;page_num;link;text_for_matching;text_for_matching_web;price;currency;wb_txt_shrt;wb_txt_lg;pdf_upgrd_description;type;detail;material;iconography;period_general;period_precise
0-25_p002_ff2d3dda;0-25.pdf;2;https://www.lot-art.com/auction-lots/Arabian-South-An/248-200-CE-100-CE-B-hood-08.10.24-south_Arabian-Inscription-with-Fragment-Figural-Stele-Alabaster;;;;;;;;jewelry;ring;marble;human;unknown;unknown
0-25_p003_85c68c3b;0-25.pdf;3;https://www.lot-art.com/auction/91322465/Price-Reserve-No-Figurine-Rider-with-Camel-catawiki-09.12.24-south_arabian;;;;;;;;jewelry;ring;bronze;camel;unknown;unknown
0-25_p004_6c0d0179;0-25.pdf;4;https://www.lot-art.com/auction-lots/South-Arabian-Sabaean-Votive-Head-Terracotta-3rd-c-1st-BC/83-artemission25.2.25;;;;;;;;sculpture;statue;unknown;human;Late Antiquity;unknown
0-25_p005_a9b6090a;0-25.pdf;5;https://www.lot-art.com/auction-lots/Arabian-South-Arabian-circa-3rd-1st-BC-head-alabaster/61-30.10.23;;;;;;;;sculpture;statue;marble;human;Late Antiquity;unknown
0-25_p006_1cdb6eb3;0-25.pdf;6;https://www.lot-art.com/auction-lots/A-south-Arabian-alabaster-head-of-a-man/162;;;;;;;;object;unknown;unknown;none;unknown;unknown
0-25_p007_1c050a86;0-25.pdf;7;https://www.lot-arabian-south-arabian-weight/178-bronze-inscribed-archaeological-1.10.24;;;;;;;;object;unknown;bronze;none;Late Antiquity;unknown
0-25_p008_44540d03;0-25.pdf;8;https://www.lotart.com/auction/south_arabian-lots/SOUTH-arabian-STELE/90-FACE-STONE;;;;;;;;stone monument;tombstone;marble;human;Late Antiquity;unknown
0-25_p009_2f2b0ce4;0-25.pdf;9;https://www.lot-art.com/auction-lots/South-Arabian-Beehive-Jar-Alabaster-Qatabanian-with-Lid/196-artemiw-7.10.22;;;;;;;;vessel;bowl;marble;owl;Late Antiquity;unknown
0-25_p010_d9c89231;0-25.pdf;10;https://www.lot-art.com/auction-lots/South-Arabian-Alabaster-Head-a-timeline-04.3.25/251;;;;;;;;sculpture;statue;marble;human;Late Antiquity;unknown
0-25_p011_c592ae55;0-25.pdf;11;https://www.lot-art.com/auction-lots/South-Arabian-Anthropomorphic-Stele-Limestone-22-cm/81575933;;;;;;;;object;unknown;unknown;none;unknown;unknown
0-25_p012_62aa0a39;0-25.pdf;12;https://www.lot-art.com/auction-lots/South-Arabian-timeline-05.9.24-south_arabian-Stele/1199-Face;;;;;;;;stone monument;tombstone;limestone;none;unknown;unknown
0-25_p013_77e29dc4;0-25.pdf;13;https://www.lot-art.com/auction/south_arabian-CAMELS/465-BRONZE-THREE-OF-GROUP;;;;;;;;sculpture;statue;bronze;camel;Late Antiquity;unknown
0-25_p014_eef7c864;0-25.pdf;14;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-FIGURINE/465-south_arabian_pollo-23.7.23;;;;;;;;jewelry;ring;bronze;human;Late Antiquity;unknown
0-25_p015_3fe4479f;0-25.pdf;15;https://www.lot-art.com/auction-lots/South-Arabian-Bull-Votive-Altar/63919419;;;;;;;;sculpture;head;limestone;none;Late Antiquity;unknown
0-25_p016_b639c212;0-25.pdf;16;https://www.lot-art.com/auction/south-arabian-apollo-09.10.22/IDOL/317;;;;;;;;sculpture;statue;limestone;human;unknown;unknown
0-25_p017_157d5bda;0-25.pdf;17;https://www.lot-art.com/auction-lots/South-Arabian-Gold-and-Enamel-south_arabian_gold_Pendant/250-06.9.22;;;;;;;;jewelry;necklace;gold;none;Late Antiquity;unknown
0-25_p018_6f4b152c;0-25.pdf;18;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-IDOL/318;;;;;;;;sculpture;statue;limestone;human;unknown;unknown
0-25_p019_e4deff7b;0-25.pdf;19;https://www.lot-art.com/auction-lots/South-Arabian-Gold-Earring-Pair/2009/28.2.20-south_arabian_gold_earring_timeline;;;;;;;;jewelry;ring;gold;none;unknown;unknown
0-25_p020_e27076bd;0-25.pdf;20;https://artandantiquities.co.uk/a1gallery3.asp?roomID=12552&pictureID=114648&next=previous;0 . – 13 46 (1 3/4 ). LOT - ART . 46 (1 3/4 ). LOT - ART . Gold earrings. A pair of identical golden earrings, with rings on both sides of them with little pieces attached to the rings with a little fragrance belt, with four little rings ending, with parts hanging like bells. Gold.;Ancient Egyptian Shabti- Ancient Egyptian Amulets - Ancient Egyptian Pottery - Ancient Egyptian Scarabs - Ancient Egyptian Terracotta Within our Near Eastern Antiquities and Classical Antiquities sections the aim is to showcase mainly Ancient Pottery and Ancient Statuary . Ancient Egyptian Shabti- Ancient Egyptian Amulets - Ancient Egyptian Pottery - Ancient Egyptian Scarabs - Ancient Egyptian Terracotta Authentic antiquities that have carefully been vetted by us with over 30 years experience. Scroll through our galleries section and you find some Egyptian Shabtis, ancient Egyptian amulets and terracotta statues as well as Classical arts and Near Eastern antiquities. No parts of this website including text, photos may be reproduced or copied without prior consent and permission from artandantiquities.co.uk Art and Antiquities Welcome Welcome to Art and Antiquities, the home of genuine and provenanced Art and Antiquities. No parts of this website including text, photos may be reproduced or copied without prior consent and permission from artandantiquities.co.uk Art and Antiquities Previous Next Our latest additions We aim to showcase a variety of Artworks both for new collectors and rarer pieces as well! Within our galleries you will find primarily Ancient Egyptian Antiquities as this is our main passion and the private collectors that we partner with. You will find a selection of Antiquities from ancient Egypt, the Greek world and Near Eastern civilizations. Welcome Welcome to Art and Antiquities, the home of genuine and provenanced Art and Antiquities.;;;Ancient Egyptian antiquities, including shabti, amulets, pottery, scarabs, and terracotta objects.;Ancient Egyptian antiquities, including shabti, amulets, pottery, scarabs, and terracotta objects. The source text describes a selection of antiquities from ancient Egypt, the Greek world, and Near Eastern civilizations, with an emphasis on Ancient Egyptian material. It refers generally to shabtis, amulets, pottery, scarabs, and terracotta statues, but provides no individual object details, dimensions, date, or technique beyond the typological categories named.;Earrings, gold. Pair of identical gold earrings with rings on both sides, small pieces attached to the rings by a small fragrance belt, and four small rings at the ends, with hanging elements shaped like bells.;jewelry;ring;gold;none;Late Antiquity;unknown
0-25_p021_85789d45;0-25.pdf;21;https://www.lot-art.com/auction/south-arabian-lots/figure-male-enthroned-Limestone-catawiki-06.3.22/5634;;;;;;;;sculpture;statue;unknown;human;unknown;unknown
0-25_p022_9f1d3fdf;0-25.pdf;22;https://www.lot-art.com/auction-lots/South-arabian-alabaster-heads/four-group-of-south-arabian-alabaster-heads-03.6.24;;;;;;;;sculpture;statue;marble;human;unknown;unknown
0-25_p023_4a745754;0-25.pdf;23;https://www.lot-art.com/auction/small_south_arabian-archaeological-Bronze-Sphinx/621;;;;;;;;sculpture;statue;bronze;human lion;Late Antiquity;unknown
0-25_p024_5ce2389f;0-25.pdf;24;https://www.lot-art.com/auction-lots/South-Arabian-Bronze-Incense-Burner/252-moussaieff_south-timeline-4.3.25;;;;;;;;object;unknown;unknown;none;unknown;unknown
0-25_p025_2302ee91;0-25.pdf;25;https://www.lot-ancient-south-art.com/auction/15.1.24/ancient/Head/319/Alabaster/Arabian;;;;;;;;sculpture;statue;unknown;human;unknown;unknown
0-25_p026_1fcd326b;0-25.pdf;26;https://www.lot-art.com/auction/lot-of-BC-2ND-PLAQUE-BRONZE-ARABIAN-SOUTH;;;;;;;;jewelry;ring;bronze;lion;Late Antiquity;unknown
0-25_p027_b022fb35;0-25.pdf;27;https://www.lot-art.com/auction-lots/CARVED-STONE-IDOLFIGURE-OF-PRE-ISLAMIC-SOUTH-ARABIAN-TYPE-possibly-Yemen/31-carved_stone-22.2.23-mctear;7  14.2 LOT - ART - 14.2 LOT - ART A human statue. A human statue of stone, broken limbs, with a robe as long as his body, with a clear face with a long nose and a beard, with two wandering eyebrows, with two eyes with jealous pupils, as it appears they were a restaurant b;CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE... LOT 31 CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE, possibly Yemen... [ translate ] CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE, possibly Yemen circa 2nd century B.C - 2nd century A.D., bearing incised almond-shaped eyes, pupils and eyebrows, with extended forearms, in tunic style dress, 14.2cm high Past » View it on Login Sale price Unlock Estimate Unlock Time, Location 22 Feb 2023 UK Auction House Unlock [ translate ] CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE, possibly Yemen circa 2nd century B.C - 2nd century A.D., bearing incised almond-shaped eyes, pupils and eyebrows, with extended forearms, in tunic style dress, 14.2cm high Sale price Unlock Estimate Unlock Time, Location 22 Feb 2023 UK Auction House Unlock Past » View it on Login;;;Carved stone idol/figure of pre-Islamic South Arabian type, possibly from Yemen, circa 2nd century B.C. to 2nd century A.D., with incised almond-shaped eyes, pupils and eyebrows, extended forearms, and tunic-style dress. Height 14.2 cm.;Carved stone idol/figure of pre-Islamic South Arabian type, possibly from Yemen, dated circa 2nd century B.C. to 2nd century A.D. The figure has incised almond-shaped eyes, pupils and eyebrows, extended forearms, and is depicted in a tunic-style dress. The object measures 14.2 cm in height.;Human statue, stone, fragmentary, with broken limbs. The figure is shown wearing a robe extending the full length of the body. The face is clearly defined, with a long nose, beard, two wandering eyebrows, and two eyes with jealous pupils. The description is incomplete in the source text.;jewelry;ring;stone;human;Late Antiquity;unknown
0-25_p028_a003fe3c;0-25.pdf;28;https://www.lot-art.com/auction-lots/Lot-4-Ancient-South-Arabian-Bronze-Camels-c2nd-1st-century-BC/69;;;;;;;;sculpture;statue;bronze;camel;Late Antiquity;unknown
0-25_p029_7a71fcd3;0-25.pdf;29;https://www.lot-art.com/auction/Ancient-Rare-lots/South-Arabian-Sabaean-Bronze-Idol-c4th-1st-BC/18.2.24;;;;;;;;jewelry;ring;bronze;human;Late Antiquity;unknown
0-25_p030_6a5dc758;0-25.pdf;30;https://www.lot-art.com/auction-arabian-south-ancient-rare-lots/Ancient-18.2.24-1st-c4th-BC/9-century-Idol-Bronze-Sabaean-almyra-p;;;;;;;;sculpture;statue;bronze;human;Late Antiquity;4th century
0-25_p031_d07c367c;0-25.pdf;31;https://www.lot-art.com/auction/03.10.23-south_arabian-ARABIAN-AMEULETS/467;;;;;;;;object;unknown;unknown;none;unknown;unknown
0-25_p032_c737ed55;0-25.pdf;32;https://www.lot-art.com/auction-lots/A-South-Arabian-Large-Table-Libation-Spout-Limestone-3rd-Century-BC1st-Century-AD/21-D/07.12.21-sotheby/;;;;;;;;object;unknown;unknown;none;unknown;unknown
0-25_p033_facfb986;0-25.pdf;33;https://www.lot-art.com/auction-lots/Sabaean-South-Arabian-lots/28.3.20-sabaean_south_animal/35639233-Inscribed-Bronze;;;;;;;;sculpture;statue;bronze;none;Late Antiquity;unknown
0-25_p034_200fc292;0-25.pdf;34;https://www.lot-art.com/auction/south-arabian-fragmentary-carved-figural-elief-r-BC-century-1st-2nd-circa-plaque-dreweatts-24.1.18/344/;;;;;;;;object;unknown;unknown;none;unknown;unknown
0-25_p035_2f5db211;0-25.pdf;35;https://www.lot-art.com/auction-lots/A-bruun-BERBER-SOUTH-NECKLACE-46cm-279/11.11.19;;;;;;;;object;unknown;silver;none;Late Antiquity;unknown
0-25_p036_bea25d9f;0-25.pdf;36;https://www.lot-art.com/auction-lots/Two-South-Arabian-Antiquities-Qataban-3rd-Century-BC1st-Century-AD/109-two_south-08.12.21-sotheby;6 . 6.5 6 LOT - ART Led sculptures and feet. Two pieces made up of the front of a bronze right foot, and a fistful hand of marble stone. Marblestone, bronze. The third century before the Miles, the Miles. 6.5 and 6 cm LOT - ART;LOT 109 Two South Arabian Antiquities, Qataban, 3rd Century B.C./1st Century A.D. [ translate ] Property from the Collection of the Late Antonin and Christiane Besse Two South Arabian Antiquities, Qataban 3rd Century B.C./1st Century A.D. Please note that Condition 11 of the Conditions of Business for Buyers (Online Only) is not applicable to this lot. comprising the front of a bronze right foot and an alabaster clenched hand. Bronze foot only partially preserved and with thick layer of corrosion. (2) Condition Report: Alabaster left hand is missing most of thumb and is chipped along edges. Both individually mounted on wood bases.;;;Two South Arabian antiquities, Qataban, dated to the 3rd century B.C./1st century A.D., comprising the front of a bronze right foot and an alabaster clenched hand, both mounted on wood bases.;Two South Arabian antiquities from Qataban, dated to the 3rd century B.C./1st century A.D., comprising the front part of a bronze right foot and an alabaster clenched hand. The bronze foot is only partially preserved and has a thick layer of corrosion. The alabaster hand is missing most of the thumb and is chipped along the edges. Both objects are individually mounted on wood bases.;Sculptural fragments, bronze and marble stone: two pieces comprising the front of a bronze right foot and a marble stone hand. Third century BC. Dimensions: 6.5 cm and 6 cm.;object;unknown;marble;none;Late Antiquity;unknown
0-25_p037_76bcbec5;0-25.pdf;37;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Alabaster-Male-Head/48-fine_south-14.7.22-artemi;7 . 12.7 × 18.5 LOT - ART . 12.7 × 18.5 LOT - ART;"The British Museum, museum number 141577 Another example of an alabaster head hammered for $7,500 at Christie's, New York ""Antiquities"" auction (sale 2709, June 6, 2013, lot 694) Provenance: East Coast collection, New York Gallery, New York City, New York, USA, acquired before 2010 All items legal to buy/sell under U.S. The people of these kingdoms created figural representations from alabaster and other stones, including stele with high relief faces honoring the deceased like this one. Size: 5"" W x 7.3"" H (12.7 cm x 18.5 cm)";;;Head, alabaster. Figural representation in alabaster, described as an example of a head from the kingdoms that created figural representations from alabaster and other stones. Dimensions: 5 in. W x 7.3 in. H (12.7 cm x 18.5 cm).;Head, alabaster. The object is described as an alabaster head and as an example of the figural representations produced by the people of these kingdoms from alabaster and other stones, including stele with high-relief faces honoring the deceased. It is recorded with the British Museum, museum number 141577. Dimensions are given as 5 in. wide by 7.3 in. high (12.7 cm x 18.5 cm).;Lot, art, dimensions 12.7 × 18.5.;object;unknown;unknown;none;unknown;unknown
0-25_p038_a303509a;0-25.pdf;38;https://www.lot-art.com/auction-lots/Western-Asiatic-South-Arabian-Painted-Jar/1688-western_asiatic-04.6.20-timeline;8- 2.6 26.5 LOT - ART 2.6 26.5 LOT - ART A jar. A cork jar (burned clay), with a slightly wide nozzle upside down to the outside, a puffed body, snaps on both sides, and tapes of geometric crawling triangles and by-lines, painted in black and red.;LOT 1688 Western Asiatic South Arabian Painted Jar [ translate ] 2nd century BC-2nd century AD. A ceramic jar with slightly flared rim and loop handles to the shoulders, bands of geometric painted ornament in black and red on a cream field. Private collection, South West London;;;Ceramic jar, South Arabian, 2nd century BC-2nd century AD. Jar with slightly flared rim and loop handles to the shoulders, decorated with bands of geometric painted ornament in black and red on a cream field.;Ceramic jar, South Arabian, 2nd century BC-2nd century AD. The vessel has a slightly flared rim and loop handles attached to the shoulders. It is decorated with bands of geometric painted ornament in black and red on a cream field. Provenance: private collection, South West London.;Jar, burned clay, with a slightly wide outward-flaring nozzle, puffed body, side handles, and decoration of geometric crawling triangles and by-lines painted in black and red.;vessel;jar;unknown;none;unknown;unknown
0-25_p039_21a0fd74;0-25.pdf;39;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Qatabanian-Stone-Head/58-fine_south-10.9.20-artemi;9 - 16 1.66 LOT - ART - 16 1.66 LOT - ART;"The head presents large ovoid eyes with impressed pupils on either side of the narrow nose, pursed lips set above a smooth chin, slightly bulging cheeks in front of a tapered mandible, and a shallow indentation centered on the forehead. Size: 5.375"" W x 7.9"" H (13.7 cm x 20.1 cm)";;;Head, material not specified, with large ovoid eyes with impressed pupils, a narrow nose, pursed lips above a smooth chin, slightly bulging cheeks in front of a tapered mandible, and a shallow central indentation on the forehead. Dimensions: 5.375 in W x 7.9 in H (13.7 cm x 20.1 cm).;Head, material not specified, with large ovoid eyes with impressed pupils positioned on either side of a narrow nose. The face has pursed lips set above a smooth chin, slightly bulging cheeks in front of a tapered mandible, and a shallow indentation centered on the forehead. Dimensions are 5.375 in W x 7.9 in H (13.7 cm x 20.1 cm).;"Object, material not specified. No descriptive information about the object is provided beyond the text ""9 - 16 1.66 LOT - ART - 16 1.66 LOT - ART.""";object;unknown;unknown;none;unknown;unknown
0-25_p040_1772345a;0-25.pdf;40;https://www.liveauctioneers.com/search/?keyword=South%20Arabian&sort=-relevance&status=online;;;;;;;;sculpture;statue;bronze;camel;unknown;unknown
0-25_p041_16bc353c;0-25.pdf;41;https://www.lot-art.com/auction-lots/TETE-MASCULINE-EN-ALBATRE-ART-SUD-ARABIQUE-FIN-DU-1ER-MILLENAIRE-AVJC/7-tete_masculine-24.5.16-artcurial;1 . 23.5 LOT - ART 23.5 LOT - ART The head of a human statue. The head of a man's statue, from the stone of the marble with a long neck, and the glimpse of a clear face, the eyes are strewn with two blues, mediated by the pupils' holes, the nose is pierced and connected to the janitored and curved eyebrows, and the mouth is piercing, as the ears stand on both sides.;: 23,5 cm Provenance : Collection Szerer, Paris A South Arabian alabaster head, late 1st millennium B.C. LOT 7 TÊTE MASCULINE EN ALBTRE, ART SUD-ARABIQUE, FIN DU 1ER MILLÉNAIRE AV.J.C. Tête masculine, au visage triangulaire, barbu et moustachu, larges yeux incrustés en amande, sourcils gravés, nez droit, lèvres closes et long cou cylindrique. Estimation 14 000 - 18 000 € Sold 15,600 € * Results are displayed including buyer's fees and taxes. [ translate ] TÊTE MASCULINE EN ALBTRE, ART SUD-ARABIQUE, FIN DU 1ER MILLÉNAIRE AV.J.C. They are generated automatically and can be modified.;15.6;EUR;Head, alabaster, South Arabian art, late 1st millennium B.C. Masculine head with a triangular face, beard and moustache, large inlaid almond-shaped eyes, engraved eyebrows, straight nose, closed lips, and a long cylindrical neck. Height: 23.5 cm.;Head, alabaster, South Arabian art, late 1st millennium B.C. Masculine head with a triangular face, beard and moustache, large inlaid almond-shaped eyes, engraved eyebrows, a straight nose, closed lips, and a long cylindrical neck. The object is recorded with a height of 23.5 cm and provenance from the Collection Szerer, Paris.;Head of a human statue, marble, depicting a male head with a long neck and a partially preserved face. The eyes are indicated by drilled pupils, the nose is pierced, the eyebrows are arched and joined to the nose, the mouth is pierced, and the ears are preserved on both sides.;sculpture;statue;marble;human;Late Antiquity;unknown
0-25_p042_a0c5b0df;0-25.pdf;42;https://www.liveauctioneers.com/search/?keyword=South%2Arabian&sort=-relevance&status=online;;;;;;;;object;unknown;unknown;none;unknown;unknown
0-25_p043_e92bb9bc;0-25.pdf;43;https://www.lot-art.com/auction-lots/Ancient-South-Arabian-Bronze-Statuette-Camel/83-ancient_south-27.9.18-artemi;3 . 10.2 × 9 ( 4 × 3.55 ). 3.9 (9.9 ) LOT - ART An animal statue. A statue of a bronze camel with a hard head, with a mild mid-back tooth, and a strapped little tail behind his back legs. Metal. About the early millennium before the miles. 10.2 cm x 9 cm (4 inches wide x 3.55 inches high). 3.9 inches (9.9 in centimeters) LOT - ART;"A cast bronze statuette of a camel with an erect head and neck, a slight hump, and a friendly face with big, round eyes that gives him a charming look. LOT 0083 Ancient South Arabian Bronze Statuette - Camel [ translate ] Ancient South Arabia, Yemen, ca. Size: 4"" W x 3.55"" H (10.2 cm x 9 cm)";;;Statuette, cast bronze, of a camel with an erect head and neck, a slight hump, and a friendly face with large round eyes. Ancient South Arabia, Yemen size 4 in. W x 3.55 in. H (10.2 cm x 9 cm).;Statuette, cast bronze, representing a camel with an erect head and neck, a slight hump, and a face with large round eyes. The object is described as from Ancient South Arabia, Yemen. Dimensions are given as 4 in. wide by 3.55 in. high (10.2 cm x 9 cm).;Animal statue, bronze, depicting a camel with a hard head, a slight mid-back hump, and a strapped small tail behind the hind legs. Metal. Dimensions: 10.2 cm x 9 cm (4 x 3.55 in) additional measurement given as 3.9 in (9.9 cm). Early millennium BCE.;sculpture;statue;bronze;camel;Late Antiquity;unknown
0-25_p044_1394a6c0;0-25.pdf;44;https://www.lot-art.com/auction-lots/Large-South-Arabian-Alabaster-Standing-Figure-of-a-Goddess/249-large_south-04.3.25-timeline;4  15.55 47.5 LOT - ART  15.55 47.5 LOT - ART;LOT 0249 Large South Arabian Alabaster Standing Figure of a Goddess [ translate ] 1st century B.C.-1st century A.D. Modelled in the round figure of a standing deity with textural detailing to the hair, na?ve facial features with exaggerated eyes to accept inserts (absent) and slit mouth, gripping hands held out at the chest and one pierced to accept an attribute, knee-length garment, collar or necklace below the throat;;;Standing figure, alabaster, South Arabian, 1st century B.C.–1st century A.D. Modelled in the round as a standing deity with textural hair detailing, naïve facial features, exaggerated eyes for inserts, a slit mouth, hands held out at the chest, one hand pierced to accept an attribute, and a knee-length garment with a collar or necklace below the throat.;Standing figure, alabaster, South Arabian, 1st century B.C.–1st century A.D. Modelled in the round as a standing deity. The figure has textural detailing to the hair, naïve facial features, exaggerated eyes intended to accept inserts, now absent, and a slit mouth. The hands are held out at the chest, with one hand pierced to accept an attribute. The figure wears a knee-length garment and has a collar or necklace below the throat.;Lot, material not specified. No further object description is provided in the source text.;object;unknown;unknown;none;unknown;unknown
0-25_p045_eaae26b1;0-25.pdf;45;https://www.lot-art.com/auction-lots/Western-Asiatic-South-Arabian-Plaque/260-western_asiatic-28.5.19-timeline;5  3 19-27 LOT – ART . LOT – ART . A pavilion. A graft of bronze, written in a nine-line strand, with the gravitational shapes of a converse animal mediated by the palm tree, and in the upper corners, there are two holes.;LOT 0260 Western Asiatic South Arabian Plaque [ translate ] 2nd century BC-2nd century AD. A rectangular bronze plaque in fragments with raised border rows of raised Nabatean text, two fixing holes. Property of a Mayfair lady;;;Plaque, bronze. Rectangular Western Asiatic South Arabian plaque in fragments, with a raised border, rows of raised Nabatean text, and two fixing holes. Dated to the 2nd century BC-2nd century AD.;Plaque, bronze. Rectangular Western Asiatic South Arabian plaque preserved in fragments, with a raised border and rows of raised Nabatean text. The object has two fixing holes. It is dated to the 2nd century BC-2nd century AD.;Pavilion, bronze, with a nine-line inscription and a composition featuring the stylized forms of a recumbent animal mediated by a palm tree two holes are present in the upper corners.;object;unknown;bronze;lion;unknown;unknown
0-25_p046_0ea08f6c;0-25.pdf;46;https://www.lot-art.com/auction-lots/Large-South-Arabian-Bronze-Horse/263-large_south-26.11.24-timeline;6 . 1.1 19.5 LOT - ART . 1.1 19.5 LOT - ART;Modelled in the round as a figure of a horse standing in static pose with ears pricked, stiff mane, open mouth;;;Figure, material not specified, modelled in the round as a horse standing in a static pose with ears pricked, a stiff mane, and an open mouth.;Figure, material not specified, modelled in the round as a horse standing in a static pose. The animal is depicted with ears pricked, a stiff mane, and an open mouth. No further technical, dimensional, or chronological information is provided in the source text.;"Object type not specified material not specified. The source text contains only the fragment ""6 . 1.1 19.5 LOT - ART . 1.1 19.5 LOT - ART"" and does not provide sufficient information to identify the object, its materials, typology, technique, dimensions, or period.";object;unknown;unknown;none;unknown;unknown
0-25_p047_a4daec26;0-25.pdf;47;https://www.lot-art.com/auction-lots/Sabaean-Kingdom-South-Arabian-Terracotta-Very-Rare-Fertility-Female-Figure-with-Inscription-with-TL-Test-1st-Millennium-BC-15/75971449-sabaean_kingdom-30.10.23-catawiki;7  : 1- 2-  15.8×9×0 LOT - ART  15.8×9×0 LOT - ART A human doll.;LOT 75971449 Sabaean Kingdom South Arabian Terracotta Very Rare Fertility Female Figure with Inscription with TL Test - 1st Millennium BC - (15.8×9×0 cm) [ translate ] Provenance: Ex London art market 2000 This lot comes from the private collection of Mr. A rare and extraordinary ancient Sabaeans kingdom female fertility figure with finely painted facial features, the front body detailing another stylised face around the belly, and the belly fat rolls forming a big mouth, some inscription in each leg. Artes, This test analysis (certificate C 142647A-1) was taken in Bordeaux, France on 17/10/2016 which results indicate the the raw material of the object has been most probably heated during the first millennium. 8 x 9 cm Condition: Good ancient condition considering ancient age and material;;;Terracotta female fertility figure, Sabaean Kingdom, South Arabian, 1st millennium BC, with inscription. The figure has finely painted facial features, stylised decoration on the front body, and inscription on each leg dimensions 15.8 × 9 × 0 cm.;Terracotta female fertility figure, Sabaean Kingdom, South Arabian, 1st millennium BC, with inscription. The figure is described as having finely painted facial features, a stylised face around the belly, and belly fat rolls forming a large mouth, with inscription on each leg. A thermoluminescence test certificate (C 142647A-1) taken in Bordeaux, France on 17/10/2016 indicates that the raw material was most probably heated during the first millennium. Dimensions are given as 15.8 × 9 × 0 cm, and the condition is described as good ancient condition considering age and material.;Human doll, material not specified. A human doll, recorded as lot 7:1-2-15.8×9×0, with dimensions 15.8 × 9 × 0.;object;unknown;unknown;human;unknown;unknown
0-25_p048_04475953;0-25.pdf;48;https://www.lot-art.com/auction-lots/A-LOT-OF-7-SOUTH-ARABIAN-SILVER-VESSELS/633-south_arabian-23.9.21-archaeological;8 : 1- . 2- . 3- . 4- . 5- . 6- . 7- . 1- 17.4 2- 13.9 3- 11.8 4- 11.3 5- 11.3 6- 7.5 7- 8 LOT - ART . 5- . 6- . 7- .;Including: 1) A siver shallow bowl, 17.4 cm in diam, with concentric cilcles, inscribed on the external rim, in very good condition 6) A silver goblet, 7.5 cm high, inscribed on the internal rim, in very good condition;;;Shallow bowl, silver, 17.4 cm in diameter, with concentric circles and an inscription on the external rim, in very good condition. Silver goblet, 7.5 cm high, with an inscription on the internal rim, in very good condition.;Shallow bowl, silver, 17.4 cm in diameter, decorated with concentric circles and inscribed on the external rim, in very good condition. Silver goblet, 7.5 cm high, inscribed on the internal rim, in very good condition.;Object, material not specified, with recorded dimensions of 17.4, 13.9, 11.8, 11.3, 11.3, 7.5, and 8 cm.;object;unknown;unknown;none;unknown;unknown
